grid_number,grid_row,grid_column,latitude,longitude,precipitation_daily_mean,precipitation_daily_total,rain_day_share,hourly_max
1,1,1,13.494,100.327,3.8760679079956186,7077.7,0.6664841182913472,17.5
2,1,2,13.494,100.410224,3.6249178532311066,6619.1,0.6785323110624315,22.4
3,1,3,13.494,100.493448,3.6249178532311066,6619.1,0.6785323110624315,22.4
4,1,4,13.494,100.576673,3.902847754654984,7126.6,0.6933187294633077,35.7
5,1,5,13.494,100.659897,3.902847754654984,7126.6,0.6933187294633077,35.7
6,1,6,13.494,100.743121,4.116648411829135,7517.0,0.7179627601314348,45.6
7,1,7,13.494,100.826345,4.573658269441402,8351.5,0.7185104052573932,47.9
8,1,8,13.494,100.90957,5.01566265060241,9158.6,0.7092004381161008,55.3
9,2,1,13.575393,100.327,4.533953997809419,8279.0,0.7102957283680176,22.8
10,2,2,13.575393,100.410224,4.459036144578313,8142.2,0.7283680175246441,17.9
11,2,3,13.575393,100.493448,4.504052573932092,8224.4,0.7217962760131434,20.8
12,2,4,13.575393,100.576673,4.360898138006572,7963.0,0.7130339539978094,23.6
13,2,5,13.575393,100.659897,4.485596933187295,8190.7,0.723986856516977,23.7
14,2,6,13.575393,100.743121,4.823110624315444,8807.0,0.731106243154436,29.4
15,2,7,13.575393,100.826345,5.183953997809419,9465.9,0.7283680175246441,27.6
16,2,8,13.575393,100.90957,5.128970427163198,9365.5,0.7146768893756845,52.6
17,3,1,13.656787,100.327,5.079791894852137,9275.7,0.7245345016429354,26.2
18,3,2,13.656787,100.410224,4.806462212486309,8776.6,0.7267250821467689,20.2
19,3,3,13.656787,100.493448,4.791073384446879,8748.5,0.7267250821467689,22.1
20,3,4,13.656787,100.576673,5.130832420591457,9368.9,0.7261774370208105,22.0
21,3,5,13.656787,100.659897,5.011829134720701,9151.6,0.7316538882803943,17.8
22,3,6,13.656787,100.743121,5.018565169769989,9163.9,0.7272727272727273,19.5
23,3,7,13.656787,100.826345,5.063691128148959,9246.3,0.7278203723986857,20.4
24,3,8,13.656787,100.90957,5.02157721796276,9169.4,0.7157721796276013,35.0
25,4,1,13.73818,100.327,5.163855421686748,9429.2,0.7174151150054765,23.8
26,4,2,13.73818,100.410224,4.88855421686747,8926.5,0.7163198247535597,23.8
27,4,3,13.73818,100.493448,4.7525191675794085,8678.1,0.7168674698795181,21.8
28,4,4,13.73818,100.576673,5.074589266155532,9266.2,0.7300109529025192,23.2
29,4,5,13.73818,100.659897,4.919112814895947,8982.3,0.7322015334063526,21.6
30,4,6,13.73818,100.743121,4.844687842278203,8846.4,0.7228915662650602,20.9
31,4,7,13.73818,100.826345,5.123713033953997,9355.9,0.7217962760131434,21.3
32,4,8,13.73818,100.90957,5.2676889375684555,9618.8,0.7157721796276013,25.5
33,5,1,13.819574,100.327,4.947535596933188,9034.2,0.7130339539978094,23.0
34,5,2,13.819574,100.410224,4.895016429353778,8938.3,0.7201533406352684,21.1
35,5,3,13.819574,100.493448,5.024096385542169,9174.0,0.7223439211391018,23.8
36,5,4,13.819574,100.576673,5.079846659364732,9275.8,0.7245345016429354,24.5
37,5,5,13.819574,100.659897,4.972124863088719,9079.1,0.7130339539978094,20.3
38,5,6,13.819574,100.743121,4.9772727272727275,9088.5,0.7179627601314348,20.6
39,5,7,13.819574,100.826345,5.285323110624315,9651.0,0.7130339539978094,21.2
40,5,8,13.819574,100.90957,5.595947426067909,10218.2,0.7075575027382256,24.8
41,6,1,13.900967,100.327,4.775246440306682,8719.6,0.696604600219058,24.5
42,6,2,13.900967,100.410224,4.77683461117196,8722.5,0.7130339539978094,21.5
43,6,3,13.900967,100.493448,5.097754654983571,9308.5,0.7119386637458927,25.7
44,6,4,13.900967,100.576673,5.198302300109529,9492.1,0.7174151150054765,28.3
45,6,5,13.900967,100.659897,5.058050383351588,9236.0,0.7130339539978094,21.4
46,6,6,13.900967,100.743121,5.268510405257393,9620.3,0.7146768893756845,23.6
47,6,7,13.900967,100.826345,5.482146768893757,10010.4,0.7135815991237678,20.4
48,6,8,13.900967,100.90957,5.724972617743702,10453.8,0.7157721796276013,21.6
49,7,1,13.955,100.327,4.799014238773275,8763.0,0.6933187294633077,24.5
50,7,2,13.955,100.410224,4.885761226725082,8921.4,0.7070098576122672,22.7
51,7,3,13.955,100.493448,5.245016429353779,9577.4,0.7037239868565169,24.2
52,7,4,13.955,100.576673,5.167086527929902,9435.1,0.7119386637458927,28.5
53,7,5,13.955,100.659897,5.193866374589266,9484.0,0.7157721796276013,25.3
54,7,6,13.955,100.743121,5.340690032858708,9752.1,0.7207009857612268,20.6
55,7,7,13.955,100.826345,5.561062431544359,10154.5,0.7174151150054765,22.0
56,7,8,13.955,100.90957,5.659583789704271,10334.4,0.7075575027382256,21.2
