lag_hours,POD,FAR,CSI
-6,0.46524614254224833,0.8805553459594054,0.10502570907281474
-5,0.49074346165148397,0.874081055607917,0.11136674335634024
-4,0.5127753303964758,0.8684547577789498,0.11693008304312885
-3,0.5407190022010272,0.8613254054867723,0.12406154260512406
-2,0.5717429577464789,0.853452166064982,0.1320524550167734
-1,0.5995312728870661,0.8462723004694835,0.1394121053169386
0,0.6246895544192842,0.8397661695270928,0.1461630490514442
1,0.6418195157740278,0.8357984833696224,0.15041782729805014
2,0.643906020558003,0.8352309021906587,0.1510090226599628
3,0.6360833822665883,0.8370746380898665,0.14903350072229482
4,0.6156217882836588,0.8422023182297155,0.14364508393285372
5,0.5880452342487884,0.8491674828599413,0.1364178392559027
6,0.5649045521292217,0.854999811541216,0.13043330846951923
