model,horizon_h,label_source,threshold,rows,base_rate,roc_auc,pr_auc,pr_auc_lift,precision,recall,f1
TMD_BKK_V1,1,imerg,0.85,7157,0.14838619533324018,0.7170450911416693,0.34575671576290595,2.3301137615019942,0.5725490196078431,0.1374764595103578,0.2217160212604404
TMD_BKK_V1,1,tmd_gauge,0.85,7157,0.03926226072376694,0.9171542049399738,0.5204551653132741,13.255863409776165,0.5490196078431373,0.498220640569395,0.5223880597014925
TMD_BKK_V1,1,open_meteo,0.85,7157,0.1842950957104932,0.791388853608979,0.43151825504638375,2.3414527303767767,0.5647058823529412,0.10917361637604246,0.18297331639135958
BKK_Rain_V1,1,imerg,0.6,7157,0.14838619533324018,0.7168413181747257,0.29778737712305514,2.0068401676739223,0.30059970014992504,0.3775894538606403,0.3347245409015025
BKK_Rain_V1,1,tmd_gauge,0.6,7157,0.03926226072376694,0.8251184169394189,0.20919877703191514,5.328240737428529,0.12143928035982009,0.5765124555160143,0.20061919504643963
BKK_Rain_V1,1,open_meteo,0.6,7157,0.1842950957104932,0.9234632655621415,0.736933212503073,3.998658833877554,0.6739130434782609,0.6815769522365428,0.6777233320768941
TMD_BKK_V1,2,imerg,0.8,7157,0.20245913092077686,0.705780827509294,0.4015592986040569,1.9834091788193482,0.5787965616045845,0.13940648723257418,0.22469410456062291
TMD_BKK_V1,2,tmd_gauge,0.8,7157,0.05952214615062177,0.8847324027361316,0.46375347567723635,7.791276116014039,0.5186246418338109,0.42488262910798125,0.4670967741935484
TMD_BKK_V1,2,open_meteo,0.8,7157,0.2460528154254576,0.7985795312236249,0.5166336314032247,2.0996859170658033,0.6017191977077364,0.11925042589437819,0.1990521327014218
BKK_Rain_V1,2,imerg,0.55,7157,0.20245913092077686,0.7253577969582965,0.39170155038002963,1.9347191139198565,0.3710162357185809,0.42581090407177363,0.39652956298200515
BKK_Rain_V1,2,tmd_gauge,0.55,7157,0.05952214615062177,0.8224300988419497,0.25914806362847026,4.353809134715872,0.16596512327119664,0.647887323943662,0.26424126376256585
BKK_Rain_V1,2,open_meteo,0.55,7157,0.2460528154254576,0.9105592339415616,0.7762351635680242,3.154750179248353,0.7131689717378232,0.673480976717774,0.6927570093457944
TMD_BKK_V1,3,imerg,0.3,7157,0.2474500489031717,0.710315742153518,0.4431779465861877,1.790979426153216,0.631578947368421,0.12196499153020893,0.20444865120681496
TMD_BKK_V1,3,tmd_gauge,0.3,7157,0.07768618136090541,0.8682137761991588,0.46062771415798565,5.9293391191163725,0.5467836257309941,0.3363309352517986,0.41648106904231624
TMD_BKK_V1,3,open_meteo,0.3,7157,0.2938382003632807,0.8136301034890703,0.5891741328391322,2.0050971320635615,0.6491228070175439,0.10556348074179743,0.18159509202453988
BKK_Rain_V1,3,imerg,0.35,7157,0.2474500489031717,0.7204437419891334,0.43955456081281574,1.7763365283666417,0.40738940204180846,0.4731789949181254,0.4378265412748171
BKK_Rain_V1,3,tmd_gauge,0.35,7157,0.07768618136090541,0.8244022869872561,0.3183251405083687,4.097577393198551,0.19543023821098687,0.7230215827338129,0.3076923076923077
BKK_Rain_V1,3,open_meteo,0.35,7157,0.2938382003632807,0.905477053245773,0.795129179563476,2.70601024162425,0.7297034516285853,0.7137422729434142,0.7216346153846154
TMD_BKK_V1,6,imerg,0.3,7157,0.3550370266871594,0.721753877654303,0.5655802964786071,1.5930177811481272,0.6786296900489397,0.1637150728059819,0.2637920101458465
TMD_BKK_V1,6,tmd_gauge,0.3,7157,0.12700852312421407,0.855032158145392,0.4919659779023395,3.87348790302205,0.5432300163132137,0.36633663366336633,0.4375821287779238
TMD_BKK_V1,6,open_meteo,0.3,7157,0.40072656140841134,0.8457242636526315,0.742062393862004,1.851792382451312,0.8091353996737357,0.17294281729428174,0.2849755817293881
BKK_Rain_V1,6,imerg,0.35,7157,0.3550370266871594,0.7210686679530227,0.5543020858286454,1.5612514869246812,0.5006939625260236,0.5678866587957497,0.5321777613866864
BKK_Rain_V1,6,tmd_gauge,0.35,7157,0.12700852312421407,0.810183835284937,0.38177490267083486,3.005899866243306,0.24843858431644691,0.7876787678767877,0.3777367449221841
BKK_Rain_V1,6,open_meteo,0.35,7157,0.40072656140841134,0.9061421111318142,0.8566401173725474,2.1377173361350494,0.7869535045107564,0.7907949790794979,0.7888695652173913
