model,features,horizon_h,label_source,threshold,rows,base_rate,roc_auc,pr_auc,pr_auc_lift,precision,recall,f1,csi,ets,hss,pss,true_positives,false_positives,false_negatives,true_negatives
BKK_Rain_V0,36,1,imerg,0.55,7157,0.14838619533324018,0.7164109076471252,0.2987835409989982,2.013553486751252,0.29896907216494845,0.3822975517890772,0.33553719008264465,0.2015888778550149,0.11282344853169156,0.20276971819843626,0.22610395047652593,406,952,656,5143
BKK_Rain_V0,36,1,tmd_gauge,0.55,7157,0.03926226072376694,0.8257459542604222,0.2078502971286358,5.293895290212265,0.12076583210603829,0.5836298932384342,0.20012202562538134,0.1111864406779661,0.07785275583423923,0.14445898182814879,0.4099824237794464,164,1194,117,5682
BKK_Rain_V0,36,1,open_meteo,0.55,7157,0.1842950957104932,0.9077980764960218,0.7103127064654616,3.8542138287894687,0.654639175257732,0.6739954510993177,0.6641763167725065,0.49720357941834453,0.41537096768038273,0.5869428964776976,0.5936597196844495,889,469,430,5369
BKK_Rain_V0,36,2,imerg,0.55,7157,0.20245913092077686,0.7191186875611483,0.3753125129903383,1.8537692584346799,0.35326998323085523,0.4361628709454796,0.39036442248301423,0.24251726784343822,0.12024268689705092,0.21467256747751676,0.23346490318093863,632,1157,817,4551
BKK_Rain_V0,36,2,tmd_gauge,0.55,7157,0.05952214615062177,0.82082080458784,0.2563692998304899,4.30712459832586,0.1593068753493572,0.6690140845070423,0.25733634311512416,0.14766839378238342,0.09789603717629808,0.1783338929395883,0.44557031686479,285,1504,141,5227
BKK_Rain_V0,36,2,open_meteo,0.55,7157,0.2460528154254576,0.8961332852610447,0.7419107492407389,3.0152499899579603,0.6730016769144773,0.683702441794435,0.6783098591549296,0.5132139812446718,0.4007801967361474,0.5722242471302424,0.5752888020612993,1204,585,557,4811
BKK_Rain_V0,36,3,imerg,0.35,7157,0.2474500489031717,0.7193406457924775,0.4308085006355806,1.7409917781190574,0.4065326633165829,0.4568040654997177,0.4302047327838341,0.2740514905149051,0.1287110494959602,0.228067315462957,0.23753187834784245,809,1181,962,4205
BKK_Rain_V0,36,3,tmd_gauge,0.35,7157,0.07768618136090541,0.8194041343201759,0.2996988655392666,3.8578143537131853,0.19246231155778895,0.6888489208633094,0.30086410054988216,0.17706888580674987,0.11372435144169558,0.20422351597948185,0.44540095843337457,383,1607,173,4994
BKK_Rain_V0,36,3,open_meteo,0.35,7157,0.2938382003632807,0.8951882672369037,0.7787250972839318,2.6501833196676654,0.7165829145728643,0.6780789348549691,0.696799413633032,0.5346831646044244,0.4040135145535901,0.5755122872617751,0.566484158440248,1426,564,677,4490
BKK_Rain_V0,36,6,imerg,0.35,7157,0.3550370266871594,0.7215908664624593,0.5443976807633176,1.5333546639996318,0.5045518207282913,0.5670995670995671,0.534000370576246,0.3642568250758342,0.1451435021169267,0.25349399764939956,0.2605571060943678,1441,1415,1100,3201
