model,target_type,feature_set,horizon_h,split,class_id,class_label,rows,class_rate,predicted_class_rate,precision,recall,f1,mean_predicted_probability
lightgbm,exact_hour_3class,neighbor_grid,1,validation,0,no_rain,368032,0.7315885575167377,0.6171664420485176,0.9418148518295126,0.7945128654623247,0.8619156501505888,0.572486273694606
lightgbm,exact_hour_3class,neighbor_grid,1,validation,1,light,368032,0.2443754890879054,0.2975094556995044,0.559040303946371,0.680591073850875,0.6138564215192222,0.2982452060968602
lightgbm,exact_hour_3class,neighbor_grid,1,validation,2,moderate_or_heavy,368032,0.024035953395356927,0.08532410225197809,0.16871536844786955,0.5989147637350215,0.26326774001192604,0.12926852020853377
lightgbm,exact_hour_3class,neighbor_grid,1,test,0,no_rain,368032,0.837451634640466,0.7850893400573863,0.9572018910631347,0.8973521214500549,0.9263112767877926,0.7432641378841954
lightgbm,exact_hour_3class,neighbor_grid,1,test,1,light,368032,0.15194330927745414,0.18159833927484567,0.5465780889966185,0.6532546494992847,0.5951740880134252,0.19232374983487235
lightgbm,exact_hour_3class,neighbor_grid,1,test,2,moderate_or_heavy,368032,0.010605056082079818,0.03331232066776802,0.15138662316476345,0.4755316423264156,0.22966033533378705,0.06441211228093234
lightgbm,exact_hour_3class,neighbor_grid,2,validation,0,no_rain,368032,0.7314744370054778,0.5679044213546648,0.9169788571674633,0.7119269258486066,0.8015465911633519,0.5228360082474186
lightgbm,exact_hour_3class,neighbor_grid,2,validation,1,light,368032,0.2444896095991653,0.3241484436135988,0.47663394720738994,0.6319293176261391,0.543404196352203,0.3067333178764344
lightgbm,exact_hour_3class,neighbor_grid,2,validation,2,moderate_or_heavy,368032,0.024035953395356927,0.10794713503173638,0.08686568666935159,0.3901198281709247,0.1420924774570758,0.17043067387614702
lightgbm,exact_hour_3class,neighbor_grid,2,test,0,no_rain,368032,0.8375657551517259,0.7755412572819754,0.9321991143001289,0.8631667050552958,0.8963557502000252,0.7153812144003919
lightgbm,exact_hour_3class,neighbor_grid,2,test,1,light,368032,0.15182918876619425,0.18247054603947482,0.4483061573970665,0.5387809155660547,0.4893971536091943,0.19673175214204988
lightgbm,exact_hour_3class,neighbor_grid,2,test,2,moderate_or_heavy,368032,0.010605056082079818,0.041988196678549694,0.0772018378308419,0.3056623110427876,0.12326927051043604,0.08788703345755804
lightgbm,exact_hour_3class,neighbor_grid,3,validation,0,no_rain,368032,0.7313956395096078,0.5471888314059647,0.9057666237964476,0.6776433350546295,0.7752720163209793,0.5065293114095736
lightgbm,exact_hour_3class,neighbor_grid,3,validation,1,light,368032,0.24456840709503522,0.33515835579514824,0.446837834112964,0.6123498761234988,0.5166621359405319,0.31397631992546965
lightgbm,exact_hour_3class,neighbor_grid,3,validation,2,moderate_or_heavy,368032,0.024035953395356927,0.11765281279888705,0.07367205542725173,0.3606149672168212,0.12234878993594907,0.1794943686649568
lightgbm,exact_hour_3class,neighbor_grid,3,test,0,no_rain,368032,0.8376255325623859,0.7738647726284671,0.9209991327460351,0.8508919042536972,0.8845585755715923,0.7048657747376524
lightgbm,exact_hour_3class,neighbor_grid,3,test,1,light,368032,0.1517694113555343,0.1796854621337275,0.41193104491153787,0.4877005156115726,0.44662502254357056,0.20043626608858575
lightgbm,exact_hour_3class,neighbor_grid,3,test,2,moderate_or_heavy,368032,0.010605056082079818,0.04644976523780541,0.057970166715413864,0.2539072508326928,0.0943899418992285,0.09469795917376182
lightgbm,exact_hour_3class,neighbor_grid,4,validation,0,no_rain,368032,0.731286953308408,0.5374043561429441,0.8990555257809103,0.6606932528786454,0.7616610161505529,0.49749618574019616
lightgbm,exact_hour_3class,neighbor_grid,4,validation,1,light,368032,0.24465535605599514,0.3334302451960699,0.42794161987727464,0.583223198320765,0.49365934365511344,0.3153599854273828
lightgbm,exact_hour_3class,neighbor_grid,4,validation,2,moderate_or_heavy,368032,0.024057690635596905,0.129165398660986,0.06771567410648548,0.3635644906257059,0.11416715433313826,0.18714382883242112
lightgbm,exact_hour_3class,neighbor_grid,4,test,0,no_rain,368032,0.8376717241978958,0.7733430788627076,0.9165082655517102,0.8461254014077654,0.879911621591992,0.6998187337404166
lightgbm,exact_hour_3class,neighbor_grid,4,test,1,light,368032,0.15174495696026433,0.17257466742022431,0.39401382394155526,0.4480992712231633,0.41931970509383376,0.2001918823955164
lightgbm,exact_hour_3class,neighbor_grid,4,test,2,moderate_or_heavy,368032,0.01058331884183984,0.05408225371706808,0.05019091639871383,0.2564826700898588,0.08395310727341485,0.09998938386406696
lightgbm,exact_hour_3class,neighbor_grid,5,validation,0,no_rain,368032,0.731164681332058,0.5284458960090427,0.8933748103966886,0.6456825175033074,0.7495971543023058,0.49043531666097673
lightgbm,exact_hour_3class,neighbor_grid,5,validation,1,light,368032,0.244777628032345,0.33245478654030086,0.41510698465109436,0.5637945962746709,0.47815853888156656,0.31850827602079335
lightgbm,exact_hour_3class,neighbor_grid,5,validation,2,moderate_or_heavy,368032,0.024057690635596905,0.13909931745065646,0.06467681128279257,0.373955274452225,0.1102802804469832,0.1910564073182299
lightgbm,exact_hour_3class,neighbor_grid,5,test,0,no_rain,368032,0.8377776932440657,0.7737805408225372,0.9141500688260247,0.84431889313039,0.8778479358629585,0.6953386102429205
lightgbm,exact_hour_3class,neighbor_grid,5,test,1,light,368032,0.15163898791409441,0.16951515085644728,0.3820667767323321,0.4271072247706422,0.40333347434324635,0.20197831222482954
lightgbm,exact_hour_3class,neighbor_grid,5,test,2,moderate_or_heavy,368032,0.01058331884183984,0.05670430832101556,0.04964301116488572,0.26598202824133504,0.08366984332094976,0.10268307753225
