horizon_h,split,predicted_no_rain,predicted_light,predicted_moderate_or_heavy
1,validation,213921,45455,9872
1,validation,12495,61211,16232
1,validation,721,2827,5298
1,test,276572,28657,2980
1,test,11966,36530,7424
1,test,400,1647,1856
2,validation,191655,58646,18905
2,validation,15747,56861,17372
2,validation,1605,3790,3451
2,test,266072,35253,6926
2,test,18438,30106,7334
2,test,914,1796,1193
3,validation,182406,64368,22403
3,validation,17185,55117,17707
3,validation,1792,3864,3190
3,test,262307,37002,8964
3,test,21475,27241,7140
3,test,1025,1887,991
4,validation,177817,66289,25031
4,validation,18240,52514,19287
4,validation,1725,3910,3219
4,test,260852,36732,10706
4,test,22623,25025,8199
4,test,1140,1756,999
5,validation,173748,67808,27536
5,validation,18950,50790,20346
5,validation,1787,3756,3311
5,test,260328,36933,11068
5,test,23207,23836,8765
5,test,1241,1618,1036
6,validation,171406,68658,29014
6,validation,19911,49429,20760
6,validation,1771,3694,3389
6,test,261208,35814,11321
6,test,24288,22254,9252
6,test,1352,1479,1064
