model,horizon_h,feature,importance,is_neighbor_feature
lightgbm,1,temperature_2m,2003.0,False
lightgbm,1,relative_humidity_2m,282.0,False
lightgbm,1,pressure_msl,1216.0,False
lightgbm,1,surface_pressure,997.0,False
lightgbm,1,dew_point_2m,1780.0,False
lightgbm,1,precipitation,975.0,False
lightgbm,1,cloud_cover,395.0,False
lightgbm,1,wind_speed_10m,1496.0,False
lightgbm,1,wind_direction_10m,3831.0,False
lightgbm,1,temperature_dew_point_spread,643.0,False
lightgbm,1,pressure_msl_change_3h,4154.0,False
lightgbm,1,pressure_msl_change_6h,4584.0,False
lightgbm,1,precipitation_lag_1h,1012.0,False
lightgbm,1,precipitation_lag_2h,727.0,False
lightgbm,1,precipitation_lag_3h,852.0,False
lightgbm,1,precipitation_lag_6h,669.0,False
lightgbm,1,precipitation_sum_past_3h,800.0,False
lightgbm,1,precipitation_sum_past_6h,878.0,False
lightgbm,1,precipitation_sum_past_12h,1174.0,False
lightgbm,1,precipitation_sum_past_24h,2004.0,False
lightgbm,1,cloud_cover_lag_1h,955.0,False
lightgbm,1,cloud_cover_lag_3h,1018.0,False
lightgbm,1,cloud_cover_lag_6h,1354.0,False
lightgbm,1,humidity_lag_1h,1426.0,False
lightgbm,1,humidity_lag_3h,1636.0,False
lightgbm,1,humidity_lag_6h,2468.0,False
lightgbm,1,wind_speed_lag_1h,2131.0,False
lightgbm,1,wind_speed_lag_3h,2125.0,False
lightgbm,1,hour_sin,2743.0,False
lightgbm,1,hour_cos,2858.0,False
lightgbm,1,month_sin,2476.0,False
lightgbm,1,month_cos,2355.0,False
lightgbm,1,grid_row,762.0,False
lightgbm,1,grid_column,683.0,False
lightgbm,1,latitude,130.0,False
lightgbm,1,longitude,135.0,False
lightgbm,1,neighbor_count,276.0,True
lightgbm,1,neighbor_precipitation_mean,1526.0,True
lightgbm,1,neighbor_precipitation_max,1423.0,True
lightgbm,1,neighbor_precipitation_sum,508.0,True
lightgbm,1,neighbor_rain_count,296.0,True
lightgbm,1,neighbor_rain_rate,647.0,True
lightgbm,1,neighbor_cloud_cover_mean,898.0,True
lightgbm,1,neighbor_cloud_cover_max,691.0,True
lightgbm,1,neighbor_relative_humidity_mean,1140.0,True
lightgbm,1,neighbor_relative_humidity_max,1211.0,True
lightgbm,1,neighbor_pressure_msl_mean,2164.0,True
lightgbm,1,neighbor_pressure_msl_min,2577.0,True
lightgbm,1,neighbor_pressure_msl_max,1986.0,True
lightgbm,1,neighbor_temperature_2m_mean,2658.0,True
lightgbm,1,neighbor_dew_point_2m_mean,3552.0,True
lightgbm,1,neighbor_temperature_dew_point_spread_mean,1111.0,True
lightgbm,1,neighbor_wind_speed_10m_mean,1727.0,True
lightgbm,1,neighbor_wind_speed_10m_max,2749.0,True
lightgbm,1,row_minus_precipitation_mean,1135.0,True
lightgbm,1,row_plus_precipitation_mean,785.0,True
lightgbm,1,column_minus_precipitation_mean,1116.0,True
lightgbm,1,column_plus_precipitation_mean,879.0,True
lightgbm,1,row_minus_cloud_cover_mean,765.0,True
lightgbm,1,row_plus_cloud_cover_mean,771.0,True
lightgbm,1,column_minus_cloud_cover_mean,588.0,True
lightgbm,1,column_plus_cloud_cover_mean,731.0,True
lightgbm,1,neighbor_precipitation_mean_minus_center,862.0,True
lightgbm,1,neighbor_cloud_cover_mean_minus_center,303.0,True
lightgbm,1,neighbor_relative_humidity_mean_minus_center,661.0,True
lightgbm,1,center_pressure_msl_minus_neighbor_mean,1537.0,True
lightgbm,2,temperature_2m,1462.0,False
lightgbm,2,relative_humidity_2m,206.0,False
lightgbm,2,pressure_msl,1465.0,False
lightgbm,2,surface_pressure,1092.0,False
lightgbm,2,dew_point_2m,1246.0,False
lightgbm,2,precipitation,344.0,False
lightgbm,2,cloud_cover,187.0,False
lightgbm,2,wind_speed_10m,1053.0,False
lightgbm,2,wind_direction_10m,4369.0,False
lightgbm,2,temperature_dew_point_spread,441.0,False
lightgbm,2,pressure_msl_change_3h,4332.0,False
lightgbm,2,pressure_msl_change_6h,5187.0,False
lightgbm,2,precipitation_lag_1h,638.0,False
lightgbm,2,precipitation_lag_2h,681.0,False
lightgbm,2,precipitation_lag_3h,743.0,False
lightgbm,2,precipitation_lag_6h,784.0,False
lightgbm,2,precipitation_sum_past_3h,735.0,False
lightgbm,2,precipitation_sum_past_6h,948.0,False
lightgbm,2,precipitation_sum_past_12h,1581.0,False
lightgbm,2,precipitation_sum_past_24h,2378.0,False
lightgbm,2,cloud_cover_lag_1h,1066.0,False
lightgbm,2,cloud_cover_lag_3h,1455.0,False
lightgbm,2,cloud_cover_lag_6h,1647.0,False
lightgbm,2,humidity_lag_1h,1162.0,False
lightgbm,2,humidity_lag_3h,1790.0,False
