horizon_h,split,rain_threshold,strong_threshold,predicted_no_rain,predicted_light,predicted_moderate_or_heavy
1,validation,0.7,0.6500000000000001,241012,26051,2185
1,validation,0.7,0.6500000000000001,23522,59678,6738
1,validation,0.7,0.6500000000000001,1383,3957,3506
1,test,0.7,0.6500000000000001,293945,13645,619
1,test,0.7,0.6500000000000001,20766,32460,2694
1,test,0.7,0.6500000000000001,704,2154,1045
2,validation,0.6499999999999999,0.6500000000000001,223122,43067,3017
2,validation,0.6499999999999999,0.6500000000000001,27635,57747,4598
2,validation,0.6499999999999999,0.6500000000000001,2656,4751,1439
2,test,0.6499999999999999,0.6500000000000001,287800,19707,744
2,test,0.6499999999999999,0.6500000000000001,29145,25614,1119
2,test,0.6499999999999999,0.6500000000000001,1506,2109,288
3,validation,0.6499999999999999,0.6500000000000001,219119,47140,2918
3,validation,0.6499999999999999,0.6500000000000001,32095,54103,3811
3,validation,0.6499999999999999,0.6500000000000001,3150,4692,1004
3,test,0.6499999999999999,0.6500000000000001,287472,20005,796
3,test,0.6499999999999999,0.6500000000000001,32980,21680,1196
3,test,0.6499999999999999,0.6500000000000001,1718,1999,186
4,validation,0.6499999999999999,0.6000000000000001,216593,46679,5865
4,validation,0.6499999999999999,0.6000000000000001,34106,48983,6952
4,validation,0.6499999999999999,0.6000000000000001,3238,4260,1356
4,test,0.6499999999999999,0.6000000000000001,287685,18878,1727
4,test,0.6499999999999999,0.6000000000000001,34809,18675,2363
4,test,0.6499999999999999,0.6000000000000001,1947,1597,351
5,validation,0.6499999999999999,0.6000000000000001,213798,49149,6145
5,validation,0.6499999999999999,0.6000000000000001,35204,47581,7301
5,validation,0.6499999999999999,0.6000000000000001,3123,4232,1499
5,test,0.6499999999999999,0.6000000000000001,287625,18286,2418
5,test,0.6499999999999999,0.6000000000000001,35829,17337,2642
5,test,0.6499999999999999,0.6000000000000001,2009,1551,335
6,validation,0.6499999999999999,0.6000000000000001,213071,49849,6158
6,validation,0.6499999999999999,0.6000000000000001,36551,46575,6974
6,validation,0.6499999999999999,0.6000000000000001,3257,4208,1389
6,test,0.6499999999999999,0.6000000000000001,287487,18265,2591
6,test,0.6499999999999999,0.6000000000000001,36372,16998,2424
6,test,0.6499999999999999,0.6000000000000001,2120,1525,250
