model,model_stage,horizon_h,feature,importance,is_neighbor_feature
lightgbm,rain_binary,1,temperature_2m,639.0,False
lightgbm,rain_binary,1,relative_humidity_2m,83.0,False
lightgbm,rain_binary,1,pressure_msl,435.0,False
lightgbm,rain_binary,1,surface_pressure,265.0,False
lightgbm,rain_binary,1,dew_point_2m,664.0,False
lightgbm,rain_binary,1,precipitation,328.0,False
lightgbm,rain_binary,1,cloud_cover,191.0,False
lightgbm,rain_binary,1,wind_speed_10m,397.0,False
lightgbm,rain_binary,1,wind_direction_10m,1576.0,False
lightgbm,rain_binary,1,temperature_dew_point_spread,152.0,False
lightgbm,rain_binary,1,pressure_msl_change_3h,1401.0,False
lightgbm,rain_binary,1,pressure_msl_change_6h,1627.0,False
lightgbm,rain_binary,1,precipitation_lag_1h,308.0,False
lightgbm,rain_binary,1,precipitation_lag_2h,121.0,False
lightgbm,rain_binary,1,precipitation_lag_3h,142.0,False
lightgbm,rain_binary,1,precipitation_lag_6h,159.0,False
lightgbm,rain_binary,1,precipitation_sum_past_3h,200.0,False
lightgbm,rain_binary,1,precipitation_sum_past_6h,280.0,False
lightgbm,rain_binary,1,precipitation_sum_past_12h,365.0,False
lightgbm,rain_binary,1,precipitation_sum_past_24h,658.0,False
lightgbm,rain_binary,1,cloud_cover_lag_1h,381.0,False
lightgbm,rain_binary,1,cloud_cover_lag_3h,405.0,False
lightgbm,rain_binary,1,cloud_cover_lag_6h,451.0,False
lightgbm,rain_binary,1,humidity_lag_1h,409.0,False
lightgbm,rain_binary,1,humidity_lag_3h,464.0,False
lightgbm,rain_binary,1,humidity_lag_6h,828.0,False
lightgbm,rain_binary,1,wind_speed_lag_1h,565.0,False
lightgbm,rain_binary,1,wind_speed_lag_3h,491.0,False
lightgbm,rain_binary,1,hour_sin,1207.0,False
lightgbm,rain_binary,1,hour_cos,1278.0,False
lightgbm,rain_binary,1,month_sin,1046.0,False
lightgbm,rain_binary,1,month_cos,919.0,False
lightgbm,rain_binary,1,grid_row,251.0,False
lightgbm,rain_binary,1,grid_column,152.0,False
lightgbm,rain_binary,1,latitude,44.0,False
lightgbm,rain_binary,1,longitude,30.0,False
lightgbm,rain_binary,1,neighbor_count,85.0,True
lightgbm,rain_binary,1,neighbor_precipitation_mean,550.0,True
lightgbm,rain_binary,1,neighbor_precipitation_max,223.0,True
