model,target_type,feature_set,horizon_h,split,rows,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,rain_threshold,strong_threshold
lightgbm_two_stage,exact_hour_3class_two_stage_recall_tuned,neighbor_grid,1,validation,368032,0.8112066342057213,0.6707448222418361,0.5986161961577176,0.6707448222418361,0.5999351209415943,0.8153688820857892,0.7499999999999998,0.48999999999999994
lightgbm_two_stage,exact_hour_3class_two_stage_recall_tuned,neighbor_grid,1,test,368032,0.8807875402138945,0.6304245206148935,0.6006751437108441,0.6304245206148935,0.5841975386880078,0.8761476211628398,0.7499999999999998,0.48999999999999994
lightgbm_two_stage,exact_hour_3class_two_stage_recall_tuned,neighbor_grid,2,validation,368032,0.7218502738892271,0.5589914718408507,0.5123912426344784,0.5589914718408507,0.4761078337359312,0.7371970325132554,0.7,0.35
lightgbm_two_stage,exact_hour_3class_two_stage_recall_tuned,neighbor_grid,2,test,368032,0.83325091296409,0.5157102142344233,0.5089813533817069,0.5157102142344233,0.4552697128676378,0.8201258450294219,0.7,0.35
lightgbm_two_stage,exact_hour_3class_two_stage_recall_tuned,neighbor_grid,3,validation,368032,0.6867745196069907,0.518529633251974,0.4854020464294182,0.518529633251974,0.4270783767844198,0.6992013873762064,0.7,0.29
lightgbm_two_stage,exact_hour_3class_two_stage_recall_tuned,neighbor_grid,3,test,368032,0.8190836666376837,0.485527532160095,0.4779133958586415,0.485527532160095,0.4095362242312148,0.797593600558796,0.7,0.29
lightgbm_two_stage,exact_hour_3class_two_stage_recall_tuned,neighbor_grid,4,validation,368032,0.6438869446135118,0.5278380634362917,0.4670696332627842,0.5278380634362917,0.4290362212453882,0.6859122918325697,0.5999999999999999,0.32999999999999996
lightgbm_two_stage,exact_hour_3class_two_stage_recall_tuned,neighbor_grid,4,test,368032,0.7969252673680549,0.5100114313258938,0.4571298235302455,0.5100114313258938,0.4228252381437982,0.79797550134272,0.5999999999999999,0.32999999999999996
lightgbm_two_stage,exact_hour_3class_two_stage_recall_tuned,neighbor_grid,5,validation,368032,0.6481447265455178,0.5247836481414555,0.46089433138039465,0.5247836481414555,0.4391977295609228,0.687942025223812,0.5999999999999999,0.38999999999999996
lightgbm_two_stage,exact_hour_3class_two_stage_recall_tuned,neighbor_grid,5,test,368032,0.8000717328927919,0.4924193520162628,0.45536402316606067,0.4924193520162628,0.43092090906734454,0.8006385650885034,0.5999999999999999,0.38999999999999996
lightgbm_two_stage,exact_hour_3class_two_stage_recall_tuned,neighbor_grid,6,validation,368032,0.6245978610555604,0.5180031609521089,0.45566104278431324,0.5180031609521089,0.41217503937805317,0.6678377353354977,0.5999999999999999,0.30999999999999994
lightgbm_two_stage,exact_hour_3class_two_stage_recall_tuned,neighbor_grid,6,test,368032,0.7922626293365794,0.4931856386185043,0.44859284543854616,0.4931856386185043,0.40980004552712757,0.7912369336974266,0.5999999999999999,0.30999999999999994
