horizon_h,target_column,class_id,class_label,rows,class_rate
1,rain_3class_next_1h,0,no_rain,1912354,0.7794480638050892
1,rain_3class_next_1h,1,light,486696,0.19837030950424542
1,rain_3class_next_1h,2,moderate_or_heavy,54422,0.02218162669066531
2,rain_3class_next_2h,0,no_rain,1912410,0.7794708886019486
2,rain_3class_next_2h,1,light,486642,0.1983482998787025
2,rain_3class_next_2h,2,moderate_or_heavy,54420,0.022180811519348906
3,rain_3class_next_3h,0,no_rain,1912459,0.7794908602992004
3,rain_3class_next_3h,1,light,486593,0.1983283281814506
3,rain_3class_next_3h,2,moderate_or_heavy,54420,0.022180811519348906
4,rain_3class_next_4h,0,no_rain,1912492,0.7795043106259212
4,rain_3class_next_4h,1,light,486560,0.19831487785472995
4,rain_3class_next_4h,2,moderate_or_heavy,54420,0.022180811519348906
5,rain_3class_next_5h,0,no_rain,1912507,0.7795104244107942
5,rain_3class_next_5h,1,light,486545,0.19830876406985692
5,rain_3class_next_5h,2,moderate_or_heavy,54420,0.022180811519348906
6,rain_3class_next_6h,0,no_rain,1912526,0.7795181685383
6,rain_3class_next_6h,1,light,486526,0.19830101994235108
6,rain_3class_next_6h,2,moderate_or_heavy,54420,0.022180811519348906
