horizon_h,split,all_rows_after_purge,rainy_intensity_rows,min_observation_time,max_observation_time
1,train,1717408,382511,2021-07-20 06:00:00,2025-01-18 01:00:00
1,validation,368032,98784,2025-01-18 02:00:00,2025-10-18 21:00:00
1,test,368032,59823,2025-10-18 22:00:00,2026-07-19 17:00:00
2,train,1717352,487195,2021-07-20 06:00:00,2025-01-18 00:00:00
2,validation,367976,128433,2025-01-18 02:00:00,2025-10-18 20:00:00
2,test,368032,80434,2025-10-18 22:00:00,2026-07-19 17:00:00
3,train,1717296,567847,2021-07-20 06:00:00,2025-01-17 23:00:00
3,validation,367920,151052,2025-01-18 02:00:00,2025-10-18 19:00:00
3,test,368032,96905,2025-10-18 22:00:00,2026-07-19 17:00:00
6,train,1717128,744163,2021-07-20 06:00:00,2025-01-17 20:00:00
6,validation,367752,197903,2025-01-18 02:00:00,2025-10-18 16:00:00
6,test,368032,134166,2025-10-18 22:00:00,2026-07-19 17:00:00
