horizon_h,target_column,class_id,class_label,rows,conditional_class_rate,rainy_training_pool_rows,all_complete_rows
1,intensity_1h,0,Light rain,486696,0.8994267424110822,541118,2453472
1,intensity_1h,1,Moderate rain,46376,0.08570404237153449,541118,2453472
1,intensity_1h,2,Heavy rain,8046,0.01486921521738327,541118,2453472
2,intensity_2h,0,Light rain,600005,0.8619448762113816,696106,2453472
2,intensity_2h,1,Moderate rain,80543,0.1157050793988272,696106,2453472
2,intensity_2h,2,Heavy rain,15558,0.02235004438979121,696106,2453472
3,intensity_3h,0,Light rain,681109,0.8347967515547287,815898,2453472
3,intensity_3h,1,Moderate rain,111853,0.13709189138838435,815898,2453472
3,intensity_3h,2,Heavy rain,22936,0.028111357056887012,815898,2453472
6,intensity_6h,0,Light rain,837078,0.7775958086196406,1076495,2453472
6,intensity_6h,1,Moderate rain,194751,0.1809121268561396,1076495,2453472
6,intensity_6h,2,Heavy rain,44666,0.04149206452421981,1076495,2453472
