horizon_h,split,predicted_no_rain,predicted_light,predicted_moderate,predicted_heavy
1,validation,214560,44635,9751,302
1,validation,12667,60601,16182,488
1,validation,704,2732,4563,324
1,validation,16,74,349,84
1,test,277118,27988,2984,119
1,test,12352,35893,7513,162
1,test,391,1638,1687,47
1,test,11,36,88,5
2,validation,191829,57930,18618,829
2,validation,15950,57100,16350,580
2,validation,1515,3693,2970,145
2,validation,110,163,244,6
2,test,266564,34785,6589,313
2,test,18709,30085,6941,143
2,test,900,1732,1106,25
2,test,47,44,48,1
3,validation,185571,61791,20969,846
3,validation,18290,54109,16960,650
3,validation,1756,3760,2669,138
3,validation,126,174,222,1
3,test,264861,34925,7892,595
3,test,22052,26625,6924,255
3,test,1026,1805,908,24
3,test,50,46,42,2
4,validation,178687,65696,23396,1358
4,validation,18901,52409,17988,743
4,validation,1671,3736,2753,171
4,validation,133,187,194,9
4,test,261367,36390,9857,676
4,test,22831,24994,7714,308
4,test,1112,1650,952,41
4,test,54,53,33,0
5,validation,175109,67640,25151,1192
5,validation,19808,50838,18643,797
5,validation,1711,3674,2816,130
5,validation,114,187,217,5
5,test,261633,35614,10337,745
5,test,23785,23510,8068,445
5,test,1222,1490,1017,26
5,test,60,48,32,0
6,validation,171620,70325,25948,1185
6,validation,20023,50126,19181,770
6,validation,1674,3611,2912,134
6,validation,121,182,214,6
6,test,262009,35417,9959,958
6,test,24936,22297,8153,408
6,test,1338,1429,932,56
6,test,53,46,38,3
