model,horizon_h,feature,importance,is_neighbor_feature
lightgbm,1,temperature_2m,2493.0,False
lightgbm,1,relative_humidity_2m,428.0,False
lightgbm,1,pressure_msl,1443.0,False
lightgbm,1,surface_pressure,1531.0,False
lightgbm,1,dew_point_2m,2294.0,False
lightgbm,1,precipitation,1414.0,False
lightgbm,1,cloud_cover,492.0,False
lightgbm,1,wind_speed_10m,2521.0,False
lightgbm,1,wind_direction_10m,4676.0,False
lightgbm,1,temperature_dew_point_spread,956.0,False
lightgbm,1,pressure_msl_change_3h,5212.0,False
lightgbm,1,pressure_msl_change_6h,5489.0,False
lightgbm,1,precipitation_lag_1h,1397.0,False
lightgbm,1,precipitation_lag_2h,1136.0,False
lightgbm,1,precipitation_lag_3h,1177.0,False
lightgbm,1,precipitation_lag_6h,979.0,False
lightgbm,1,precipitation_sum_past_3h,1267.0,False
lightgbm,1,precipitation_sum_past_6h,1300.0,False
lightgbm,1,precipitation_sum_past_12h,1896.0,False
lightgbm,1,precipitation_sum_past_24h,2907.0,False
lightgbm,1,cloud_cover_lag_1h,1273.0,False
lightgbm,1,cloud_cover_lag_3h,1563.0,False
lightgbm,1,cloud_cover_lag_6h,1811.0,False
lightgbm,1,humidity_lag_1h,2003.0,False
lightgbm,1,humidity_lag_3h,2339.0,False
lightgbm,1,humidity_lag_6h,3249.0,False
lightgbm,1,wind_speed_lag_1h,3168.0,False
lightgbm,1,wind_speed_lag_3h,3376.0,False
lightgbm,1,hour_sin,2774.0,False
lightgbm,1,hour_cos,2943.0,False
lightgbm,1,month_sin,2624.0,False
lightgbm,1,month_cos,2326.0,False
lightgbm,1,grid_row,1089.0,False
lightgbm,1,grid_column,1085.0,False
lightgbm,1,latitude,137.0,False
lightgbm,1,longitude,212.0,False
lightgbm,1,neighbor_count,402.0,True
lightgbm,1,neighbor_precipitation_mean,1966.0,True
lightgbm,1,neighbor_precipitation_max,2184.0,True
lightgbm,1,neighbor_precipitation_sum,1060.0,True
lightgbm,1,neighbor_rain_count,458.0,True
lightgbm,1,neighbor_rain_rate,871.0,True
lightgbm,1,neighbor_cloud_cover_mean,1205.0,True
lightgbm,1,neighbor_cloud_cover_max,762.0,True
lightgbm,1,neighbor_relative_humidity_mean,1494.0,True
lightgbm,1,neighbor_relative_humidity_max,1525.0,True
lightgbm,1,neighbor_pressure_msl_mean,2302.0,True
lightgbm,1,neighbor_pressure_msl_min,2800.0,True
lightgbm,1,neighbor_pressure_msl_max,2282.0,True
lightgbm,1,neighbor_temperature_2m_mean,3083.0,True
lightgbm,1,neighbor_dew_point_2m_mean,4451.0,True
lightgbm,1,neighbor_temperature_dew_point_spread_mean,1494.0,True
lightgbm,1,neighbor_wind_speed_10m_mean,2493.0,True
lightgbm,1,neighbor_wind_speed_10m_max,3463.0,True
lightgbm,1,row_minus_precipitation_mean,1903.0,True
lightgbm,1,row_plus_precipitation_mean,1521.0,True
lightgbm,1,column_minus_precipitation_mean,1798.0,True
lightgbm,1,column_plus_precipitation_mean,1701.0,True
lightgbm,1,row_minus_cloud_cover_mean,861.0,True
lightgbm,1,row_plus_cloud_cover_mean,916.0,True
lightgbm,1,column_minus_cloud_cover_mean,744.0,True
lightgbm,1,column_plus_cloud_cover_mean,894.0,True
lightgbm,1,neighbor_precipitation_mean_minus_center,1726.0,True
lightgbm,1,neighbor_cloud_cover_mean_minus_center,801.0,True
lightgbm,1,neighbor_relative_humidity_mean_minus_center,1422.0,True
lightgbm,1,center_pressure_msl_minus_neighbor_mean,2438.0,True
lightgbm,2,temperature_2m,1961.0,False
lightgbm,2,relative_humidity_2m,381.0,False
lightgbm,2,pressure_msl,1686.0,False
lightgbm,2,surface_pressure,1747.0,False
lightgbm,2,dew_point_2m,1896.0,False
lightgbm,2,precipitation,559.0,False
lightgbm,2,cloud_cover,391.0,False
lightgbm,2,wind_speed_10m,1878.0,False
lightgbm,2,wind_direction_10m,5398.0,False
lightgbm,2,temperature_dew_point_spread,893.0,False
lightgbm,2,pressure_msl_change_3h,5455.0,False
