model,target_type,feature_set,horizon_h,split,rows,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,log_loss
lightgbm,exact_hour_intensity,neighbor_grid,1,validation,368032,0.7602817146335101,0.5448866094801658,0.430055938379973,0.5448866094801658,0.4514722569752523,0.7864337410738126,0.5909633986198232
lightgbm,exact_hour_intensity,neighbor_grid,1,test,368032,0.8550968394052691,0.5062534562978954,0.4140021672605002,0.5062534562978954,0.437299942424752,0.8680092956582417,0.3620175215980741
lightgbm,exact_hour_intensity,neighbor_grid,2,validation,368032,0.6844649378314929,0.428868373619645,0.3694987171113101,0.428868373619645,0.3704649968481627,0.7229307465849983,0.7530088356638711
lightgbm,exact_hour_intensity,neighbor_grid,2,test,368032,0.8090492131119034,0.42605629771757975,0.36503381436774457,0.42605629771757975,0.3777561922851521,0.8269266798960658,0.46595208149904294
lightgbm,exact_hour_intensity,neighbor_grid,3,validation,368032,0.6585025215198679,0.4032855199419891,0.354871135541188,0.4032855199419891,0.3516852805396904,0.70015740598419,0.804410712805474
lightgbm,exact_hour_intensity,neighbor_grid,3,test,368032,0.7944852621511173,0.3978578693834304,0.3498782067393762,0.3978578693834304,0.35796158799387734,0.8128700676078316,0.501542265241013
lightgbm,exact_hour_intensity,neighbor_grid,4,validation,368032,0.63542844100513,0.39841095247639036,0.3479223430781217,0.39841095247639036,0.3419985274392031,0.6810947079442968,0.8347230743667309
lightgbm,exact_hour_intensity,neighbor_grid,4,test,368032,0.7806739631336406,0.38721717954047796,0.3408486529151111,0.38721717954047796,0.34654396979022273,0.8022496701392998,0.5232874841556695
lightgbm,exact_hour_intensity,neighbor_grid,5,validation,368032,0.6215981219024432,0.3906606403199826,0.34202108556012567,0.3906606403199826,0.3340843371618324,0.6691740009942523,0.8523447182084748
lightgbm,exact_hour_intensity,neighbor_grid,5,test,368032,0.7775410833840536,0.3851640087216153,0.3381003986578115,0.3851640087216153,0.3426858299820529,0.798850388171023,0.5337333106712019
lightgbm,exact_hour_intensity,neighbor_grid,6,validation,368032,0.610446917659334,0.3887887933447553,0.33846685804067145,0.3887887933447553,0.32933423789215593,0.6594203623282777,0.8683095166739554
lightgbm,exact_hour_intensity,neighbor_grid,6,test,368032,0.7750440179114859,0.37974850789217884,0.3340872359167294,0.37974850789217884,0.33787783615485545,0.7954199645187491,0.541045028128892
