model,horizon_h,feature,importance,is_neighbor_feature
lightgbm,1,temperature_2m,688.0,False
lightgbm,1,relative_humidity_2m,74.0,False
lightgbm,1,pressure_msl,445.0,False
lightgbm,1,surface_pressure,242.0,False
lightgbm,1,dew_point_2m,652.0,False
lightgbm,1,precipitation,268.0,False
lightgbm,1,cloud_cover,171.0,False
lightgbm,1,wind_speed_10m,394.0,False
lightgbm,1,wind_direction_10m,1614.0,False
lightgbm,1,temperature_dew_point_spread,150.0,False
lightgbm,1,pressure_msl_change_3h,1442.0,False
lightgbm,1,pressure_msl_change_6h,1541.0,False
lightgbm,1,precipitation_lag_1h,307.0,False
lightgbm,1,precipitation_lag_2h,131.0,False
lightgbm,1,precipitation_lag_3h,170.0,False
lightgbm,1,precipitation_lag_6h,139.0,False
lightgbm,1,precipitation_sum_past_3h,183.0,False
lightgbm,1,precipitation_sum_past_6h,273.0,False
lightgbm,1,precipitation_sum_past_12h,352.0,False
lightgbm,1,precipitation_sum_past_24h,645.0,False
lightgbm,1,cloud_cover_lag_1h,372.0,False
lightgbm,1,cloud_cover_lag_3h,416.0,False
lightgbm,1,cloud_cover_lag_6h,433.0,False
lightgbm,1,humidity_lag_1h,435.0,False
lightgbm,1,humidity_lag_3h,478.0,False
lightgbm,1,humidity_lag_6h,835.0,False
lightgbm,1,wind_speed_lag_1h,560.0,False
lightgbm,1,wind_speed_lag_3h,516.0,False
lightgbm,1,hour_sin,1229.0,False
lightgbm,1,hour_cos,1278.0,False
lightgbm,1,month_sin,1078.0,False
lightgbm,1,month_cos,848.0,False
lightgbm,1,grid_row,260.0,False
lightgbm,1,grid_column,184.0,False
lightgbm,1,latitude,56.0,False
lightgbm,1,longitude,28.0,False
lightgbm,1,neighbor_count,72.0,True
lightgbm,1,neighbor_precipitation_mean,524.0,True
lightgbm,1,neighbor_precipitation_max,230.0,True
lightgbm,1,neighbor_precipitation_sum,94.0,True
lightgbm,1,neighbor_rain_count,53.0,True
lightgbm,1,neighbor_rain_rate,323.0,True
lightgbm,1,neighbor_cloud_cover_mean,389.0,True
lightgbm,1,neighbor_cloud_cover_max,259.0,True
lightgbm,1,neighbor_relative_humidity_mean,419.0,True
lightgbm,1,neighbor_relative_humidity_max,527.0,True
lightgbm,1,neighbor_pressure_msl_mean,900.0,True
lightgbm,1,neighbor_pressure_msl_min,922.0,True
lightgbm,1,neighbor_pressure_msl_max,759.0,True
lightgbm,1,neighbor_temperature_2m_mean,864.0,True
lightgbm,1,neighbor_dew_point_2m_mean,1173.0,True
lightgbm,1,neighbor_temperature_dew_point_spread_mean,358.0,True
lightgbm,1,neighbor_wind_speed_10m_mean,507.0,True
lightgbm,1,neighbor_wind_speed_10m_max,815.0,True
lightgbm,1,row_minus_precipitation_mean,243.0,True
lightgbm,1,row_plus_precipitation_mean,131.0,True
lightgbm,1,column_minus_precipitation_mean,293.0,True
lightgbm,1,column_plus_precipitation_mean,212.0,True
lightgbm,1,row_minus_cloud_cover_mean,323.0,True
lightgbm,1,row_plus_cloud_cover_mean,239.0,True
lightgbm,1,column_minus_cloud_cover_mean,224.0,True
lightgbm,1,column_plus_cloud_cover_mean,345.0,True
lightgbm,1,neighbor_precipitation_mean_minus_center,163.0,True
lightgbm,1,neighbor_cloud_cover_mean_minus_center,84.0,True
lightgbm,1,neighbor_relative_humidity_mean_minus_center,209.0,True
lightgbm,1,center_pressure_msl_minus_neighbor_mean,459.0,True
lightgbm,2,temperature_2m,500.0,False
lightgbm,2,relative_humidity_2m,63.0,False
lightgbm,2,pressure_msl,471.0,False
lightgbm,2,surface_pressure,309.0,False
lightgbm,2,dew_point_2m,528.0,False
lightgbm,2,precipitation,66.0,False
lightgbm,2,cloud_cover,73.0,False
lightgbm,2,wind_speed_10m,334.0,False
lightgbm,2,wind_direction_10m,1693.0,False
lightgbm,2,temperature_dew_point_spread,124.0,False
lightgbm,2,pressure_msl_change_3h,1435.0,False
lightgbm,2,pressure_msl_change_6h,1617.0,False
lightgbm,2,precipitation_lag_1h,146.0,False
lightgbm,2,precipitation_lag_2h,122.0,False
lightgbm,2,precipitation_lag_3h,165.0,False
lightgbm,2,precipitation_lag_6h,153.0,False
lightgbm,2,precipitation_sum_past_3h,193.0,False
lightgbm,2,precipitation_sum_past_6h,262.0,False
lightgbm,2,precipitation_sum_past_12h,409.0,False
lightgbm,2,precipitation_sum_past_24h,896.0,False
lightgbm,2,cloud_cover_lag_1h,351.0,False
lightgbm,2,cloud_cover_lag_3h,452.0,False
lightgbm,2,cloud_cover_lag_6h,600.0,False
lightgbm,2,humidity_lag_1h,360.0,False
lightgbm,2,humidity_lag_3h,490.0,False
lightgbm,2,humidity_lag_6h,924.0,False
lightgbm,2,wind_speed_lag_1h,336.0,False
lightgbm,2,wind_speed_lag_3h,580.0,False
lightgbm,2,hour_sin,1220.0,False
lightgbm,2,hour_cos,1197.0,False
lightgbm,2,month_sin,1482.0,False
lightgbm,2,month_cos,1142.0,False
lightgbm,2,grid_row,262.0,False
lightgbm,2,grid_column,155.0,False
lightgbm,2,latitude,48.0,False
lightgbm,2,longitude,47.0,False
lightgbm,2,neighbor_count,31.0,True
lightgbm,2,neighbor_precipitation_mean,398.0,True
lightgbm,2,neighbor_precipitation_max,202.0,True
lightgbm,2,neighbor_precipitation_sum,73.0,True
lightgbm,2,neighbor_rain_count,56.0,True
lightgbm,2,neighbor_rain_rate,227.0,True
lightgbm,2,neighbor_cloud_cover_mean,445.0,True
lightgbm,2,neighbor_cloud_cover_max,301.0,True
lightgbm,2,neighbor_relative_humidity_mean,407.0,True
lightgbm,2,neighbor_relative_humidity_max,410.0,True
lightgbm,2,neighbor_pressure_msl_mean,1091.0,True
lightgbm,2,neighbor_pressure_msl_min,1111.0,True
lightgbm,2,neighbor_pressure_msl_max,925.0,True
lightgbm,2,neighbor_temperature_2m_mean,1019.0,True
lightgbm,2,neighbor_dew_point_2m_mean,1584.0,True
lightgbm,2,neighbor_temperature_dew_point_spread_mean,385.0,True
lightgbm,2,neighbor_wind_speed_10m_mean,730.0,True
lightgbm,2,neighbor_wind_speed_10m_max,607.0,True
lightgbm,2,row_minus_precipitation_mean,150.0,True
lightgbm,2,row_plus_precipitation_mean,101.0,True
lightgbm,2,column_minus_precipitation_mean,116.0,True
lightgbm,2,column_plus_precipitation_mean,47.0,True
lightgbm,2,row_minus_cloud_cover_mean,316.0,True
lightgbm,2,row_plus_cloud_cover_mean,210.0,True
lightgbm,2,column_minus_cloud_cover_mean,219.0,True
lightgbm,2,column_plus_cloud_cover_mean,235.0,True
lightgbm,2,neighbor_precipitation_mean_minus_center,61.0,True
lightgbm,2,neighbor_cloud_cover_mean_minus_center,47.0,True
lightgbm,2,neighbor_relative_humidity_mean_minus_center,144.0,True
lightgbm,2,center_pressure_msl_minus_neighbor_mean,147.0,True
lightgbm,3,temperature_2m,428.0,False
lightgbm,3,relative_humidity_2m,54.0,False
lightgbm,3,pressure_msl,477.0,False
lightgbm,3,surface_pressure,329.0,False
lightgbm,3,dew_point_2m,488.0,False
lightgbm,3,precipitation,22.0,False
lightgbm,3,cloud_cover,41.0,False
lightgbm,3,wind_speed_10m,195.0,False
lightgbm,3,wind_direction_10m,1707.0,False
lightgbm,3,temperature_dew_point_spread,118.0,False
lightgbm,3,pressure_msl_change_3h,1271.0,False
lightgbm,3,pressure_msl_change_6h,1592.0,False
lightgbm,3,precipitation_lag_1h,90.0,False
lightgbm,3,precipitation_lag_2h,130.0,False
lightgbm,3,precipitation_lag_3h,187.0,False
lightgbm,3,precipitation_lag_6h,172.0,False
lightgbm,3,precipitation_sum_past_3h,178.0,False
lightgbm,3,precipitation_sum_past_6h,267.0,False
lightgbm,3,precipitation_sum_past_12h,522.0,False
lightgbm,3,precipitation_sum_past_24h,937.0,False
lightgbm,3,cloud_cover_lag_1h,330.0,False
lightgbm,3,cloud_cover_lag_3h,499.0,False
lightgbm,3,cloud_cover_lag_6h,682.0,False
lightgbm,3,humidity_lag_1h,289.0,False
lightgbm,3,humidity_lag_3h,536.0,False
lightgbm,3,humidity_lag_6h,1068.0,False
lightgbm,3,wind_speed_lag_1h,348.0,False
lightgbm,3,wind_speed_lag_3h,555.0,False
lightgbm,3,hour_sin,1057.0,False
lightgbm,3,hour_cos,1175.0,False
lightgbm,3,month_sin,1579.0,False
lightgbm,3,month_cos,1389.0,False
lightgbm,3,grid_row,301.0,False
lightgbm,3,grid_column,180.0,False
lightgbm,3,latitude,61.0,False
lightgbm,3,longitude,39.0,False
lightgbm,3,neighbor_count,24.0,True
lightgbm,3,neighbor_precipitation_mean,280.0,True
lightgbm,3,neighbor_precipitation_max,167.0,True
lightgbm,3,neighbor_precipitation_sum,79.0,True
lightgbm,3,neighbor_rain_count,43.0,True
lightgbm,3,neighbor_rain_rate,179.0,True
lightgbm,3,neighbor_cloud_cover_mean,439.0,True
lightgbm,3,neighbor_cloud_cover_max,283.0,True
lightgbm,3,neighbor_relative_humidity_mean,449.0,True
lightgbm,3,neighbor_relative_humidity_max,400.0,True
lightgbm,3,neighbor_pressure_msl_mean,1279.0,True
lightgbm,3,neighbor_pressure_msl_min,1036.0,True
lightgbm,3,neighbor_pressure_msl_max,907.0,True
lightgbm,3,neighbor_temperature_2m_mean,1007.0,True
lightgbm,3,neighbor_dew_point_2m_mean,1782.0,True
lightgbm,3,neighbor_temperature_dew_point_spread_mean,429.0,True
lightgbm,3,neighbor_wind_speed_10m_mean,761.0,True
lightgbm,3,neighbor_wind_speed_10m_max,615.0,True
lightgbm,3,row_minus_precipitation_mean,106.0,True
lightgbm,3,row_plus_precipitation_mean,75.0,True
lightgbm,3,column_minus_precipitation_mean,71.0,True
lightgbm,3,column_plus_precipitation_mean,26.0,True
lightgbm,3,row_minus_cloud_cover_mean,319.0,True
lightgbm,3,row_plus_cloud_cover_mean,232.0,True
lightgbm,3,column_minus_cloud_cover_mean,199.0,True
lightgbm,3,column_plus_cloud_cover_mean,211.0,True
lightgbm,3,neighbor_precipitation_mean_minus_center,42.0,True
lightgbm,3,neighbor_cloud_cover_mean_minus_center,37.0,True
lightgbm,3,neighbor_relative_humidity_mean_minus_center,133.0,True
lightgbm,3,center_pressure_msl_minus_neighbor_mean,97.0,True
lightgbm,4,temperature_2m,420.0,False
lightgbm,4,relative_humidity_2m,53.0,False
lightgbm,4,pressure_msl,506.0,False
lightgbm,4,surface_pressure,347.0,False
lightgbm,4,dew_point_2m,468.0,False
lightgbm,4,precipitation,22.0,False
lightgbm,4,cloud_cover,36.0,False
lightgbm,4,wind_speed_10m,156.0,False
lightgbm,4,wind_direction_10m,1759.0,False
lightgbm,4,temperature_dew_point_spread,75.0,False
lightgbm,4,pressure_msl_change_3h,1216.0,False
lightgbm,4,pressure_msl_change_6h,1502.0,False
lightgbm,4,precipitation_lag_1h,90.0,False
lightgbm,4,precipitation_lag_2h,138.0,False
lightgbm,4,precipitation_lag_3h,174.0,False
lightgbm,4,precipitation_lag_6h,196.0,False
lightgbm,4,precipitation_sum_past_3h,125.0,False
lightgbm,4,precipitation_sum_past_6h,253.0,False
lightgbm,4,precipitation_sum_past_12h,530.0,False
lightgbm,4,precipitation_sum_past_24h,893.0,False
lightgbm,4,cloud_cover_lag_1h,335.0,False
lightgbm,4,cloud_cover_lag_3h,518.0,False
lightgbm,4,cloud_cover_lag_6h,707.0,False
lightgbm,4,humidity_lag_1h,271.0,False
lightgbm,4,humidity_lag_3h,633.0,False
lightgbm,4,humidity_lag_6h,1075.0,False
lightgbm,4,wind_speed_lag_1h,342.0,False
lightgbm,4,wind_speed_lag_3h,623.0,False
lightgbm,4,hour_sin,1020.0,False
lightgbm,4,hour_cos,1069.0,False
lightgbm,4,month_sin,1678.0,False
lightgbm,4,month_cos,1451.0,False
lightgbm,4,grid_row,292.0,False
lightgbm,4,grid_column,209.0,False
lightgbm,4,latitude,47.0,False
lightgbm,4,longitude,35.0,False
lightgbm,4,neighbor_count,9.0,True
lightgbm,4,neighbor_precipitation_mean,336.0,True
lightgbm,4,neighbor_precipitation_max,182.0,True
lightgbm,4,neighbor_precipitation_sum,57.0,True
lightgbm,4,neighbor_rain_count,24.0,True
lightgbm,4,neighbor_rain_rate,165.0,True
lightgbm,4,neighbor_cloud_cover_mean,450.0,True
lightgbm,4,neighbor_cloud_cover_max,224.0,True
lightgbm,4,neighbor_relative_humidity_mean,395.0,True
lightgbm,4,neighbor_relative_humidity_max,379.0,True
lightgbm,4,neighbor_pressure_msl_mean,1264.0,True
lightgbm,4,neighbor_pressure_msl_min,1069.0,True
lightgbm,4,neighbor_pressure_msl_max,1016.0,True
lightgbm,4,neighbor_temperature_2m_mean,1067.0,True
lightgbm,4,neighbor_dew_point_2m_mean,1772.0,True
lightgbm,4,neighbor_temperature_dew_point_spread_mean,404.0,True
lightgbm,4,neighbor_wind_speed_10m_mean,801.0,True
lightgbm,4,neighbor_wind_speed_10m_max,644.0,True
lightgbm,4,row_minus_precipitation_mean,80.0,True
lightgbm,4,row_plus_precipitation_mean,58.0,True
lightgbm,4,column_minus_precipitation_mean,90.0,True
lightgbm,4,column_plus_precipitation_mean,50.0,True
