model,target_type,feature_set,horizon_h,split,rows,rain_rate,roc_auc,pr_auc,brier_score
lightgbm,exact_hour,neighbor_grid,1,validation,368032,0.2684114424832623,0.9150031427785233,0.8130549320759857,0.12536728593787655
lightgbm,exact_hour,neighbor_grid,1,test,368032,0.16254836535953396,0.9332214727924177,0.7601249937584315,0.08202825180203421
lightgbm,exact_hour,neighbor_grid,2,validation,368032,0.26852556299452224,0.8553734678772918,0.6805217428407976,0.16530852223690032
lightgbm,exact_hour,neighbor_grid,2,test,368032,0.16243424484827407,0.878950869317946,0.582683408166754,0.10878791820736236
lightgbm,exact_hour,neighbor_grid,3,validation,368032,0.26860436049039216,0.8247065040070408,0.6158251846830691,0.18118362844868846
lightgbm,exact_hour,neighbor_grid,3,test,368032,0.16237446743761413,0.8538745932055664,0.5137788770238069,0.11847860161658955
lightgbm,exact_hour,neighbor_grid,4,validation,368032,0.268713046691592,0.8074540088612525,0.5817470073777786,0.19044590636416958
lightgbm,exact_hour,neighbor_grid,4,test,368032,0.16232827580210415,0.842113128414838,0.48602185877916115,0.12280685840925197
lightgbm,exact_hour,neighbor_grid,5,validation,368032,0.2688353186679419,0.7967514428753807,0.5619057760269335,0.19611049440374315
lightgbm,exact_hour,neighbor_grid,5,test,368032,0.16222230675593427,0.833289153593357,0.46082407895275646,0.12601531428933307
lightgbm,exact_hour,neighbor_grid,6,validation,368032,0.2688733588383619,0.7884430038221351,0.5501602085420949,0.199197603837863
lightgbm,exact_hour,neighbor_grid,6,test,368032,0.1621842665855143,0.8272186892358924,0.44892604904136896,0.12790158558495668
