model,horizon_h,feature,importance,is_neighbor_feature
lightgbm,1,temperature_2m,702.0,False
lightgbm,1,relative_humidity_2m,81.0,False
lightgbm,1,pressure_msl,442.0,False
lightgbm,1,surface_pressure,275.0,False
lightgbm,1,dew_point_2m,670.0,False
lightgbm,1,precipitation,277.0,False
lightgbm,1,cloud_cover,182.0,False
lightgbm,1,wind_speed_10m,359.0,False
lightgbm,1,wind_direction_10m,1571.0,False
lightgbm,1,temperature_dew_point_spread,168.0,False
lightgbm,1,pressure_msl_change_3h,1481.0,False
lightgbm,1,pressure_msl_change_6h,1578.0,False
lightgbm,1,precipitation_lag_1h,313.0,False
lightgbm,1,precipitation_lag_2h,99.0,False
lightgbm,1,precipitation_lag_3h,144.0,False
lightgbm,1,precipitation_lag_6h,150.0,False
lightgbm,1,precipitation_sum_past_3h,179.0,False
lightgbm,1,precipitation_sum_past_6h,238.0,False
lightgbm,1,precipitation_sum_past_12h,363.0,False
lightgbm,1,precipitation_sum_past_24h,642.0,False
lightgbm,1,cloud_cover_lag_1h,396.0,False
lightgbm,1,cloud_cover_lag_3h,422.0,False
lightgbm,1,cloud_cover_lag_6h,451.0,False
lightgbm,1,humidity_lag_1h,427.0,False
lightgbm,1,humidity_lag_3h,493.0,False
lightgbm,1,humidity_lag_6h,824.0,False
lightgbm,1,wind_speed_lag_1h,539.0,False
lightgbm,1,wind_speed_lag_3h,471.0,False
lightgbm,1,hour_sin,1183.0,False
lightgbm,1,hour_cos,1325.0,False
lightgbm,1,month_sin,1072.0,False
lightgbm,1,month_cos,853.0,False
lightgbm,1,grid_row,238.0,False
lightgbm,1,grid_column,158.0,False
lightgbm,1,latitude,53.0,False
lightgbm,1,longitude,36.0,False
lightgbm,1,neighbor_count,81.0,True
lightgbm,1,neighbor_precipitation_mean,521.0,True
lightgbm,1,neighbor_precipitation_max,232.0,True
lightgbm,1,neighbor_precipitation_sum,83.0,True
lightgbm,1,neighbor_rain_count,61.0,True
lightgbm,1,neighbor_rain_rate,336.0,True
lightgbm,1,neighbor_cloud_cover_mean,382.0,True
lightgbm,1,neighbor_cloud_cover_max,256.0,True
lightgbm,1,neighbor_relative_humidity_mean,373.0,True
lightgbm,1,neighbor_relative_humidity_max,551.0,True
lightgbm,1,neighbor_pressure_msl_mean,862.0,True
lightgbm,1,neighbor_pressure_msl_min,909.0,True
lightgbm,1,neighbor_pressure_msl_max,772.0,True
lightgbm,1,neighbor_temperature_2m_mean,933.0,True
lightgbm,1,neighbor_dew_point_2m_mean,1209.0,True
lightgbm,1,neighbor_temperature_dew_point_spread_mean,382.0,True
lightgbm,1,neighbor_wind_speed_10m_mean,506.0,True
lightgbm,1,neighbor_wind_speed_10m_max,796.0,True
lightgbm,1,row_minus_precipitation_mean,266.0,True
lightgbm,1,row_plus_precipitation_mean,117.0,True
lightgbm,1,column_minus_precipitation_mean,316.0,True
lightgbm,1,column_plus_precipitation_mean,224.0,True
lightgbm,1,row_minus_cloud_cover_mean,328.0,True
lightgbm,1,row_plus_cloud_cover_mean,226.0,True
lightgbm,1,column_minus_cloud_cover_mean,206.0,True
lightgbm,1,column_plus_cloud_cover_mean,317.0,True
lightgbm,1,neighbor_precipitation_mean_minus_center,157.0,True
lightgbm,1,neighbor_cloud_cover_mean_minus_center,79.0,True
lightgbm,1,neighbor_relative_humidity_mean_minus_center,216.0,True
lightgbm,1,center_pressure_msl_minus_neighbor_mean,448.0,True
lightgbm,2,temperature_2m,670.0,False
lightgbm,2,relative_humidity_2m,56.0,False
lightgbm,2,pressure_msl,428.0,False
lightgbm,2,surface_pressure,253.0,False
lightgbm,2,dew_point_2m,647.0,False
lightgbm,2,precipitation,196.0,False
lightgbm,2,cloud_cover,103.0,False
lightgbm,2,wind_speed_10m,359.0,False
lightgbm,2,wind_direction_10m,1711.0,False
lightgbm,2,temperature_dew_point_spread,176.0,False
lightgbm,2,pressure_msl_change_3h,1382.0,False
lightgbm,2,pressure_msl_change_6h,1546.0,False
lightgbm,2,precipitation_lag_1h,214.0,False
lightgbm,2,precipitation_lag_2h,76.0,False
lightgbm,2,precipitation_lag_3h,116.0,False
lightgbm,2,precipitation_lag_6h,100.0,False
lightgbm,2,precipitation_sum_past_3h,170.0,False
lightgbm,2,precipitation_sum_past_6h,312.0,False
lightgbm,2,precipitation_sum_past_12h,432.0,False
lightgbm,2,precipitation_sum_past_24h,811.0,False
lightgbm,2,cloud_cover_lag_1h,358.0,False
lightgbm,2,cloud_cover_lag_3h,470.0,False
lightgbm,2,cloud_cover_lag_6h,550.0,False
lightgbm,2,humidity_lag_1h,370.0,False
lightgbm,2,humidity_lag_3h,527.0,False
lightgbm,2,humidity_lag_6h,934.0,False
lightgbm,2,wind_speed_lag_1h,412.0,False
lightgbm,2,wind_speed_lag_3h,523.0,False
lightgbm,2,hour_sin,1138.0,False
lightgbm,2,hour_cos,1264.0,False
lightgbm,2,month_sin,1383.0,False
lightgbm,2,month_cos,1081.0,False
lightgbm,2,grid_row,285.0,False
lightgbm,2,grid_column,202.0,False
lightgbm,2,latitude,51.0,False
lightgbm,2,longitude,54.0,False
lightgbm,2,neighbor_count,42.0,True
lightgbm,2,neighbor_precipitation_mean,430.0,True
lightgbm,2,neighbor_precipitation_max,175.0,True
lightgbm,2,neighbor_precipitation_sum,87.0,True
lightgbm,2,neighbor_rain_count,37.0,True
lightgbm,2,neighbor_rain_rate,253.0,True
lightgbm,2,neighbor_cloud_cover_mean,407.0,True
lightgbm,2,neighbor_cloud_cover_max,293.0,True
lightgbm,2,neighbor_relative_humidity_mean,346.0,True
lightgbm,2,neighbor_relative_humidity_max,445.0,True
lightgbm,2,neighbor_pressure_msl_mean,1002.0,True
lightgbm,2,neighbor_pressure_msl_min,1019.0,True
lightgbm,2,neighbor_pressure_msl_max,833.0,True
lightgbm,2,neighbor_temperature_2m_mean,907.0,True
lightgbm,2,neighbor_dew_point_2m_mean,1613.0,True
lightgbm,2,neighbor_temperature_dew_point_spread_mean,376.0,True
lightgbm,2,neighbor_wind_speed_10m_mean,575.0,True
lightgbm,2,neighbor_wind_speed_10m_max,664.0,True
lightgbm,2,row_minus_precipitation_mean,194.0,True
lightgbm,2,row_plus_precipitation_mean,51.0,True
lightgbm,2,column_minus_precipitation_mean,207.0,True
lightgbm,2,column_plus_precipitation_mean,125.0,True
lightgbm,2,row_minus_cloud_cover_mean,308.0,True
lightgbm,2,row_plus_cloud_cover_mean,221.0,True
lightgbm,2,column_minus_cloud_cover_mean,216.0,True
lightgbm,2,column_plus_cloud_cover_mean,249.0,True
lightgbm,2,neighbor_precipitation_mean_minus_center,72.0,True
lightgbm,2,neighbor_cloud_cover_mean_minus_center,44.0,True
lightgbm,2,neighbor_relative_humidity_mean_minus_center,162.0,True
lightgbm,2,center_pressure_msl_minus_neighbor_mean,287.0,True
