model,feature_set_baseline,horizon_h,split,rows_baseline,rain_rate_baseline,roc_auc_baseline,pr_auc_baseline,brier_score_baseline,feature_set_neighbor,rows_neighbor,rain_rate_neighbor,roc_auc_neighbor,pr_auc_neighbor,brier_score_neighbor,roc_auc_delta,pr_auc_delta,brier_score_delta
hist_gradient_boosting,baseline,1,test,367960,0.162376345254919,0.9162496677576325,0.7217117446353501,0.07695442972603066,neighbor_grid,367960,0.162376345254919,0.9317023565691889,0.7586563377894684,0.07062779304782534,0.01545268881155637,0.036944593154118244,-0.006326636678205322
hist_gradient_boosting,baseline,2,test,367960,0.21837971518643332,0.8992351078439627,0.7380295836603774,0.10003211269486875,neighbor_grid,367960,0.21837971518643332,0.9114074876816463,0.7646376529255784,0.09410506664418006,0.0121723798376836,0.026608069265200984,-0.005927046050688695
hist_gradient_boosting,baseline,3,test,367960,0.2631699097728014,0.892859390942495,0.7624649656621213,0.11340988368046848,neighbor_grid,367960,0.2631699097728014,0.9024452849882258,0.781507876424439,0.1084729306524749,0.009585894045730847,0.019042910762317677,-0.004936953027993574
hist_gradient_boosting,baseline,6,test,367960,0.3644363517773671,0.8871041329999292,0.8183044794276565,0.13277794672478846,neighbor_grid,367960,0.3644363517773671,0.8924282834424551,0.82730071794431,0.12953730207892442,0.005324150442525877,0.008996238516653543,-0.0032406446458640437
hist_gradient_boosting,baseline,1,validation,368032,0.268713046691592,0.8967556764361774,0.780486163306341,0.10928617137058588,neighbor_grid,368032,0.268713046691592,0.9135290334341191,0.8112927515741274,0.10081470337632566,0.01677335699794169,0.030806588267786372,-0.008471467994260226
hist_gradient_boosting,baseline,2,validation,368032,0.3494886314233545,0.881123719601929,0.8082156372237876,0.1315065857683485,neighbor_grid,368032,0.3494886314233545,0.8938995759307747,0.8284968972313695,0.12430967247585596,0.012775856328845703,0.020281260007581903,-0.007196913292492543
hist_gradient_boosting,baseline,3,validation,368032,0.41112185896878534,0.8760099604751229,0.8336746036692109,0.14105612204334572,neighbor_grid,368032,0.41112185896878534,0.8863249530809552,0.8485077462951058,0.13502777564261656,0.01031499260583224,0.014833142625894968,-0.006028346400729162
hist_gradient_boosting,baseline,6,validation,368032,0.5388933570993827,0.8737054099584235,0.8853923803321672,0.14506054593865494,neighbor_grid,368032,0.5388933570993827,0.8811421088294421,0.8931798943499385,0.14068631286686434,0.00743669887101861,0.007787514017771335,-0.004374233071790606
lightgbm,baseline,1,test,367960,0.162376345254919,0.9170137763839937,0.722313047490563,0.08764263016476945,neighbor_grid,367960,0.162376345254919,0.9330362705271563,0.7599383840821979,0.08194308722501202,0.01602249414316259,0.03762533659163492,-0.0056995429397574265
lightgbm,baseline,2,test,367960,0.21837971518643332,0.8996866157127492,0.7399049517205882,0.10520465538079869,neighbor_grid,367960,0.21837971518643332,0.9123485505410279,0.7669245365314503,0.09930550406834993,0.01266193482827871,0.027019584810862085,-0.0058991513124487666
lightgbm,baseline,3,test,367960,0.2631699097728014,0.893077213244674,0.7623095499397837,0.11521028787407975,neighbor_grid,367960,0.2631699097728014,0.9023791662736962,0.7811953882357976,0.11048823800153543,0.009301953029022147,0.018885838296013868,-0.0047220498725443205
lightgbm,baseline,6,test,367960,0.3644363517773671,0.8868468744927409,0.8177941926738366,0.1314111411392432,neighbor_grid,367960,0.3644363517773671,0.891713981517475,0.8260493111730606,0.1285268894290244,0.004867107024734141,0.008255118499224001,-0.0028842517102188048
lightgbm,baseline,1,validation,368032,0.268713046691592,0.8980399382177697,0.7818856376872233,0.13490652826443236,neighbor_grid,368032,0.268713046691592,0.914793524645477,0.8130872633138768,0.1256274347523723,0.0167535864277073,0.031201625626653517,-0.00927909351206005
lightgbm,baseline,2,validation,368032,0.3494886314233545,0.8822190765061451,0.8098523675045486,0.14564014450099816,neighbor_grid,368032,0.3494886314233545,0.8949753176101763,0.8300143600645393,0.13817430566193298,0.012756241104031285,0.020161992559990738,-0.007465838839065181
lightgbm,baseline,3,validation,368032,0.41112185896878534,0.8771653050566997,0.8353773564012102,0.14778380806345323,neighbor_grid,368032,0.41112185896878534,0.8874750498035093,0.8495886314217964,0.1416428700385744,0.01030974474680968,0.014211275020586167,-0.006140938024878834
lightgbm,baseline,6,validation,368032,0.5388933570993827,0.8756297477485695,0.8870974984077598,0.1434701185391916,neighbor_grid,368032,0.5388933570993827,0.88192353456045,0.8941153815772593,0.1399909604893439,0.006293786811880531,0.007017883169499584,-0.0034791580498476915
