part,fold,horizon_h,model,train_rows,test_rows,fit_seconds
A_year,2021,1,lightgbm,2230800,221424,109.32646584510803
A_year,2021,2,lightgbm,2230800,221424,45.14150547981262
A_year,2021,3,hist_gradient_boosting,2230800,221424,73.6325159072876
A_year,2021,6,hist_gradient_boosting,2230800,221424,44.36807918548584
A_year,2022,1,lightgbm,1960320,490560,42.46074819564819
A_year,2022,2,lightgbm,1960320,490560,36.33941292762756
A_year,2022,3,hist_gradient_boosting,1960320,490560,51.74661898612976
A_year,2022,6,hist_gradient_boosting,1960320,490560,125.00942397117615
A_year,2023,1,lightgbm,1960320,490560,132.86929893493652
A_year,2023,2,lightgbm,1960320,490560,58.669926404953
A_year,2023,3,hist_gradient_boosting,1960320,490560,40.38518667221069
A_year,2023,6,hist_gradient_boosting,1960320,490560,41.880430936813354
A_year,2024,1,lightgbm,1958976,491904,42.48815107345581
A_year,2024,2,lightgbm,1958976,491904,40.70141816139221
A_year,2024,3,hist_gradient_boosting,1958976,491904,40.268362522125244
A_year,2024,6,hist_gradient_boosting,1958976,491904,39.840142011642456
A_year,2025,1,lightgbm,1960320,490560,36.34508967399597
A_year,2025,2,lightgbm,1960320,490560,34.99670934677124
A_year,2025,3,hist_gradient_boosting,1960320,490560,39.320629596710205
A_year,2025,6,hist_gradient_boosting,1960320,490560,40.34429121017456
A_year,2026,1,lightgbm,2183664,268560,38.751524925231934
A_year,2026,2,lightgbm,2183664,268560,37.410935163497925
A_year,2026,3,hist_gradient_boosting,2183664,268560,42.552781105041504
A_year,2026,6,hist_gradient_boosting,2183664,268560,42.52649736404419
B_quarter,Q1,1,lightgbm,1833984,606144,34.63556671142578
B_quarter,Q1,2,lightgbm,1833984,606144,38.51346278190613
B_quarter,Q1,3,hist_gradient_boosting,1833984,606144,37.020407915115356
B_quarter,Q1,6,hist_gradient_boosting,1833984,606144,36.93132829666138
B_quarter,Q2,1,lightgbm,1828608,611520,36.13975548744202
B_quarter,Q2,2,lightgbm,1828608,611520,32.61884045600891
B_quarter,Q2,3,hist_gradient_boosting,1828608,611520,35.79707050323486
B_quarter,Q2,6,hist_gradient_boosting,1828608,611520,36.102996587753296
B_quarter,Q3,1,lightgbm,1822464,617664,36.023839473724365
B_quarter,Q3,2,lightgbm,1822464,617664,33.21735191345215
B_quarter,Q3,3,hist_gradient_boosting,1822464,617664,37.09807467460632
B_quarter,Q3,6,hist_gradient_boosting,1822464,617664,37.788182973861694
B_quarter,Q4,1,lightgbm,1821888,618240,38.51854348182678
B_quarter,Q4,2,lightgbm,1821888,618240,33.40313100814819
B_quarter,Q4,3,hist_gradient_boosting,1821888,618240,99.47874140739441
B_quarter,Q4,6,hist_gradient_boosting,1821888,618240,137.72313380241394
