part,fold,test_rows,train_rows,purged_rows,test_rain_rate_1h
A_year,2021,221424,2230800,1344,0.3074102175012645
A_year,2022,490560,1960320,2688,0.24471420417482062
A_year,2023,490560,1960320,2688,0.19565598499673842
A_year,2024,491904,1958976,2688,0.20006545992714025
A_year,2025,490560,1960320,2688,0.22867335290280497
A_year,2026,268560,2183664,1344,0.17302278820375336
B_quarter,"Q1 [1, 2, 3]",606144,1833984,13440,0.08291594076655052
B_quarter,"Q2 [4, 5, 6]",611520,1828608,13440,0.22895408163265307
B_quarter,"Q3 [7, 8, 9]",617664,1822464,13440,0.40056729872552066
B_quarter,"Q4 [10, 11, 12]",618240,1821888,13440,0.16736057194616977
