model,horizon_h,feature,importance
lightgbm,1,temperature_2m,118.0
lightgbm,1,relative_humidity_2m,35.0
lightgbm,1,pressure_msl,31.0
lightgbm,1,surface_pressure,27.0
lightgbm,1,dew_point_2m,240.0
lightgbm,1,precipitation,76.0
lightgbm,1,cloud_cover,188.0
lightgbm,1,wind_speed_10m,52.0
lightgbm,1,wind_direction_10m,155.0
lightgbm,1,temperature_dew_point_spread,50.0
lightgbm,1,pressure_msl_change_3h,97.0
lightgbm,1,pressure_msl_change_6h,64.0
lightgbm,1,precipitation_lag_1h,25.0
lightgbm,1,precipitation_lag_2h,33.0
lightgbm,1,precipitation_lag_3h,11.0
lightgbm,1,precipitation_lag_6h,1.0
lightgbm,1,precipitation_sum_past_3h,41.0
lightgbm,1,precipitation_sum_past_6h,51.0
lightgbm,1,precipitation_sum_past_12h,10.0
lightgbm,1,precipitation_sum_past_24h,133.0
lightgbm,1,cloud_cover_lag_1h,21.0
lightgbm,1,cloud_cover_lag_3h,10.0
lightgbm,1,cloud_cover_lag_6h,8.0
lightgbm,1,humidity_lag_1h,16.0
lightgbm,1,humidity_lag_3h,37.0
lightgbm,1,humidity_lag_6h,84.0
lightgbm,1,wind_speed_lag_1h,36.0
lightgbm,1,wind_speed_lag_3h,19.0
lightgbm,1,hour_sin,179.0
lightgbm,1,hour_cos,167.0
lightgbm,1,month_sin,182.0
lightgbm,1,month_cos,61.0
lightgbm,1,grid_row,31.0
lightgbm,1,grid_column,0.0
lightgbm,1,latitude,5.0
lightgbm,1,longitude,0.0
lightgbm,2,temperature_2m,181.0
lightgbm,2,relative_humidity_2m,37.0
lightgbm,2,pressure_msl,122.0
lightgbm,2,surface_pressure,37.0
lightgbm,2,dew_point_2m,393.0
lightgbm,2,precipitation,125.0
lightgbm,2,cloud_cover,297.0
lightgbm,2,wind_speed_10m,123.0
lightgbm,2,wind_direction_10m,292.0
lightgbm,2,temperature_dew_point_spread,60.0
lightgbm,2,pressure_msl_change_3h,132.0
lightgbm,2,pressure_msl_change_6h,79.0
lightgbm,2,precipitation_lag_1h,19.0
lightgbm,2,precipitation_lag_2h,31.0
lightgbm,2,precipitation_lag_3h,17.0
lightgbm,2,precipitation_lag_6h,2.0
lightgbm,2,precipitation_sum_past_3h,49.0
lightgbm,2,precipitation_sum_past_6h,56.0
lightgbm,2,precipitation_sum_past_12h,39.0
lightgbm,2,precipitation_sum_past_24h,251.0
lightgbm,2,cloud_cover_lag_1h,47.0
lightgbm,2,cloud_cover_lag_3h,36.0
lightgbm,2,cloud_cover_lag_6h,31.0
lightgbm,2,humidity_lag_1h,10.0
lightgbm,2,humidity_lag_3h,63.0
lightgbm,2,humidity_lag_6h,146.0
lightgbm,2,wind_speed_lag_1h,61.0
lightgbm,2,wind_speed_lag_3h,40.0
lightgbm,2,hour_sin,257.0
lightgbm,2,hour_cos,305.0
lightgbm,2,month_sin,350.0
lightgbm,2,month_cos,145.0
lightgbm,2,grid_row,56.0
lightgbm,2,grid_column,6.0
lightgbm,2,latitude,10.0
lightgbm,2,longitude,1.0
