model,horizon_h,feature,importance,is_neighbor_feature
lightgbm,1,temperature_2m,48.0,False
lightgbm,1,relative_humidity_2m,2.0,False
lightgbm,1,pressure_msl,13.0,False
lightgbm,1,surface_pressure,2.0,False
lightgbm,1,dew_point_2m,76.0,False
lightgbm,1,precipitation,101.0,False
lightgbm,1,cloud_cover,39.0,False
lightgbm,1,wind_speed_10m,7.0,False
lightgbm,1,wind_direction_10m,106.0,False
lightgbm,1,temperature_dew_point_spread,1.0,False
lightgbm,1,pressure_msl_change_3h,62.0,False
lightgbm,1,pressure_msl_change_6h,45.0,False
lightgbm,1,precipitation_lag_1h,57.0,False
lightgbm,1,precipitation_lag_2h,0.0,False
lightgbm,1,precipitation_lag_3h,3.0,False
lightgbm,1,precipitation_lag_6h,1.0,False
lightgbm,1,precipitation_sum_past_3h,51.0,False
lightgbm,1,precipitation_sum_past_6h,58.0,False
lightgbm,1,precipitation_sum_past_12h,4.0,False
lightgbm,1,precipitation_sum_past_24h,115.0,False
lightgbm,1,cloud_cover_lag_1h,9.0,False
lightgbm,1,cloud_cover_lag_3h,4.0,False
lightgbm,1,cloud_cover_lag_6h,3.0,False
lightgbm,1,humidity_lag_1h,10.0,False
lightgbm,1,humidity_lag_3h,27.0,False
lightgbm,1,humidity_lag_6h,96.0,False
lightgbm,1,wind_speed_lag_1h,21.0,False
lightgbm,1,wind_speed_lag_3h,25.0,False
lightgbm,1,hour_sin,174.0,False
lightgbm,1,hour_cos,249.0,False
lightgbm,1,month_sin,127.0,False
lightgbm,1,month_cos,52.0,False
lightgbm,1,grid_row,27.0,False
lightgbm,1,grid_column,4.0,False
lightgbm,1,latitude,5.0,False
lightgbm,1,longitude,0.0,False
lightgbm,1,neighbor_count,2.0,True
lightgbm,1,neighbor_precipitation_mean,125.0,True
lightgbm,1,neighbor_precipitation_max,14.0,True
lightgbm,1,neighbor_precipitation_sum,19.0,True
lightgbm,1,neighbor_rain_count,6.0,True
lightgbm,1,neighbor_rain_rate,68.0,True
lightgbm,1,neighbor_cloud_cover_mean,38.0,True
lightgbm,1,neighbor_cloud_cover_max,23.0,True
lightgbm,1,neighbor_relative_humidity_mean,48.0,True
lightgbm,1,neighbor_relative_humidity_max,52.0,True
lightgbm,1,neighbor_pressure_msl_mean,14.0,True
lightgbm,1,neighbor_pressure_msl_min,21.0,True
lightgbm,1,neighbor_pressure_msl_max,7.0,True
lightgbm,1,neighbor_temperature_2m_mean,34.0,True
lightgbm,1,neighbor_dew_point_2m_mean,157.0,True
lightgbm,1,neighbor_temperature_dew_point_spread_mean,35.0,True
lightgbm,1,neighbor_wind_speed_10m_mean,7.0,True
lightgbm,1,neighbor_wind_speed_10m_max,30.0,True
lightgbm,1,row_minus_precipitation_mean,45.0,True
lightgbm,1,row_plus_precipitation_mean,4.0,True
lightgbm,1,column_minus_precipitation_mean,0.0,True
lightgbm,1,column_plus_precipitation_mean,0.0,True
lightgbm,1,row_minus_cloud_cover_mean,63.0,True
lightgbm,1,row_plus_cloud_cover_mean,32.0,True
lightgbm,1,column_minus_cloud_cover_mean,3.0,True
lightgbm,1,column_plus_cloud_cover_mean,18.0,True
lightgbm,1,neighbor_precipitation_mean_minus_center,28.0,True
lightgbm,1,neighbor_cloud_cover_mean_minus_center,0.0,True
lightgbm,1,neighbor_relative_humidity_mean_minus_center,21.0,True
lightgbm,1,center_pressure_msl_minus_neighbor_mean,66.0,True
lightgbm,2,temperature_2m,1812.0,False
lightgbm,2,relative_humidity_2m,269.0,False
lightgbm,2,pressure_msl,1457.0,False
lightgbm,2,surface_pressure,1050.0,False
lightgbm,2,dew_point_2m,1692.0,False
lightgbm,2,precipitation,398.0,False
lightgbm,2,cloud_cover,331.0,False
lightgbm,2,wind_speed_10m,1089.0,False
lightgbm,2,wind_direction_10m,4477.0,False
lightgbm,2,temperature_dew_point_spread,620.0,False
lightgbm,2,pressure_msl_change_3h,4463.0,False
lightgbm,2,pressure_msl_change_6h,4804.0,False
lightgbm,2,precipitation_lag_1h,506.0,False
lightgbm,2,precipitation_lag_2h,321.0,False
lightgbm,2,precipitation_lag_3h,432.0,False
lightgbm,2,precipitation_lag_6h,497.0,False
lightgbm,2,precipitation_sum_past_3h,597.0,False
lightgbm,2,precipitation_sum_past_6h,975.0,False
lightgbm,2,precipitation_sum_past_12h,1367.0,False
lightgbm,2,precipitation_sum_past_24h,2448.0,False
lightgbm,2,cloud_cover_lag_1h,1192.0,False
lightgbm,2,cloud_cover_lag_3h,1676.0,False
lightgbm,2,cloud_cover_lag_6h,1935.0,False
lightgbm,2,humidity_lag_1h,1342.0,False
lightgbm,2,humidity_lag_3h,1841.0,False
lightgbm,2,humidity_lag_6h,2735.0,False
lightgbm,2,wind_speed_lag_1h,1617.0,False
lightgbm,2,wind_speed_lag_3h,2176.0,False
lightgbm,2,hour_sin,2520.0,False
lightgbm,2,hour_cos,2602.0,False
lightgbm,2,month_sin,3299.0,False
lightgbm,2,month_cos,2884.0,False
lightgbm,2,grid_row,953.0,False
lightgbm,2,grid_column,922.0,False
lightgbm,2,latitude,150.0,False
lightgbm,2,longitude,168.0,False
lightgbm,2,neighbor_count,133.0,True
lightgbm,2,neighbor_precipitation_mean,930.0,True
lightgbm,2,neighbor_precipitation_max,562.0,True
lightgbm,2,neighbor_precipitation_sum,223.0,True
lightgbm,2,neighbor_rain_count,129.0,True
lightgbm,2,neighbor_rain_rate,580.0,True
lightgbm,2,neighbor_cloud_cover_mean,1102.0,True
lightgbm,2,neighbor_cloud_cover_max,788.0,True
lightgbm,2,neighbor_relative_humidity_mean,1159.0,True
lightgbm,2,neighbor_relative_humidity_max,1368.0,True
lightgbm,2,neighbor_pressure_msl_mean,3374.0,True
lightgbm,2,neighbor_pressure_msl_min,3004.0,True
lightgbm,2,neighbor_pressure_msl_max,2565.0,True
lightgbm,2,neighbor_temperature_2m_mean,2914.0,True
lightgbm,2,neighbor_dew_point_2m_mean,4218.0,True
lightgbm,2,neighbor_temperature_dew_point_spread_mean,1297.0,True
lightgbm,2,neighbor_wind_speed_10m_mean,2052.0,True
lightgbm,2,neighbor_wind_speed_10m_max,2017.0,True
lightgbm,2,row_minus_precipitation_mean,430.0,True
lightgbm,2,row_plus_precipitation_mean,336.0,True
lightgbm,2,column_minus_precipitation_mean,530.0,True
lightgbm,2,column_plus_precipitation_mean,467.0,True
lightgbm,2,row_minus_cloud_cover_mean,933.0,True
lightgbm,2,row_plus_cloud_cover_mean,779.0,True
lightgbm,2,column_minus_cloud_cover_mean,805.0,True
lightgbm,2,column_plus_cloud_cover_mean,905.0,True
lightgbm,2,neighbor_precipitation_mean_minus_center,324.0,True
lightgbm,2,neighbor_cloud_cover_mean_minus_center,306.0,True
lightgbm,2,neighbor_relative_humidity_mean_minus_center,572.0,True
lightgbm,2,center_pressure_msl_minus_neighbor_mean,581.0,True
