stage,fold,target,horizon_h,threshold_mm,model,train_rows,fit_seconds
oof,2021,h1_0.1mm,1,0.1,lightgbm,2230648,46.745469093322754
oof,2021,h3_0.1mm,3,0.1,hist_gradient_boosting,2230648,44.971521854400635
oof,2021,h6_0.1mm,6,0.1,hist_gradient_boosting,2230648,41.86558747291565
oof,2021,h1_1.0mm,1,1.0,lightgbm,2230648,36.64525842666626
oof,2021,h3_1.0mm,3,1.0,hist_gradient_boosting,2230648,37.4949152469635
oof,2021,h6_1.0mm,6,1.0,hist_gradient_boosting,2230648,39.20318531990051
oof,2022,h1_0.1mm,1,0.1,lightgbm,1960112,37.25330567359924
oof,2022,h3_0.1mm,3,0.1,hist_gradient_boosting,1960112,39.35875749588013
oof,2022,h6_0.1mm,6,0.1,hist_gradient_boosting,1960112,39.18230104446411
oof,2022,h1_1.0mm,1,1.0,lightgbm,1960112,37.9066162109375
oof,2022,h3_1.0mm,3,1.0,hist_gradient_boosting,1960112,35.01245427131653
oof,2022,h6_1.0mm,6,1.0,hist_gradient_boosting,1960112,34.5396671295166
oof,2023,h1_0.1mm,1,0.1,lightgbm,1960112,37.67745923995972
oof,2023,h3_0.1mm,3,0.1,hist_gradient_boosting,1960112,39.52953839302063
oof,2023,h6_0.1mm,6,0.1,hist_gradient_boosting,1960112,39.71905493736267
oof,2023,h1_1.0mm,1,1.0,lightgbm,1960112,36.222169160842896
oof,2023,h3_1.0mm,3,1.0,hist_gradient_boosting,1960112,34.37527251243591
oof,2023,h6_1.0mm,6,1.0,hist_gradient_boosting,1960112,37.46600890159607
oof,2024,h1_0.1mm,1,0.1,lightgbm,1958768,38.45505213737488
oof,2024,h3_0.1mm,3,0.1,hist_gradient_boosting,1958768,39.944470167160034
oof,2024,h6_0.1mm,6,0.1,hist_gradient_boosting,1958768,41.423646450042725
oof,2024,h1_1.0mm,1,1.0,lightgbm,1958768,34.90636873245239
oof,2024,h3_1.0mm,3,1.0,hist_gradient_boosting,1958768,34.47388434410095
oof,2024,h6_1.0mm,6,1.0,hist_gradient_boosting,1958768,36.12564182281494
oof,2025,h1_0.1mm,1,0.1,lightgbm,1960112,37.14154314994812
oof,2025,h3_0.1mm,3,0.1,hist_gradient_boosting,1960112,39.317410707473755
oof,2025,h6_0.1mm,6,0.1,hist_gradient_boosting,1960112,40.47858452796936
oof,2025,h1_1.0mm,1,1.0,lightgbm,1960112,36.890711545944214
oof,2025,h3_1.0mm,3,1.0,hist_gradient_boosting,1960112,33.9781379699707
oof,2025,h6_1.0mm,6,1.0,hist_gradient_boosting,1960112,35.591930627822876
oof,2026,h1_0.1mm,1,0.1,lightgbm,2183608,38.12751245498657
oof,2026,h3_0.1mm,3,0.1,hist_gradient_boosting,2183608,41.64589285850525
oof,2026,h6_0.1mm,6,0.1,hist_gradient_boosting,2183608,42.887242794036865
oof,2026,h1_1.0mm,1,1.0,lightgbm,2183608,35.137052059173584
oof,2026,h3_1.0mm,3,1.0,hist_gradient_boosting,2183608,36.551557540893555
oof,2026,h6_1.0mm,6,1.0,hist_gradient_boosting,2183608,37.8188796043396
final,all,h1_0.1mm,1,0.1,lightgbm,2453360,45.337098836898804
final,all,h3_0.1mm,3,0.1,hist_gradient_boosting,2453360,43.73454427719116
final,all,h6_0.1mm,6,0.1,hist_gradient_boosting,2453360,44.23002505302429
final,all,h1_1.0mm,1,1.0,lightgbm,2453360,40.92408633232117
final,all,h3_1.0mm,3,1.0,hist_gradient_boosting,2453360,37.649219036102295
final,all,h6_1.0mm,6,1.0,hist_gradient_boosting,2453360,39.65782642364502
