target,season,base_rate,threshold,precision,recall,f1,fired_share
h1_0.1mm,all,0.17785322985619723,0.05,0.27531051417719854,0.9681852142146684,0.42871328474753256,0.6254569243812568
h1_0.1mm,all,0.17785322985619723,0.1,0.32456752283007906,0.9180726867703478,0.4795862477664742,0.5030761893892458
h1_0.1mm,all,0.17785322985619723,0.15,0.3657018454136302,0.8577295582782155,0.5127762478249551,0.41714302018456323
h1_0.1mm,all,0.17785322985619723,0.2,0.40232016665985865,0.7900343311836237,0.5331413507705466,0.3492496005478201
h1_0.1mm,all,0.17785322985619723,0.25,0.435816320733409,0.7208081808139561,0.5432013049984931,0.29415617765024293
h1_0.1mm,all,0.17785322985619723,0.3,0.4760075915197002,0.6328625973442606,0.5433411480443382,0.23645979391528352
h1_0.1mm,all,0.17785322985619723,0.35,0.526079979518221,0.5274351534819337,0.5267566948958571,0.17831137705024946
h1_0.1mm,all,0.17785322985619723,0.4,0.5614142227150307,0.457189151529319,0.5039694519566841,0.14483524635601788
h1_0.1mm,all,0.17785322985619723,0.45,0.6036918944900438,0.37707465313587174,0.4642020310884338,0.11108968924250823
h1_0.1mm,all,0.17785322985619723,0.5,0.6396472189662343,0.31015863848667774,0.4177529733884435,0.086239280007826
h1_0.1mm,all,0.17785322985619723,0.55,0.6720047593608858,0.2536978214136747,0.3683389178559426,0.06714383539309356
h1_0.1mm,all,0.17785322985619723,0.6,0.7217052936884677,0.18362599636061952,0.2927632240018854,0.04525181791502266
h1_0.1mm,all,0.17785322985619723,0.65,0.7685055489710161,0.13077018274823646,0.22350789093316306,0.03026380148041869
h1_0.1mm,all,0.17785322985619723,0.7,0.7980506613827452,0.10245726936457517,0.1815999366313468,0.022833583330615973
h1_0.1mm,all,0.17785322985619723,0.75,0.831500881651281,0.0734889008062557,0.13504259826237835,0.01571885088205563
h1_0.1mm,all,0.17785322985619723,0.8,0.8563884785819793,0.05314916418006225,0.1000867467383658,0.011037923500831513
h1_0.1mm,all,0.17785322985619723,0.85,0.8940524736477649,0.026630731222125968,0.05172087640624478,0.005297632634427887
h1_0.1mm,all,0.17785322985619723,0.9,0.9200853298326223,0.012850129945134276,0.025346267901055982,0.0024839403919522615
h1_0.1mm,wet,0.29848360761870235,0.05,0.3124856778497991,0.9945395637615736,0.47555220792420644,0.949975560331991
h1_0.1mm,wet,0.29848360761870235,0.1,0.3438476636984787,0.965591660227473,0.5071123654061381,0.8382004959148528
h1_0.1mm,wet,0.29848360761870235,0.15,0.3781742294951429,0.9167947727303537,0.5354694300583774,0.7236035400292629
h1_0.1mm,wet,0.29848360761870235,0.2,0.4119078104993598,0.8547616142719644,0.5559192921976874,0.6193918245264207
h1_0.1mm,wet,0.29848360761870235,0.25,0.4439371692514759,0.7869508045603048,0.5676498917034581,0.5291107197886858
