fold,target,horizon_h,threshold_mm,model,train_rows,fit_seconds
2021,h1_0.1mm,1,0.1,lightgbm,2230648,59.45997381210327
2021,h3_0.1mm,3,0.1,hist_gradient_boosting,2230648,62.019880533218384
2021,h6_0.1mm,6,0.1,hist_gradient_boosting,2230648,159.82582068443298
2021,h1_1.0mm,1,1.0,lightgbm,2230648,164.60030150413513
2021,h3_1.0mm,3,1.0,hist_gradient_boosting,2230648,72.58116555213928
2021,h6_1.0mm,6,1.0,hist_gradient_boosting,2230648,45.12115287780762
2022,h1_0.1mm,1,0.1,lightgbm,1960112,148.5778648853302
2022,h3_0.1mm,3,0.1,hist_gradient_boosting,1960112,150.78483486175537
2022,h6_0.1mm,6,0.1,hist_gradient_boosting,1960112,146.09969830513
2022,h1_1.0mm,1,1.0,lightgbm,1960112,140.98321413993835
2022,h3_1.0mm,3,1.0,hist_gradient_boosting,1960112,40.126052379608154
2022,h6_1.0mm,6,1.0,hist_gradient_boosting,1960112,40.89593839645386
2023,h1_0.1mm,1,0.1,lightgbm,1960112,51.1114718914032
2023,h3_0.1mm,3,0.1,hist_gradient_boosting,1960112,45.745075702667236
2023,h6_0.1mm,6,0.1,hist_gradient_boosting,1960112,46.09845304489136
2023,h1_1.0mm,1,1.0,lightgbm,1960112,45.89281678199768
2023,h3_1.0mm,3,1.0,hist_gradient_boosting,1960112,38.42463707923889
2023,h6_1.0mm,6,1.0,hist_gradient_boosting,1960112,40.22779369354248
2024,h1_0.1mm,1,0.1,lightgbm,1958768,139.3496584892273
2024,h3_0.1mm,3,0.1,hist_gradient_boosting,1958768,152.1299352645874
2024,h6_0.1mm,6,0.1,hist_gradient_boosting,1958768,47.369667291641235
2024,h1_1.0mm,1,1.0,lightgbm,1958768,45.63419198989868
2024,h3_1.0mm,3,1.0,hist_gradient_boosting,1958768,38.82436442375183
2024,h6_1.0mm,6,1.0,hist_gradient_boosting,1958768,39.983675718307495
2025,h1_0.1mm,1,0.1,lightgbm,1960112,48.71936297416687
2025,h3_0.1mm,3,0.1,hist_gradient_boosting,1960112,44.00295329093933
2025,h6_0.1mm,6,0.1,hist_gradient_boosting,1960112,45.13788199424744
2025,h1_1.0mm,1,1.0,lightgbm,1960112,74.93846130371094
2025,h3_1.0mm,3,1.0,hist_gradient_boosting,1960112,52.840479373931885
2025,h6_1.0mm,6,1.0,hist_gradient_boosting,1960112,77.04744148254395
2026,h1_0.1mm,1,0.1,lightgbm,2183608,56.50558423995972
2026,h3_0.1mm,3,0.1,hist_gradient_boosting,2183608,49.006856203079224
2026,h6_0.1mm,6,0.1,hist_gradient_boosting,2183608,51.024070739746094
2026,h1_1.0mm,1,1.0,lightgbm,2183608,49.619946002960205
2026,h3_1.0mm,3,1.0,hist_gradient_boosting,2183608,42.91286015510559
2026,h6_1.0mm,6,1.0,hist_gradient_boosting,2183608,45.381590604782104
