horizon_h,threshold_mm,model,rows,base_rate,roc_auc,pr_auc,pr_auc_lift
1,0.1,V1_trained_on_open_meteo,367808,0.10073734122150688,0.7603641373724112,0.26854172606831717,2.665761502259948
1,0.1,V2_trained_on_imerg,367808,0.10073734122150688,0.8280261873666087,0.3341164100601601,3.3167086405971973
1,1.0,V1_trained_on_open_meteo,367808,0.021859230903079868,0.8128142992523871,0.08568925553479088,3.920048967629399
1,1.0,V2_trained_on_imerg,367808,0.021859230903079868,0.861584350662522,0.11960393692811737,5.471552840007089
3,0.1,V1_trained_on_open_meteo,367808,0.16889790325387158,0.768722851661023,0.3966329023762699,2.3483589478318647
3,0.1,V2_trained_on_imerg,367808,0.16889790325387158,0.8257333583954837,0.45263796623444486,2.6799501800450516
3,1.0,V1_trained_on_open_meteo,367808,0.0424134330955281,0.8070998699450033,0.15256724745168287,3.5971444968402935
3,1.0,V2_trained_on_imerg,367808,0.0424134330955281,0.8490993174597004,0.19566088683060062,4.613182016883946
6,0.1,V1_trained_on_open_meteo,367808,0.24634863842004523,0.7673744782333666,0.507448702810582,2.059880282128205
6,0.1,V2_trained_on_imerg,367808,0.24634863842004523,0.8298522506557073,0.5641399001033787,2.2900061624918444
6,1.0,V1_trained_on_open_meteo,367808,0.07060749086479902,0.7925548236157135,0.20934536846025487,2.9649172615567743
6,1.0,V2_trained_on_imerg,367808,0.07060749086479902,0.8333261081277483,0.256308643900838,3.630048890869443
