config,fold,target,model,train_rows,fit_seconds
om_only,2021,h1_0.1mm,lightgbm,2230648,60.401102781295776
om_only,2021,h3_0.1mm,hist_gradient_boosting,2230648,53.56154012680054
om_only,2021,h6_0.1mm,hist_gradient_boosting,2230648,51.05809688568115
om_only,2021,h1_1.0mm,lightgbm,2230648,52.09949231147766
om_only,2021,h3_1.0mm,hist_gradient_boosting,2230648,43.185524225234985
om_only,2021,h6_1.0mm,hist_gradient_boosting,2230648,44.735936880111694
om_only,2022,h1_0.1mm,lightgbm,1960112,54.009416580200195
om_only,2022,h3_0.1mm,hist_gradient_boosting,1960112,45.85511660575867
om_only,2022,h6_0.1mm,hist_gradient_boosting,1960112,47.104578733444214
om_only,2022,h1_1.0mm,lightgbm,1960112,48.666786193847656
om_only,2022,h3_1.0mm,hist_gradient_boosting,1960112,40.95148277282715
om_only,2022,h6_1.0mm,hist_gradient_boosting,1960112,40.69188404083252
om_only,2023,h1_0.1mm,lightgbm,1960112,53.43593978881836
om_only,2023,h3_0.1mm,hist_gradient_boosting,1960112,46.669251918792725
om_only,2023,h6_0.1mm,hist_gradient_boosting,1960112,47.75044846534729
om_only,2023,h1_1.0mm,lightgbm,1960112,46.840930700302124
om_only,2023,h3_1.0mm,hist_gradient_boosting,1960112,40.6676287651062
om_only,2023,h6_1.0mm,hist_gradient_boosting,1960112,41.55928158760071
om_only,2024,h1_0.1mm,lightgbm,1958768,59.26968455314636
om_only,2024,h3_0.1mm,hist_gradient_boosting,1958768,47.236621141433716
om_only,2024,h6_0.1mm,hist_gradient_boosting,1958768,45.5464289188385
om_only,2024,h1_1.0mm,lightgbm,1958768,48.15441870689392
om_only,2024,h3_1.0mm,hist_gradient_boosting,1958768,37.19403529167175
om_only,2024,h6_1.0mm,hist_gradient_boosting,1958768,41.051759004592896
om_only,2025,h1_0.1mm,lightgbm,1960112,50.58664155006409
om_only,2025,h3_0.1mm,hist_gradient_boosting,1960112,49.630287408828735
om_only,2025,h6_0.1mm,hist_gradient_boosting,1960112,48.83618903160095
om_only,2025,h1_1.0mm,lightgbm,1960112,46.77470541000366
om_only,2025,h3_1.0mm,hist_gradient_boosting,1960112,41.60310482978821
om_only,2025,h6_1.0mm,hist_gradient_boosting,1960112,42.91349244117737
om_only,2026,h1_0.1mm,lightgbm,2183608,59.68645119667053
om_only,2026,h3_0.1mm,hist_gradient_boosting,2183608,49.296881914138794
om_only,2026,h6_0.1mm,hist_gradient_boosting,2183608,49.23779344558716
om_only,2026,h1_1.0mm,lightgbm,2183608,51.48253774642944
om_only,2026,h3_1.0mm,hist_gradient_boosting,2183608,40.89573621749878
om_only,2026,h6_1.0mm,hist_gradient_boosting,2183608,45.55638670921326
imerg_deploy,2021,h1_0.1mm,lightgbm,2230648,64.49266076087952
imerg_deploy,2021,h3_0.1mm,hist_gradient_boosting,2230648,53.669535875320435
imerg_deploy,2021,h6_0.1mm,hist_gradient_boosting,2230648,57.46631145477295
imerg_deploy,2021,h1_1.0mm,lightgbm,2230648,64.7205958366394
imerg_deploy,2021,h3_1.0mm,hist_gradient_boosting,2230648,47.99375772476196
imerg_deploy,2021,h6_1.0mm,hist_gradient_boosting,2230648,49.4324312210083
imerg_deploy,2022,h1_0.1mm,lightgbm,1960112,57.1789014339447
imerg_deploy,2022,h3_0.1mm,hist_gradient_boosting,1960112,52.09701228141785
imerg_deploy,2022,h6_0.1mm,hist_gradient_boosting,1960112,55.903449296951294
imerg_deploy,2022,h1_1.0mm,lightgbm,1960112,50.88763380050659
imerg_deploy,2022,h3_1.0mm,hist_gradient_boosting,1960112,48.08682107925415
imerg_deploy,2022,h6_1.0mm,hist_gradient_boosting,1960112,48.807535886764526
imerg_deploy,2023,h1_0.1mm,lightgbm,1960112,56.6692271232605
imerg_deploy,2023,h3_0.1mm,hist_gradient_boosting,1960112,53.271525621414185
imerg_deploy,2023,h6_0.1mm,hist_gradient_boosting,1960112,50.874247550964355
imerg_deploy,2023,h1_1.0mm,lightgbm,1960112,53.132739782333374
imerg_deploy,2023,h3_1.0mm,hist_gradient_boosting,1960112,45.876741886138916
imerg_deploy,2023,h6_1.0mm,hist_gradient_boosting,1960112,46.898983001708984
imerg_deploy,2024,h1_0.1mm,lightgbm,1958768,174.18759608268738
imerg_deploy,2024,h3_0.1mm,hist_gradient_boosting,1958768,56.97511696815491
imerg_deploy,2024,h6_0.1mm,hist_gradient_boosting,1958768,53.68210506439209
imerg_deploy,2024,h1_1.0mm,lightgbm,1958768,53.24089336395264
imerg_deploy,2024,h3_1.0mm,hist_gradient_boosting,1958768,44.4331955909729
imerg_deploy,2024,h6_1.0mm,hist_gradient_boosting,1958768,45.84402680397034
imerg_deploy,2025,h1_0.1mm,lightgbm,1960112,55.46130847930908
imerg_deploy,2025,h3_0.1mm,hist_gradient_boosting,1960112,50.97047472000122
imerg_deploy,2025,h6_0.1mm,hist_gradient_boosting,1960112,50.666950702667236
imerg_deploy,2025,h1_1.0mm,lightgbm,1960112,128.79910469055176
imerg_deploy,2025,h3_1.0mm,hist_gradient_boosting,1960112,148.558762550354
imerg_deploy,2025,h6_1.0mm,hist_gradient_boosting,1960112,65.96510624885559
imerg_deploy,2026,h1_0.1mm,lightgbm,2183608,62.93846154212952
imerg_deploy,2026,h3_0.1mm,hist_gradient_boosting,2183608,57.22788333892822
imerg_deploy,2026,h6_0.1mm,hist_gradient_boosting,2183608,54.93428087234497
imerg_deploy,2026,h1_1.0mm,lightgbm,2183608,57.91117525100708
imerg_deploy,2026,h3_1.0mm,hist_gradient_boosting,2183608,48.30974221229553
imerg_deploy,2026,h6_1.0mm,hist_gradient_boosting,2183608,49.544296979904175
imerg_research,2021,h1_0.1mm,lightgbm,2230648,61.99345254898071
imerg_research,2021,h3_0.1mm,hist_gradient_boosting,2230648,57.39292287826538
imerg_research,2021,h6_0.1mm,hist_gradient_boosting,2230648,58.19741415977478
imerg_research,2021,h1_1.0mm,lightgbm,2230648,56.93718457221985
imerg_research,2021,h3_1.0mm,hist_gradient_boosting,2230648,50.24492573738098
imerg_research,2021,h6_1.0mm,hist_gradient_boosting,2230648,51.87112784385681
imerg_research,2022,h1_0.1mm,lightgbm,1960112,54.61321210861206
imerg_research,2022,h3_0.1mm,hist_gradient_boosting,1960112,52.28375816345215
imerg_research,2022,h6_0.1mm,hist_gradient_boosting,1960112,52.23824501037598
imerg_research,2022,h1_1.0mm,lightgbm,1960112,49.329811096191406
imerg_research,2022,h3_1.0mm,hist_gradient_boosting,1960112,44.89894080162048
imerg_research,2022,h6_1.0mm,hist_gradient_boosting,1960112,44.66967153549194
imerg_research,2023,h1_0.1mm,lightgbm,1960112,52.705464124679565
imerg_research,2023,h3_0.1mm,hist_gradient_boosting,1960112,48.546281814575195
imerg_research,2023,h6_0.1mm,hist_gradient_boosting,1960112,52.804535150527954
imerg_research,2023,h1_1.0mm,lightgbm,1960112,51.364492893218994
imerg_research,2023,h3_1.0mm,hist_gradient_boosting,1960112,43.809831857681274
imerg_research,2023,h6_1.0mm,hist_gradient_boosting,1960112,44.54386615753174
imerg_research,2024,h1_0.1mm,lightgbm,1958768,54.81954836845398
imerg_research,2024,h3_0.1mm,hist_gradient_boosting,1958768,53.298309564590454
imerg_research,2024,h6_0.1mm,hist_gradient_boosting,1958768,52.51585674285889
imerg_research,2024,h1_1.0mm,lightgbm,1958768,51.103148460388184
imerg_research,2024,h3_1.0mm,hist_gradient_boosting,1958768,46.04463219642639
imerg_research,2024,h6_1.0mm,hist_gradient_boosting,1958768,47.12181091308594
imerg_research,2025,h1_0.1mm,lightgbm,1960112,55.025535345077515
imerg_research,2025,h3_0.1mm,hist_gradient_boosting,1960112,52.52624559402466
imerg_research,2025,h6_0.1mm,hist_gradient_boosting,1960112,52.91736674308777
imerg_research,2025,h1_1.0mm,lightgbm,1960112,51.28309679031372
imerg_research,2025,h3_1.0mm,hist_gradient_boosting,1960112,43.62131977081299
imerg_research,2025,h6_1.0mm,hist_gradient_boosting,1960112,47.530364751815796
imerg_research,2026,h1_0.1mm,lightgbm,2183608,60.32376194000244
imerg_research,2026,h3_0.1mm,hist_gradient_boosting,2183608,57.72925043106079
imerg_research,2026,h6_0.1mm,hist_gradient_boosting,2183608,56.353208780288696
imerg_research,2026,h1_1.0mm,lightgbm,2183608,61.05899095535278
imerg_research,2026,h3_1.0mm,hist_gradient_boosting,2183608,47.424333333969116
imerg_research,2026,h6_1.0mm,hist_gradient_boosting,2183608,49.81325387954712
