config,fold,target,model,train_rows,fit_seconds
offset1h,2021,h1_0.1mm,lightgbm,2230648,72.82428979873657
offset1h,2021,h3_0.1mm,hist_gradient_boosting,2230648,61.40129828453064
offset1h,2021,h6_0.1mm,hist_gradient_boosting,2230648,59.65814709663391
offset1h,2021,h1_1.0mm,lightgbm,2230648,59.17067050933838
offset1h,2021,h3_1.0mm,hist_gradient_boosting,2230648,51.24679756164551
offset1h,2021,h6_1.0mm,hist_gradient_boosting,2230648,52.115609884262085
offset1h,2022,h1_0.1mm,lightgbm,1960112,165.80363726615906
offset1h,2022,h3_0.1mm,hist_gradient_boosting,1960112,171.4699685573578
offset1h,2022,h6_0.1mm,hist_gradient_boosting,1960112,84.97640609741211
offset1h,2022,h1_1.0mm,lightgbm,1960112,120.99051785469055
offset1h,2022,h3_1.0mm,hist_gradient_boosting,1960112,120.04684782028198
offset1h,2022,h6_1.0mm,hist_gradient_boosting,1960112,154.08227515220642
offset1h,2023,h1_0.1mm,lightgbm,1960112,170.58791828155518
offset1h,2023,h3_0.1mm,hist_gradient_boosting,1960112,112.70097279548645
offset1h,2023,h6_0.1mm,hist_gradient_boosting,1960112,53.33989500999451
offset1h,2023,h1_1.0mm,lightgbm,1960112,52.529452323913574
offset1h,2023,h3_1.0mm,hist_gradient_boosting,1960112,46.37418818473816
offset1h,2023,h6_1.0mm,hist_gradient_boosting,1960112,47.167750120162964
offset1h,2024,h1_0.1mm,lightgbm,1958768,56.811888456344604
offset1h,2024,h3_0.1mm,hist_gradient_boosting,1958768,52.05270338058472
offset1h,2024,h6_0.1mm,hist_gradient_boosting,1958768,53.54195213317871
offset1h,2024,h1_1.0mm,lightgbm,1958768,52.61285948753357
offset1h,2024,h3_1.0mm,hist_gradient_boosting,1958768,45.85761260986328
offset1h,2024,h6_1.0mm,hist_gradient_boosting,1958768,47.731441497802734
offset1h,2025,h1_0.1mm,lightgbm,1960112,56.288058280944824
offset1h,2025,h3_0.1mm,hist_gradient_boosting,1960112,53.420053482055664
offset1h,2025,h6_0.1mm,hist_gradient_boosting,1960112,53.47722935676575
offset1h,2025,h1_1.0mm,lightgbm,1960112,53.0096218585968
offset1h,2025,h3_1.0mm,hist_gradient_boosting,1960112,47.03203058242798
offset1h,2025,h6_1.0mm,hist_gradient_boosting,1960112,47.20305132865906
offset1h,2026,h1_0.1mm,lightgbm,2183608,63.90977430343628
offset1h,2026,h3_0.1mm,hist_gradient_boosting,2183608,55.50040555000305
offset1h,2026,h6_0.1mm,hist_gradient_boosting,2183608,59.477327823638916
offset1h,2026,h1_1.0mm,lightgbm,2183608,58.861485958099365
offset1h,2026,h3_1.0mm,hist_gradient_boosting,2183608,51.4573450088501
offset1h,2026,h6_1.0mm,hist_gradient_boosting,2183608,50.63174295425415
offset2h,2021,h1_0.1mm,lightgbm,2230648,58.887253761291504
offset2h,2021,h3_0.1mm,hist_gradient_boosting,2230648,59.33327913284302
offset2h,2021,h6_0.1mm,hist_gradient_boosting,2230648,59.66649651527405
offset2h,2021,h1_1.0mm,lightgbm,2230648,59.64204978942871
offset2h,2021,h3_1.0mm,hist_gradient_boosting,2230648,50.390411138534546
offset2h,2021,h6_1.0mm,hist_gradient_boosting,2230648,52.56595301628113
offset2h,2022,h1_0.1mm,lightgbm,1960112,55.85857915878296
offset2h,2022,h3_0.1mm,hist_gradient_boosting,1960112,51.29001522064209
