config,target,horizon_h,threshold_mm,probabilities,rows,base_rate,roc_auc,pr_auc,pr_auc_lift,precision,recall,f1,brier_score,brier_skill,offset_h
persist_offset0h,h1_0.1mm,1,0.1,amount,2453248,0.17784871321611187,0.7904524721808306,0.552610996836854,3.1071970487936666,0.5226871016148007,0.6282938389711832,0.5706455668798295,,,0
persist_offset0h,h3_0.1mm,3,0.1,amount,2453248,0.2746571076385266,0.7345468616872981,0.5690943390584671,2.072017520141683,0.653417508642206,0.5085945129281302,0.5719812762306773,,,0
persist_offset0h,h6_0.1mm,6,0.1,amount,2453248,0.37302465955337577,0.7053763650999313,0.6109571090805034,1.6378464357075087,0.7604893404848025,0.435840248622588,0.5541146290279894,,,0
persist_offset0h,h1_1.0mm,1,1.0,amount,2453248,0.04781130974120839,0.8516747538983092,0.38798681503946153,8.114958932092529,0.4110371004353812,0.4708635638955436,0.4389210754277631,,,0
persist_offset0h,h3_1.0mm,3,1.0,amount,2453248,0.0807329711468225,0.7589377164520565,0.34289751458275186,4.247304536323233,0.39016675823767877,0.39798947782972666,0.3940392964530215,,,0
persist_offset0h,h6_1.0mm,6,1.0,amount,2453248,0.12409956107168944,0.697142252663076,0.32929201431521354,2.6534502738892782,0.324802490344374,0.4427929984529327,0.3747293221587513,,,0
persist_offset1h,h1_0.1mm,1,0.1,amount,2453136,0.17783848918282558,0.738248650825123,0.44861965355108924,2.522624070933762,0.4597158928401182,0.5526449702243148,0.5019152461924073,,,1
persist_offset1h,h3_0.1mm,3,0.1,amount,2453136,0.27464926526698885,0.7029775464264632,0.5080577791800309,1.8498421202261135,0.6010544379826485,0.46786206200501074,0.5261600297779506,,,1
persist_offset1h,h6_0.1mm,6,0.1,amount,2453136,0.3730123401230099,0.6857742818351559,0.5754832317834659,1.5427994462426802,0.7229345028124702,0.4143412928255287,0.5267704063911081,,,1
persist_offset1h,h1_1.0mm,1,1.0,amount,2453136,0.04781267732404563,0.7650339302909634,0.2275516026743463,4.759231555516921,0.27097146891748775,0.35992531396270816,0.30917732875357945,,,1
persist_offset1h,h3_1.0mm,3,1.0,amount,2453136,0.08073054245667587,0.7003780219050795,0.232162242951859,2.8757671618080494,0.26593320119076785,0.3617598198371061,0.30653183555853153,,,1
persist_offset1h,h6_1.0mm,6,1.0,amount,2453136,0.12409707411248296,0.6590313182874449,0.2527254884723558,2.036514480939999,0.2621622652302412,0.4516386522877406,0.3317524795596934,,,1
persist_offset2h,h1_0.1mm,1,0.1,amount,2453024,0.17783274847698188,0.7037470336338396,0.3811479737678671,2.1432946239213173,0.41908394035315205,0.5038099342545641,0.45755781514144617,,,2
persist_offset2h,h3_0.1mm,3,0.1,amount,2453024,0.2746471294206661,0.681366405614893,0.4651330984284553,1.6935662113403318,0.5662293581480493,0.440752483242197,0.49567327916029563,,,2
persist_offset2h,h6_0.1mm,6,0.1,amount,2453024,0.37300001956768464,0.6714690939603808,0.5485371885842192,1.4706090075276297,0.6959841348537432,0.3989035801953708,0.5071397903845913,,,2
persist_offset2h,h1_1.0mm,1,1.0,amount,2453024,0.04781200673128351,0.7004620678029195,0.144460884592586,3.021435293534017,0.18601433056750935,0.3025817673339927,0.23039293655559703,,,2
persist_offset2h,h3_1.0mm,3,1.0,amount,2453024,0.08072811354475129,0.6575749833290506,0.17021400178239798,2.1084848178452797,0.1863809733768558,0.39703981255176035,0.25367854048935357,,,2
