config,target,horizon_h,threshold_mm,probabilities,rows,base_rate,roc_auc,pr_auc,pr_auc_lift,precision,recall,f1,brier_score,brier_skill
tmd_offset0h,h1_0.1mm,1,0.1,calibrated,2453360,0.17785322985619723,0.857099247200685,0.5808018028394621,3.2656241514931605,0.4685340455957113,0.6818246405309645,0.5554059982638079,0.10592471808195114,0.27558705008982076
tmd_offset0h,h3_0.1mm,3,0.1,calibrated,2453360,0.27466576450255975,0.8552338557569473,0.6899524056582926,2.5119708927242828,0.5572291349101683,0.7725100689466858,0.6474429214089646,0.1338142603635788,0.32832421592899785
tmd_offset0h,h6_0.1mm,6,0.1,calibrated,2453360,0.37303086379495876,0.8626106874546433,0.7799035910172174,2.0907213496572807,0.650992642490155,0.8300026552182688,0.7296790511495119,0.14564533531665802,0.3772615928783274
tmd_offset0h,h1_1.0mm,1,1.0,calibrated,2453360,0.04780953467897088,0.8860147723454762,0.3312934516296312,6.929443129998738,0.3277748010298096,0.4276604088870701,0.3711140375538227,0.03849327564239502,0.15443592240831017
tmd_offset0h,h3_1.0mm,3,1.0,calibrated,2453360,0.08073254638536538,0.8672106048670576,0.3787850979214184,4.691851240679829,0.3414010289896156,0.5290004341987015,0.4149838901001844,0.06114744022488594,0.17607487593697013
tmd_offset0h,h6_1.0mm,6,1.0,calibrated,2453360,0.12410041738676754,0.8468408466095562,0.42390344257186036,3.415809966623528,0.3653496808086815,0.6295182008979745,0.46236144113283556,0.08848100900650024,0.18600356100553472
tmd_offset0h,h1_0.1mm,1,0.1,raw,2453360,0.17785322985619723,0.857769200143777,0.5832966283753939,3.2796515916355125,0.4710475580444061,0.6808964610004171,0.5568579895076388,0.1498131901025772,-0.024563642394575647
tmd_offset0h,h3_0.1mm,3,0.1,raw,2453360,0.27466576450255975,0.8550907673933184,0.6905400698918718,2.5141104540003067,0.5552719058396121,0.7766237196781499,0.6475542447679343,0.13341331481933594,0.3303367474190452
tmd_offset0h,h6_0.1mm,6,0.1,raw,2453360,0.37303086379495876,0.8625058385056719,0.780072585401921,2.091174380226881,0.6526999973237865,0.8261301887390335,0.7292455578211476,0.14520201086997986,0.37915712327181517
tmd_offset0h,h1_1.0mm,1,1.0,raw,2453360,0.04780953467897088,0.8864521692681345,0.3331373119277017,6.968009920293845,0.32666823338947426,0.42662881306801714,0.37001626737651583,0.10696488618850708,-1.3496484467814862
tmd_offset0h,h3_1.0mm,3,1.0,raw,2453360,0.08073254638536538,0.867286639186364,0.3788979616083854,4.693249235565662,0.3457282901450391,0.5217099350721477,0.41586796283738237,0.06015273556113243,0.1894779253610348
tmd_offset0h,h6_1.0mm,6,1.0,raw,2453360,0.12410041738676754,0.8468711163490807,0.42500364594193646,3.424675395066426,0.358924417228838,0.6476254914390255,0.46187198487739234,0.08699023723602295,0.1997181753182269
tmd_offset1h,h1_0.1mm,1,0.1,calibrated,2453360,0.17785322985619723,0.8530136640584931,0.5652620081112947,3.1782498893516626,0.46118750642978057,0.6780821289917449,0.548988573909623,0.10778391361236572,0.2628721206282626
tmd_offset1h,h3_0.1mm,3,0.1,calibrated,2453360,0.27466576450255975,0.8528089291779306,0.6814243382942141,2.480922001794889,0.560616401095912,0.7570185826603388,0.6441799718521689,0.13516400754451752,0.3215492093370891
tmd_offset1h,h6_0.1mm,6,0.1,calibrated,2453360,0.37303086379495876,0.8612887521661564,0.7761556075804683,2.08067396805829,0.6503253710533379,0.8287056411915046,0.7287586252622051,0.14645463228225708,0.3738012671346307
tmd_offset1h,h1_1.0mm,1,1.0,calibrated,2453360,0.04780953467897088,0.8770474205264741,0.2936548576292354,6.142181880686659,0.2948247576435496,0.4213344246082494,0.34690561177036283,0.03994648531079292,0.1225139341571242
tmd_offset1h,h3_1.0mm,3,1.0,calibrated,2453360,0.08073254638536538,0.861377729921987,0.3554850496605281,4.40324337056917,0.33079246178801747,0.5065584199206326,0.40022817298064917,0.062373578548431396,0.159553396597358
tmd_offset1h,h6_1.0mm,6,1.0,calibrated,2453360,0.12410041738676754,0.8445283994580819,0.4125203795536047,3.324085351525905,0.36150306368225427,0.622607673181963,0.4574171846646848,0.08922536671161652,0.17915571277113873
tmd_offset1h,h1_0.1mm,1,0.1,raw,2453360,0.17785322985619723,0.8537548233727743,0.5678017642598647,3.1925299569704717,0.46235342056413276,0.6787123743519932,0.5500208476302884,0.152414470911026,-0.042353649657424386
tmd_offset1h,h3_0.1mm,3,0.1,raw,2453360,0.27466576450255975,0.8526967506851505,0.6821827238547116,2.4836831233415477,0.5518385643621111,0.7786122809985546,0.6458987715919324,0.13469873368740082,0.3238846344400451
tmd_offset1h,h6_0.1mm,6,0.1,raw,2453360,0.37303086379495876,0.8611813323289628,0.7763060661267696,2.0810773088027275,0.6519923403748104,0.8248113210639667,0.7282899922718383,0.14598093926906586,0.3758266449598663
tmd_offset1h,h1_1.0mm,1,1.0,raw,2453360,0.04780953467897088,0.8773622708493735,0.29586469608771776,6.188403590923349,0.2910102586847456,0.43072961958838474,0.3473460225573473,0.1098809614777565,-1.4137045311492829
tmd_offset1h,h3_1.0mm,3,1.0,raw,2453360,0.08073254638536538,0.8616317824417045,0.3563128305919096,4.413496743817552,0.3320006513856901,0.5043672311249785,0.4004224762156713,0.061244573444128036,0.17476606399945727
tmd_offset1h,h6_1.0mm,6,1.0,raw,2453360,0.12410041738676754,0.8445471341239368,0.41307992542854277,3.3285941669410395,0.35345297628794925,0.6451260087432628,0.45669238245374183,0.08769238740205765,0.1932586226841737
