config,fold,target,model,train_rows,fit_seconds
tmd_offset0h,2021,h1_0.1mm,lightgbm,2230648,69.65422749519348
tmd_offset0h,2021,h3_0.1mm,hist_gradient_boosting,2230648,64.16588830947876
tmd_offset0h,2021,h6_0.1mm,hist_gradient_boosting,2230648,61.246241092681885
tmd_offset0h,2021,h1_1.0mm,lightgbm,2230648,61.58304810523987
tmd_offset0h,2021,h3_1.0mm,hist_gradient_boosting,2230648,51.060184955596924
tmd_offset0h,2021,h6_1.0mm,hist_gradient_boosting,2230648,52.26586961746216
tmd_offset0h,2022,h1_0.1mm,lightgbm,1960112,59.50441074371338
tmd_offset0h,2022,h3_0.1mm,hist_gradient_boosting,1960112,54.87564182281494
tmd_offset0h,2022,h6_0.1mm,hist_gradient_boosting,1960112,55.31654357910156
tmd_offset0h,2022,h1_1.0mm,lightgbm,1960112,52.84224247932434
tmd_offset0h,2022,h3_1.0mm,hist_gradient_boosting,1960112,44.98435068130493
tmd_offset0h,2022,h6_1.0mm,hist_gradient_boosting,1960112,49.94522285461426
tmd_offset0h,2023,h1_0.1mm,lightgbm,1960112,65.0369246006012
tmd_offset0h,2023,h3_0.1mm,hist_gradient_boosting,1960112,55.698221921920776
tmd_offset0h,2023,h6_0.1mm,hist_gradient_boosting,1960112,54.65941262245178
tmd_offset0h,2023,h1_1.0mm,lightgbm,1960112,56.02005362510681
tmd_offset0h,2023,h3_1.0mm,hist_gradient_boosting,1960112,48.60335302352905
tmd_offset0h,2023,h6_1.0mm,hist_gradient_boosting,1960112,49.31614899635315
tmd_offset0h,2024,h1_0.1mm,lightgbm,1958768,58.11361074447632
tmd_offset0h,2024,h3_0.1mm,hist_gradient_boosting,1958768,54.75588417053223
tmd_offset0h,2024,h6_0.1mm,hist_gradient_boosting,1958768,55.81370568275452
tmd_offset0h,2024,h1_1.0mm,lightgbm,1958768,54.07157611846924
tmd_offset0h,2024,h3_1.0mm,hist_gradient_boosting,1958768,47.44042134284973
tmd_offset0h,2024,h6_1.0mm,hist_gradient_boosting,1958768,49.56094264984131
tmd_offset0h,2025,h1_0.1mm,lightgbm,1960112,59.325642347335815
tmd_offset0h,2025,h3_0.1mm,hist_gradient_boosting,1960112,56.17958927154541
tmd_offset0h,2025,h6_0.1mm,hist_gradient_boosting,1960112,56.70862817764282
tmd_offset0h,2025,h1_1.0mm,lightgbm,1960112,56.05967593193054
tmd_offset0h,2025,h3_1.0mm,hist_gradient_boosting,1960112,49.33286142349243
tmd_offset0h,2025,h6_1.0mm,hist_gradient_boosting,1960112,50.89638018608093
tmd_offset0h,2026,h1_0.1mm,lightgbm,2183608,66.27675127983093
tmd_offset0h,2026,h3_0.1mm,hist_gradient_boosting,2183608,61.616185903549194
tmd_offset0h,2026,h6_0.1mm,hist_gradient_boosting,2183608,62.053027868270874
tmd_offset0h,2026,h1_1.0mm,lightgbm,2183608,60.43313717842102
tmd_offset0h,2026,h3_1.0mm,hist_gradient_boosting,2183608,51.850932598114014
tmd_offset0h,2026,h6_1.0mm,hist_gradient_boosting,2183608,53.65219521522522
tmd_offset1h,2021,h1_0.1mm,lightgbm,2230648,72.59196615219116
tmd_offset1h,2021,h3_0.1mm,hist_gradient_boosting,2230648,63.191813707351685
tmd_offset1h,2021,h6_0.1mm,hist_gradient_boosting,2230648,64.00599193572998
tmd_offset1h,2021,h1_1.0mm,lightgbm,2230648,66.42877435684204
tmd_offset1h,2021,h3_1.0mm,hist_gradient_boosting,2230648,53.42217540740967
tmd_offset1h,2021,h6_1.0mm,hist_gradient_boosting,2230648,56.26982021331787
tmd_offset1h,2022,h1_0.1mm,lightgbm,1960112,63.4705855846405
tmd_offset1h,2022,h3_0.1mm,hist_gradient_boosting,1960112,86.70608329772949
tmd_offset1h,2022,h6_0.1mm,hist_gradient_boosting,1960112,97.19568085670471
tmd_offset1h,2022,h1_1.0mm,lightgbm,1960112,54.74362802505493
tmd_offset1h,2022,h3_1.0mm,hist_gradient_boosting,1960112,47.828284740448
tmd_offset1h,2022,h6_1.0mm,hist_gradient_boosting,1960112,48.87749648094177
tmd_offset1h,2023,h1_0.1mm,lightgbm,1960112,59.99494171142578
tmd_offset1h,2023,h3_0.1mm,hist_gradient_boosting,1960112,54.572877407073975
tmd_offset1h,2023,h6_0.1mm,hist_gradient_boosting,1960112,55.75370979309082
tmd_offset1h,2023,h1_1.0mm,lightgbm,1960112,54.97907829284668
tmd_offset1h,2023,h3_1.0mm,hist_gradient_boosting,1960112,48.82234859466553
tmd_offset1h,2023,h6_1.0mm,hist_gradient_boosting,1960112,50.084991216659546
tmd_offset1h,2024,h1_0.1mm,lightgbm,1958768,60.609137535095215
tmd_offset1h,2024,h3_0.1mm,hist_gradient_boosting,1958768,56.83919715881348
tmd_offset1h,2024,h6_0.1mm,hist_gradient_boosting,1958768,54.76292085647583
tmd_offset1h,2024,h1_1.0mm,lightgbm,1958768,56.16212797164917
tmd_offset1h,2024,h3_1.0mm,hist_gradient_boosting,1958768,47.39083957672119
tmd_offset1h,2024,h6_1.0mm,hist_gradient_boosting,1958768,51.15773558616638
tmd_offset1h,2025,h1_0.1mm,lightgbm,1960112,58.77128577232361
tmd_offset1h,2025,h3_0.1mm,hist_gradient_boosting,1960112,55.12887692451477
tmd_offset1h,2025,h6_0.1mm,hist_gradient_boosting,1960112,55.81422185897827
tmd_offset1h,2025,h1_1.0mm,lightgbm,1960112,52.87043857574463
tmd_offset1h,2025,h3_1.0mm,hist_gradient_boosting,1960112,47.769158601760864
tmd_offset1h,2025,h6_1.0mm,hist_gradient_boosting,1960112,49.871877908706665
tmd_offset1h,2026,h1_0.1mm,lightgbm,2183608,64.73384499549866
tmd_offset1h,2026,h3_0.1mm,hist_gradient_boosting,2183608,60.16982054710388
tmd_offset1h,2026,h6_0.1mm,hist_gradient_boosting,2183608,61.058165311813354
tmd_offset1h,2026,h1_1.0mm,lightgbm,2183608,59.69866371154785
tmd_offset1h,2026,h3_1.0mm,hist_gradient_boosting,2183608,51.01509714126587
tmd_offset1h,2026,h6_1.0mm,hist_gradient_boosting,2183608,52.91838979721069
