config,fold,target,model,train_rows,fit_seconds
hw_offset0h,2021,h1_0.1mm,lightgbm,2230648,70.78242659568787
hw_offset0h,2021,h3_0.1mm,hist_gradient_boosting,2230648,61.99329233169556
hw_offset0h,2021,h6_0.1mm,hist_gradient_boosting,2230648,59.77490830421448
hw_offset0h,2021,h1_1.0mm,lightgbm,2230648,57.063289165496826
hw_offset0h,2021,h3_1.0mm,hist_gradient_boosting,2230648,49.521137714385986
hw_offset0h,2021,h6_1.0mm,hist_gradient_boosting,2230648,51.43986368179321
hw_offset0h,2022,h1_0.1mm,lightgbm,1960112,56.098504304885864
hw_offset0h,2022,h3_0.1mm,hist_gradient_boosting,1960112,52.714348793029785
hw_offset0h,2022,h6_0.1mm,hist_gradient_boosting,1960112,55.24125552177429
hw_offset0h,2022,h1_1.0mm,lightgbm,1960112,51.48356103897095
hw_offset0h,2022,h3_1.0mm,hist_gradient_boosting,1960112,45.59244775772095
hw_offset0h,2022,h6_1.0mm,hist_gradient_boosting,1960112,48.36934304237366
hw_offset0h,2023,h1_0.1mm,lightgbm,1960112,61.80338668823242
hw_offset0h,2023,h3_0.1mm,hist_gradient_boosting,1960112,52.724926471710205
hw_offset0h,2023,h6_0.1mm,hist_gradient_boosting,1960112,54.230650901794434
hw_offset0h,2023,h1_1.0mm,lightgbm,1960112,52.2176570892334
hw_offset0h,2023,h3_1.0mm,hist_gradient_boosting,1960112,45.57903838157654
hw_offset0h,2023,h6_1.0mm,hist_gradient_boosting,1960112,48.131038665771484
hw_offset0h,2024,h1_0.1mm,lightgbm,1958768,57.71221876144409
hw_offset0h,2024,h3_0.1mm,hist_gradient_boosting,1958768,53.90207052230835
hw_offset0h,2024,h6_0.1mm,hist_gradient_boosting,1958768,56.013516664505005
hw_offset0h,2024,h1_1.0mm,lightgbm,1958768,52.11543107032776
hw_offset0h,2024,h3_1.0mm,hist_gradient_boosting,1958768,45.40537762641907
hw_offset0h,2024,h6_1.0mm,hist_gradient_boosting,1958768,47.76780986785889
hw_offset0h,2025,h1_0.1mm,lightgbm,1960112,55.57257676124573
hw_offset0h,2025,h3_0.1mm,hist_gradient_boosting,1960112,53.486626386642456
hw_offset0h,2025,h6_0.1mm,hist_gradient_boosting,1960112,55.72237682342529
hw_offset0h,2025,h1_1.0mm,lightgbm,1960112,51.51123118400574
hw_offset0h,2025,h3_1.0mm,hist_gradient_boosting,1960112,47.33286452293396
hw_offset0h,2025,h6_1.0mm,hist_gradient_boosting,1960112,48.729559659957886
hw_offset0h,2026,h1_0.1mm,lightgbm,2183608,64.7542200088501
hw_offset0h,2026,h3_0.1mm,hist_gradient_boosting,2183608,58.20016622543335
hw_offset0h,2026,h6_0.1mm,hist_gradient_boosting,2183608,59.46267580986023
hw_offset0h,2026,h1_1.0mm,lightgbm,2183608,56.43765926361084
hw_offset0h,2026,h3_1.0mm,hist_gradient_boosting,2183608,49.400904417037964
hw_offset0h,2026,h6_1.0mm,hist_gradient_boosting,2183608,52.802732706069946
hw_tmd_offset0h,2021,h1_0.1mm,lightgbm,2230648,75.7350709438324
hw_tmd_offset0h,2021,h3_0.1mm,hist_gradient_boosting,2230648,66.32259202003479
hw_tmd_offset0h,2021,h6_0.1mm,hist_gradient_boosting,2230648,68.82661247253418
hw_tmd_offset0h,2021,h1_1.0mm,lightgbm,2230648,70.61412167549133
hw_tmd_offset0h,2021,h3_1.0mm,hist_gradient_boosting,2230648,58.861557483673096
hw_tmd_offset0h,2021,h6_1.0mm,hist_gradient_boosting,2230648,59.264394760131836
hw_tmd_offset0h,2022,h1_0.1mm,lightgbm,1960112,66.70407319068909
hw_tmd_offset0h,2022,h3_0.1mm,hist_gradient_boosting,1960112,62.725324392318726
hw_tmd_offset0h,2022,h6_0.1mm,hist_gradient_boosting,1960112,64.46657276153564
hw_tmd_offset0h,2022,h1_1.0mm,lightgbm,1960112,60.281986474990845
hw_tmd_offset0h,2022,h3_1.0mm,hist_gradient_boosting,1960112,53.94374060630798
hw_tmd_offset0h,2022,h6_1.0mm,hist_gradient_boosting,1960112,55.728090047836304
hw_tmd_offset0h,2023,h1_0.1mm,lightgbm,1960112,66.86408972740173
hw_tmd_offset0h,2023,h3_0.1mm,hist_gradient_boosting,1960112,62.98565697669983
hw_tmd_offset0h,2023,h6_0.1mm,hist_gradient_boosting,1960112,63.15086817741394
hw_tmd_offset0h,2023,h1_1.0mm,lightgbm,1960112,60.07725262641907
hw_tmd_offset0h,2023,h3_1.0mm,hist_gradient_boosting,1960112,55.26665425300598
hw_tmd_offset0h,2023,h6_1.0mm,hist_gradient_boosting,1960112,57.32392644882202
hw_tmd_offset0h,2024,h1_0.1mm,lightgbm,1958768,67.51011943817139
hw_tmd_offset0h,2024,h3_0.1mm,hist_gradient_boosting,1958768,64.25270318984985
hw_tmd_offset0h,2024,h6_0.1mm,hist_gradient_boosting,1958768,65.68641948699951
hw_tmd_offset0h,2024,h1_1.0mm,lightgbm,1958768,63.85309934616089
hw_tmd_offset0h,2024,h3_1.0mm,hist_gradient_boosting,1958768,54.12119126319885
hw_tmd_offset0h,2024,h6_1.0mm,hist_gradient_boosting,1958768,56.3721125125885
hw_tmd_offset0h,2025,h1_0.1mm,lightgbm,1960112,67.9658899307251
hw_tmd_offset0h,2025,h3_0.1mm,hist_gradient_boosting,1960112,62.629565715789795
hw_tmd_offset0h,2025,h6_0.1mm,hist_gradient_boosting,1960112,62.79674696922302
hw_tmd_offset0h,2025,h1_1.0mm,lightgbm,1960112,61.42577648162842
hw_tmd_offset0h,2025,h3_1.0mm,hist_gradient_boosting,1960112,55.775569915771484
hw_tmd_offset0h,2025,h6_1.0mm,hist_gradient_boosting,1960112,56.20592641830444
hw_tmd_offset0h,2026,h1_0.1mm,lightgbm,2183608,75.92987704277039
hw_tmd_offset0h,2026,h3_0.1mm,hist_gradient_boosting,2183608,68.19567275047302
hw_tmd_offset0h,2026,h6_0.1mm,hist_gradient_boosting,2183608,71.6804096698761
hw_tmd_offset0h,2026,h1_1.0mm,lightgbm,2183608,70.49782586097717
hw_tmd_offset0h,2026,h3_1.0mm,hist_gradient_boosting,2183608,60.13482856750488
hw_tmd_offset0h,2026,h6_1.0mm,hist_gradient_boosting,2183608,60.93310523033142
