model,horizon_h,feature,importance,is_neighbor_feature
lightgbm,1,temperature_2m,585.0,False
lightgbm,1,relative_humidity_2m,321.0,False
lightgbm,1,pressure_msl,347.0,False
lightgbm,1,surface_pressure,971.0,False
lightgbm,1,dew_point_2m,1203.0,False
lightgbm,1,precipitation,764.0,False
lightgbm,1,cloud_cover,983.0,False
lightgbm,1,wind_speed_10m,379.0,False
lightgbm,1,wind_direction_10m,603.0,False
lightgbm,1,temperature_dew_point_spread,510.0,False
lightgbm,1,pressure_msl_change_3h,770.0,False
lightgbm,1,pressure_msl_change_6h,944.0,False
lightgbm,1,precipitation_lag_1h,354.0,False
lightgbm,1,precipitation_lag_2h,67.0,False
lightgbm,1,precipitation_lag_3h,64.0,False
lightgbm,1,precipitation_lag_6h,61.0,False
lightgbm,1,precipitation_sum_past_3h,199.0,False
lightgbm,1,precipitation_sum_past_6h,151.0,False
lightgbm,1,precipitation_sum_past_12h,238.0,False
lightgbm,1,precipitation_sum_past_24h,693.0,False
lightgbm,1,cloud_cover_lag_1h,321.0,False
lightgbm,1,cloud_cover_lag_3h,127.0,False
lightgbm,1,cloud_cover_lag_6h,171.0,False
lightgbm,1,humidity_lag_1h,524.0,False
lightgbm,1,humidity_lag_3h,474.0,False
lightgbm,1,humidity_lag_6h,650.0,False
lightgbm,1,wind_speed_lag_1h,690.0,False
lightgbm,1,wind_speed_lag_3h,255.0,False
lightgbm,1,hour_sin,1456.0,False
lightgbm,1,hour_cos,1962.0,False
lightgbm,1,month_sin,772.0,False
lightgbm,1,month_cos,846.0,False
lightgbm,1,grid_row,1183.0,False
lightgbm,1,grid_column,824.0,False
lightgbm,1,latitude,239.0,False
lightgbm,1,longitude,176.0,False
lightgbm,1,neighbor_count,305.0,True
lightgbm,1,neighbor_precipitation_mean,723.0,True
lightgbm,1,neighbor_precipitation_max,202.0,True
lightgbm,1,neighbor_precipitation_sum,153.0,True
lightgbm,1,neighbor_rain_count,77.0,True
lightgbm,1,neighbor_rain_rate,437.0,True
lightgbm,1,neighbor_cloud_cover_mean,390.0,True
lightgbm,1,neighbor_cloud_cover_max,227.0,True
lightgbm,1,neighbor_relative_humidity_mean,223.0,True
lightgbm,1,neighbor_relative_humidity_max,291.0,True
lightgbm,1,neighbor_pressure_msl_mean,268.0,True
lightgbm,1,neighbor_pressure_msl_min,360.0,True
lightgbm,1,neighbor_pressure_msl_max,382.0,True
lightgbm,1,neighbor_temperature_2m_mean,452.0,True
lightgbm,1,neighbor_dew_point_2m_mean,832.0,True
lightgbm,1,neighbor_temperature_dew_point_spread_mean,258.0,True
lightgbm,1,neighbor_wind_speed_10m_mean,414.0,True
lightgbm,1,neighbor_wind_speed_10m_max,707.0,True
lightgbm,1,row_minus_precipitation_mean,146.0,True
lightgbm,1,row_plus_precipitation_mean,93.0,True
lightgbm,1,column_minus_precipitation_mean,450.0,True
lightgbm,1,column_plus_precipitation_mean,434.0,True
lightgbm,1,row_minus_cloud_cover_mean,154.0,True
lightgbm,1,row_plus_cloud_cover_mean,176.0,True
