city,direction,centre_grid,cells,regime,horizon_h,model,threshold,rows,rain_rate,roc_auc,pr_auc,norm_ap,brier,precision,recall,f1
Chiang Mai,North,753,9,dry (Mar-Apr),1,lightgbm,0.6500000000000001,9999,0.024502450245024503,0.9705104760788875,0.5267545111522165,0.5148675781229253,0.025045479515219356,0.48253968253968255,0.6204081632653061,0.5428571428571428
Chiang Mai,North,753,9,wet (May-Jun),1,lightgbm,0.6500000000000001,12073,0.43170711505011183,0.9068640775276366,0.8846433289178643,0.7970119384966297,0.15382119836897243,0.73954718228392,0.8585955487336915,0.7946373079996448
Chiang Mai,North,753,9,all,1,lightgbm,0.6500000000000001,22072,0.24723631750634287,0.9536372319887088,0.8728737743611618,0.8311206709418936,0.09548355733876779,0.7268300345585925,0.8479017775334433,0.7827116637063352
Chiang Mai,North,753,9,dry (Mar-Apr),2,lightgbm,0.6000000000000002,9999,0.038103810381038106,0.9588716803412674,0.5895846444751986,0.5733267685701301,0.03346079520363544,0.5340659340659341,0.6377952755905512,0.5813397129186603
Chiang Mai,North,753,9,wet (May-Jun),2,lightgbm,0.6000000000000002,12073,0.5272923051437091,0.8899947653176116,0.9012229417253823,0.7910398765464414,0.14958249670844984,0.7675150519978107,0.8810870248193529,0.8203890595290332
Chiang Mai,North,753,9,all,2,lightgbm,0.6000000000000002,22072,0.3056814063066328,0.948006231275286,0.8885984831550616,0.8395527386752706,0.09697734568694572,0.7538322813345356,0.86734845116348,0.8066161268090972
Chiang Mai,North,753,9,dry (Mar-Apr),3,hist_gradient_boosting,0.40000000000000013,9999,0.049304930493049307,0.9475151596365529,0.5869164766424672,0.5654931464283641,0.031520967032860156,0.5204081632653061,0.6206896551724138,0.5661424606845513
Chiang Mai,North,753,9,wet (May-Jun),3,hist_gradient_boosting,0.40000000000000013,12073,0.5944669924625197,0.8810872957004081,0.9132871652938949,0.7861756426865181,0.13692192955575383,0.7998754669987547,0.8949421763968232,0.8447425527717498
Chiang Mai,North,753,9,all,3,hist_gradient_boosting,0.40000000000000013,22072,0.34749909387459227,0.945588554537641,0.8987958063255955,0.8448980028620016,0.08917345980827222,0.7808076119749362,0.8773142112125163,0.8262524557956779
Chiang Mai,North,753,9,dry (Mar-Apr),6,hist_gradient_boosting,0.40000000000000013,9999,0.07970797079707971,0.9255771139163735,0.6120501450775206,0.5784491850282687,0.05112628241669067,0.49452554744525545,0.6800501882057717,0.5726360274696249
Chiang Mai,North,753,9,wet (May-Jun),6,hist_gradient_boosting,0.40000000000000013,12073,0.7216930340429056,0.8732075907374313,0.9460872096388099,0.8062830005861166,0.12800195030276448,0.85056860452758,0.9185125674279812,0.88323584593312
Chiang Mai,North,753,9,all,6,hist_gradient_boosting,0.40000000000000013,22072,0.43086263138818415,0.94461751102544,0.9277576458147387,0.8730669287074442,0.09317593529765157,0.8134221799143265,0.898527865404837,0.853859605296028
Ubon Ratchathani,East,380,9,dry (Mar-Apr),1,lightgbm,0.6500000000000001,9999,0.051005100510051006,0.9533315149223353,0.5989730436526505,0.5774192711015758,0.044341627141301576,0.5151515151515151,0.6,0.5543478260869565
Ubon Ratchathani,East,380,9,wet (May-Jun),1,lightgbm,0.6500000000000001,12067,0.29269909671003563,0.9042221058979714,0.8113421114178903,0.7332706805482931,0.13749967347670236,0.7014388489208633,0.7729331823329558,0.7354525862068966
Ubon Ratchathani,East,380,9,all,1,lightgbm,0.6500000000000001,22066,0.1831777395087465,0.9364425831257372,0.7867765633805663,0.7389598117818229,0.09528598249022216,0.6767721801159162,0.7511133102424542,0.7120075046904315
Ubon Ratchathani,East,380,9,dry (Mar-Apr),2,lightgbm,0.6000000000000002,9999,0.07950795079507951,0.9334117788546953,0.613575974869622,0.5801984107693775,0.0618366058001937,0.5430839002267573,0.6025157232704402,0.571258199165176
Ubon Ratchathani,East,380,9,wet (May-Jun),2,lightgbm,0.6000000000000002,12067,0.3869230131764316,0.871326444297258,0.821110912651496,0.7082110547398761,0.16348307074277413,0.6800858829844337,0.8140929535232384,0.7410801325794502
Ubon Ratchathani,East,380,9,all,2,lightgbm,0.6000000000000002,22066,0.24762077404151184,0.9157653437651412,0.7956210791296053,0.7283565071722606,0.1174229328400794,0.6614124555710091,0.7833089311859444,0.7172182656053624
Ubon Ratchathani,East,380,9,dry (Mar-Apr),3,hist_gradient_boosting,0.40000000000000013,9999,0.1035103510351035,0.9139683802305303,0.6144420446605313,0.5699248108612954,0.06108475084539057,0.5580786026200873,0.6173913043478261,0.5862385321100917
Ubon Ratchathani,East,380,9,wet (May-Jun),3,hist_gradient_boosting,0.40000000000000013,12067,0.45868898649208584,0.8569203327264953,0.838801930979924,0.7022080375282825,0.15276630187520807,0.7201451333017826,0.8247515808491418,0.7689068553141317
Ubon Ratchathani,East,380,9,all,3,hist_gradient_boosting,0.40000000000000013,22066,0.29774313423366267,0.9052155355651265,0.8095109331824445,0.7287473058598233,0.11122167082530572,0.6953500801710315,0.7920852359208523,0.7405720791233812
Ubon Ratchathani,East,380,9,dry (Mar-Apr),6,hist_gradient_boosting,0.40000000000000013,9999,0.1571157115711571,0.9064510798324036,0.6835994504379731,0.6246216071344676,0.08528074359756796,0.5735735735735735,0.7294716740929345,0.6421966937517511
Ubon Ratchathani,East,380,9,wet (May-Jun),6,hist_gradient_boosting,0.40000000000000013,12067,0.6172205187701997,0.8260714570578861,0.8820683598420971,0.6919071007175981,0.16418805580038986,0.7720343020485946,0.8703007518796992,0.8182277202726584
Ubon Ratchathani,East,380,9,all,6,hist_gradient_boosting,0.40000000000000013,22066,0.4087283603734252,0.8972973035906169,0.8543032552819596,0.7535874630989285,0.12843195071945013,0.7338849336155474,0.8457700410245038,0.7858651419152115
Kanchanaburi,West,195,9,dry (Mar-Apr),1,lightgbm,0.6500000000000001,9999,0.022602260226022602,0.9446203147736811,0.41042521250947445,0.3967913332530682,0.02627860452433698,0.4396551724137931,0.45132743362831856,0.44541484716157204
Kanchanaburi,West,195,9,wet (May-Jun),1,lightgbm,0.6500000000000001,12054,0.2584204413472706,0.9034597432895008,0.7888887035494709,0.7153221202131472,0.1345444394332848,0.6721691282942369,0.7451043338683788,0.7067600487210719
