fold,horizon_h,model,train_rows,fit_seconds
0,1,lightgbm,5334430,166.91091680526733
0,2,lightgbm,5334430,167.52657222747803
0,3,hist_gradient_boosting,5334430,131.77007746696472
0,6,hist_gradient_boosting,5334430,250.1136929988861
1,1,lightgbm,4929592,185.33278489112854
1,2,lightgbm,4929592,199.59571480751038
1,3,hist_gradient_boosting,4929592,118.68025851249695
1,6,hist_gradient_boosting,4929592,115.06915497779846
2,1,lightgbm,4969576,166.43519973754883
2,2,lightgbm,4969576,159.80621647834778
2,3,hist_gradient_boosting,4969576,119.70787191390991
2,6,hist_gradient_boosting,4969576,114.78171944618225
3,1,lightgbm,5072970,154.14267015457153
3,2,lightgbm,5072970,151.30607795715332
3,3,hist_gradient_boosting,5072970,117.42328882217407
3,6,hist_gradient_boosting,5072970,114.5557324886322
