month,horizon_h,model,rows,rain_rate,roc_auc,pr_auc,brier_score,v1_threshold,precision,recall,f1,predicted_rain_rate,false_positives,false_negatives,best_f1,best_threshold,f1_lost_to_fixed_threshold
2025-07,1,lightgbm,234906,0.48930636084220924,0.9287867782411354,0.9312441011218028,0.1685848832130432,0.6500000000000001,0.7310077257852299,0.9425618360724197,0.8234136182955469,0.6309119392437826,39866,6602,0.8464628972205386,0.8500000000000002,0.023049278924991645
2025-08,1,lightgbm,619752,0.3667354038389549,0.9226442453504927,0.8799721760242127,0.15190786123275757,0.6500000000000001,0.7056279769365755,0.8916646501088942,0.787812467808114,0.46342407930914303,84546,24623,0.7983868429500967,0.7500000000000002,0.010574375141982673
2025-09,1,lightgbm,599760,0.461671335200747,0.9088145341650034,0.8952747209916508,0.16602125763893127,0.6500000000000001,0.7269122008414374,0.9135258512344163,0.8096045884890889,0.5801920768307323,95028,23944,0.8181045575400956,0.7500000000000002,0.008499969051006695
2025-10,1,lightgbm,619752,0.2836505569969923,0.9164620793809235,0.8235426149202758,0.13302063941955566,0.6500000000000001,0.6919468979332489,0.8115112660913688,0.7469748299569067,0.33266371064554856,63511,33135,0.7477141426221746,0.7000000000000002,0.0007393126652679438
2025-11,1,lightgbm,599760,0.23465719621181805,0.9603234112915436,0.8891799965218073,0.08488614112138748,0.6500000000000001,0.7489281819984139,0.8589222526964999,0.8001628351856387,0.2691209817260237,40525,19855,0.80252753774326,0.7000000000000002,0.0023647025576213343
2025-12,1,lightgbm,619752,0.07128819269643341,0.9678105942624174,0.7547653091929989,0.038728877902030945,0.6500000000000001,0.6847578665476456,0.6945066883954641,0.6895978244991067,0.07230311479430482,14126,13497,0.6895978244991067,0.6500000000000001,0.0
2026-01,1,lightgbm,619752,0.025121338858123895,0.9832389516988106,0.6884941100588708,0.013397177681326866,0.6500000000000001,0.7311808615882723,0.5221915344595028,0.6092625899280576,0.017941047386696614,2989,7439,0.6448855887255645,0.45000000000000007,0.035622998797506855
2026-02,1,lightgbm,559776,0.07741310810038302,0.9549877965428653,0.6889849446139809,0.04096050187945366,0.6500000000000001,0.7221081670622955,0.5194766234365625,0.6042572609652654,0.0556901331961356,8663,20823,0.6425407474304391,0.45000000000000007,0.038283486465173655
2026-03,1,lightgbm,619752,0.06794491990344526,0.9397522447813329,0.609467378453815,0.04113347455859184,0.6500000000000001,0.6833976833976834,0.43715120283074876,0.5332174668694329,0.04346254630884612,8528,23701,0.5827460178301017,0.45000000000000007,0.04952855096066877
2026-04,1,lightgbm,599760,0.07410130718954248,0.9468252132983533,0.6337812965062745,0.057998161762952805,0.6500000000000001,0.5606875156560109,0.6547262786040546,0.6040689225659124,0.0865296118447379,22799,15345,0.6040689225659124,0.6500000000000001,0.0
2026-05,1,lightgbm,619752,0.3409928487524042,0.9105016154924559,0.852720586176951,0.1461256742477417,0.6500000000000001,0.7087317147951815,0.8312978219002418,0.7651374428637069,0.39996321109088795,72199,35652,0.7672160214589347,0.7000000000000002,0.0020785785952278646
2026-06,1,lightgbm,496366,0.3780557088922287,0.9189794396237645,0.8814726951553923,0.1368362009525299,0.6500000000000001,0.7529343112789517,0.8457320387521715,0.7966398618598721,0.4246503588078152,52077,28949,0.7976047092438202,0.7000000000000002,0.0009648473839480864
2025-07,2,lightgbm,234906,0.5692532332081769,0.9130744039818572,0.9371937794200176,0.16463729739189148,0.6000000000000002,0.7478331671455628,0.9478541141630709,0.8360465423075908,0.7215098805479638,42739,6973,0.851177879158459,0.8000000000000002,0.015131336850868204
2025-08,2,lightgbm,619752,0.4521260116950006,0.9067545478824104,0.8952800292021909,0.15764516592025757,0.6000000000000002,0.7239848244210793,0.8996416921836078,0.8023112777432101,0.5618231163433115,96106,28121,0.8097668554884617,0.7000000000000002,0.007455577745251629
2025-09,2,lightgbm,599760,0.5579648526077098,0.8942718235758584,0.9152254501922589,0.15969882905483246,0.6000000000000002,0.7604484211878517,0.9198643338463147,0.8325942635199738,0.6749333066559957,96970,26817,0.8381529299741098,0.7000000000000002,0.005558666454136052
2025-10,2,lightgbm,619752,0.36758090332907356,0.8961434246287797,0.8440110234948389,0.14714983105659485,0.6000000000000002,0.7067769077597952,0.8289005263180999,0.7629828215628479,0.43109501865262234,78341,38978,0.7636599043239198,0.6500000000000001,0.0006770827610719232
2025-11,2,lightgbm,599760,0.2857643057222889,0.9523073955656333,0.8969976113667626,0.09164741635322571,0.6000000000000002,0.7571176515713299,0.863778516832954,0.8069387477004838,0.3260220754968654,47492,23347,0.8083776513598662,0.6500000000000001,0.0014389036593823734
2025-12,2,lightgbm,619752,0.09563502820483032,0.9544853055828705,0.7545201907244984,0.048139166086912155,0.6000000000000002,0.6919473372574971,0.6703728699173275,0.6809892709011758,0.09265319030838141,17689,19537,0.6825557809330629,0.5500000000000002,0.001566510031887125
2026-01,2,lightgbm,619752,0.03459771005176264,0.9765815486776578,0.6817994669366632,0.017880836501717567,0.6000000000000002,0.7606097747816761,0.4630631470944875,0.5756609461966605,0.021063264015283533,3125,11513,0.6274361147036525,0.3500000000000001,0.05177516850699193
2026-02,2,lightgbm,559776,0.11008867832847424,0.9370933466604533,0.6901884492258167,0.055517517030239105,0.6000000000000002,0.7443462671276732,0.4716105476673428,0.5773914771034072,0.06975111473160693,9982,32562,0.6376040685628178,0.3500000000000001,0.0602125914594106
2026-03,2,lightgbm,619752,0.10100975874220657,0.9098987418810996,0.609763837460972,0.05848854035139084,0.6000000000000002,0.7172866257373299,0.3807287423523586,0.49742770977470285,0.05361499438485071,9394,38767,0.5762449558136508,0.30000000000000004,0.07881724603894791
2026-04,2,lightgbm,599760,0.10936041083099907,0.9267106894120909,0.6522642794577169,0.07512905448675156,0.6000000000000002,0.5726605088834686,0.6550541241042842,0.6110925421535092,0.12509503801520608,32062,22625,0.6110925421535092,0.6000000000000002,0.0
2026-05,2,lightgbm,619752,0.43353954485019813,0.8839806966752958,0.8632847337695608,0.15928417444229126,0.6000000000000002,0.7202040874787939,0.8421434606065794,0.7764151623186119,0.5069430998205734,87906,42414,0.7766400199627481,0.6500000000000001,0.00022485764413626708
2026-06,2,lightgbm,496366,0.4664743354701974,0.9006217505752886,0.8945447449416918,0.14296557009220123,0.6000000000000002,0.7680871378188266,0.8512278549895915,0.8075231436432059,0.5169673184706447,59510,34447,0.8075231436432059,0.6000000000000002,0.0
2025-07,3,hist_gradient_boosting,234906,0.625250100040016,0.9043226450643475,0.9434604663444247,0.12291291356086731,0.40000000000000013,0.8035523117233384,0.9249974468085106,0.8600086090116095,0.7197474734574681,33214,11016,0.8621887666473653,0.5000000000000001,0.0021801576357558528
2025-08,3,hist_gradient_boosting,619752,0.5152657837328479,0.8957493777169753,0.9056475405674351,0.1307210475206375,0.40000000000000013,0.7759021195741378,0.8733876750893257,0.8217638288970471,0.5800045824781526,80554,40432,0.8217638288970471,0.40000000000000013,0.0
2025-09,3,hist_gradient_boosting,599760,0.6258670134720555,0.8849241418906537,0.9282782748110281,0.13229002058506012,0.40000000000000013,0.8089137422183986,0.9017609292165064,0.8528176865178093,0.6977040816326531,79961,36876,0.8529997295800765,0.45000000000000007,0.000182043062267212
2025-10,3,hist_gradient_boosting,619752,0.43154681227329644,0.8826030461512108,0.8579312584123157,0.1365320086479187,0.40000000000000013,0.737850924845412,0.8227121128277224,0.7779742037676076,0.4811795686016342,78176,47416,0.7779742037676076,0.40000000000000013,0.0
2025-11,3,hist_gradient_boosting,599760,0.32295084700546883,0.9470616220461406,0.9020150916971856,0.08549350500106812,0.40000000000000013,0.7749993018904806,0.8597161487508583,0.8151625591407851,0.3582533013205282,48345,27172,0.8155638778580704,0.45000000000000007,0.0004013187172853261
2025-12,3,hist_gradient_boosting,619752,0.11543327008222644,0.9432625712066304,0.7494210401198594,0.051827751100063324,0.40000000000000013,0.7020640914812624,0.6470785574503775,0.673450831775497,0.10639255702280913,19645,25248,0.6766087251246792,0.3500000000000001,0.0031578933491821504
2026-01,3,hist_gradient_boosting,619752,0.04255250487291691,0.9701908914846136,0.6698941958606631,0.022494813427329063,0.40000000000000013,0.7097961797033401,0.5044365235856211,0.5897504100722614,0.030241128709548336,5439,13069,0.6158958435474206,0.25000000000000006,0.026145433475159185
2026-02,3,hist_gradient_boosting,559776,0.13736208769221975,0.922877717922135,0.6885333268875059,0.06977170705795288,0.40000000000000013,0.7006336613260522,0.5306143682047547,0.6038852913968548,0.10402911164465786,17433,36092,0.6383463363237166,0.25000000000000006,0.03446104492686186
2026-03,3,hist_gradient_boosting,619752,0.12928881229911318,0.8867583396556021,0.606978415559991,0.07551922649145126,0.40000000000000013,0.6662196079934091,0.4339610867747451,0.5255743651753325,0.08421594444229305,17421,45355,0.574683445582722,0.20000000000000004,0.04910908040738948
2026-04,3,hist_gradient_boosting,599760,0.13890722955849005,0.9121617909454737,0.661000245323412,0.07380683720111847,0.40000000000000013,0.5963099298684048,0.6358344036201702,0.6154382377544382,0.1481142456982793,35861,30339,0.6164114047197191,0.3500000000000001,0.000973166965280936
2026-05,3,hist_gradient_boosting,619752,0.5041210032400056,0.8681409615416879,0.8758944580891046,0.14737816154956818,0.40000000000000013,0.7562514484356895,0.8355727683000992,0.7939357997658257,0.5569969923453252,84142,51372,0.7939357997658257,0.40000000000000013,0.0
2026-06,3,hist_gradient_boosting,496366,0.531909921308067,0.890138406429399,0.9065273703999012,0.13512781262397766,0.40000000000000013,0.799503965765036,0.844899288695639,0.8215750365998509,0.5621114258430271,55941,40950,0.8220477044335678,0.3500000000000001,0.000472667833716911
2025-07,6,hist_gradient_boosting,234906,0.7314883400168578,0.8919895401931864,0.9582894343334777,0.11777321994304657,0.40000000000000013,0.8192831978118357,0.9622361506363811,0.8850242476796095,0.8591223723531966,36471,6489,0.8899380878910257,0.5500000000000002,0.004913840211416165
2025-08,6,hist_gradient_boosting,619752,0.6484464753643393,0.8827227961148341,0.9331020519069417,0.13262411952018738,0.40000000000000013,0.7940811399034211,0.9296698484109527,0.8565428509855887,0.7591681834023932,96884,28264,0.8586227178618483,0.45000000000000007,0.002079866876259606
2025-09,6,hist_gradient_boosting,599760,0.7593637454981993,0.8735257895784542,0.9554754054595485,0.11812146753072739,0.40000000000000013,0.8361211307128616,0.9512576959221494,0.8899810700019618,0.8639305722288916,84914,22199,0.8912108535421843,0.45000000000000007,0.0012297835402225177
2025-10,6,hist_gradient_boosting,619752,0.568217609624495,0.868236645779703,0.8983136921493281,0.14604347944259644,0.40000000000000013,0.7744216232725052,0.8640481153131868,0.8167835246368097,0.6339793982108972,88632,47876,0.8167835246368097,0.40000000000000013,0.0
2025-11,6,hist_gradient_boosting,599760,0.3993514072295585,0.941881140116342,0.9183450947952103,0.0950636938214302,0.40000000000000013,0.7998067736981281,0.867540655073795,0.8322979127362742,0.43317160197412297,52010,31726,0.8330595301001935,0.45000000000000007,0.0007616173639193313
2025-12,6,hist_gradient_boosting,619752,0.1630006841446256,0.9215958239066555,0.7538010393838592,0.07261500507593155,0.40000000000000013,0.7019800595846285,0.6460898831914472,0.6728763846863611,0.15002291239076276,27709,35752,0.676419331876979,0.3500000000000001,0.0035429471906178733
2026-01,6,hist_gradient_boosting,619752,0.062495966128386836,0.9592870617939123,0.6773745435590117,0.032559528946876526,0.40000000000000013,0.6892544987146529,0.5191831044097903,0.5922511670372715,0.047075281725593464,9066,18623,0.6206060023778928,0.25000000000000006,0.02835483534062122
2026-02,6,hist_gradient_boosting,559776,0.20380473618018635,0.9055013932962491,0.7219985112418205,0.09609820693731308,0.40000000000000013,0.706796157996517,0.5798658894683788,0.6370701360734199,0.16720438175270108,27443,47931,0.6651581917321836,0.25000000000000006,0.02808805565876371
2026-03,6,hist_gradient_boosting,619752,0.20035917592843588,0.8551011658835989,0.642385965119301,0.11003773659467697,0.40000000000000013,0.6687051258377416,0.49578410765625375,0.5694056493830815,0.14854812892899094,30500,62610,0.6022667658015014,0.25000000000000006,0.03286111641841993
2026-04,6,hist_gradient_boosting,599760,0.21025910364145659,0.8950350384586092,0.710836090235681,0.10175944864749908,0.40000000000000013,0.613843747589022,0.6940248205860196,0.651476466603643,0.2377234227024143,55057,38585,0.651476466603643,0.40000000000000013,0.0
2026-05,6,hist_gradient_boosting,619752,0.6540890549768295,0.8459501431408667,0.9131972295347603,0.15158036351203918,0.40000000000000013,0.8045644538389409,0.8741776092635671,0.8379276914709985,0.7106826601608385,86079,51005,0.8380996028460588,0.3500000000000001,0.0001719113750602297
2026-06,6,hist_gradient_boosting,496366,0.6703339874205727,0.8751865871239743,0.9350713741384871,0.13558827340602875,0.40000000000000013,0.8359017288238172,0.8883121801094578,0.8613104015013318,0.7123634576099088,58024,37162,0.8614821826359877,0.3500000000000001,0.00017178113465599054
