stamp,issue_local,wet_cells,cold235_given_rain
20260830_1700,2026-08-30 17:00:00,293,0.959
20260830_1800,2026-08-30 18:00:00,258,0.9884
20260830_1900,2026-08-30 19:00:00,213,0.9249
20260830_2000,2026-08-30 20:00:00,167,0.9401
20260830_2100,2026-08-30 21:00:00,166,0.9096
20260830_2200,2026-08-30 22:00:00,179,0.7877
20260830_2300,2026-08-30 23:00:00,160,0.7063
20260831_1500,2026-08-31 15:00:00,289,0.7024
20260831_1600,2026-08-31 16:00:00,270,0.763
20260831_1700,2026-08-31 17:00:00,267,0.7903
20260901_1500,2026-09-01 15:00:00,98,0.5102
20260901_1600,2026-09-01 16:00:00,110,0.6545
20260901_1700,2026-09-01 17:00:00,128,0.7578
20260901_1800,2026-09-01 18:00:00,157,0.6497
20260902_0900,2026-09-02 09:00:00,29,0.2069
20260902_1000,2026-09-02 10:00:00,82,0.1341
20260902_1100,2026-09-02 11:00:00,152,0.1513
20260902_1200,2026-09-02 12:00:00,236,0.0847
20260902_1300,2026-09-02 13:00:00,226,0.2212
20260902_1400,2026-09-02 14:00:00,235,0.4681
20260902_1500,2026-09-02 15:00:00,273,0.6886
20260902_1600,2026-09-02 16:00:00,268,0.8582
20260902_1700,2026-09-02 17:00:00,223,0.9103
20260902_2000,2026-09-02 20:00:00,117,0.8803
20260902_2100,2026-09-02 21:00:00,90,0.8444
20260902_2200,2026-09-02 22:00:00,49,1.0
20260902_2300,2026-09-02 23:00:00,39,0.9744
20260903_0600,2026-09-03 06:00:00,5,0.0
20260903_0700,2026-09-03 07:00:00,5,0.4
20260903_0800,2026-09-03 08:00:00,7,0.1429
20260903_1000,2026-09-03 10:00:00,71,0.0986
20260903_1100,2026-09-03 11:00:00,159,0.0943
20260903_1200,2026-09-03 12:00:00,221,0.1086
20260903_1300,2026-09-03 13:00:00,239,0.3347
20260903_1400,2026-09-03 14:00:00,242,0.5124
20260903_1500,2026-09-03 15:00:00,233,0.6996
20260903_1600,2026-09-03 16:00:00,202,0.698
20260904_0800,2026-09-04 08:00:00,47,0.4681
20260904_0900,2026-09-04 09:00:00,90,0.3111
