issue_local,ir_valid_share,cold235_share_all,cold235_share_flagged,n_flagged_h1_10,tb_min_env_p10,tb_min_env_median
2026-08-29 19:00:00,1.0,0.7503,0.9399,233,203.64,221.99
2026-08-29 20:00:00,1.0,0.7875,0.9013,233,201.86,221.08
2026-08-29 21:00:00,1.0,0.7395,0.8788,264,202.71,222.34
2026-08-29 22:00:00,1.0,0.7551,0.8339,277,205.73,223.89
2026-08-30 16:00:00,1.0,0.8523,0.9924,396,212.25,223.36
2026-08-30 17:00:00,1.0,0.8908,0.996,498,202.1,222.47
2026-08-30 18:00:00,1.0,0.88,0.9941,505,201.71,221.5
2026-08-30 19:00:00,1.0,0.8115,0.9556,428,202.71,224.23
2026-08-30 20:00:00,1.0,0.7563,0.9611,334,201.86,225.21
2026-08-30 21:00:00,1.0,0.6891,0.8603,358,199.15,225.86
2026-08-30 22:00:00,1.0,0.5822,0.6579,418,198.99,229.59
2026-08-30 23:00:00,1.0,0.5822,0.6708,401,201.65,230.67
2026-08-31 09:00:00,1.0,0.5654,0.9121,91,218.48,233.83
2026-08-31 10:00:00,1.0,0.5162,0.6643,140,220.73,234.66
2026-08-31 11:00:00,1.0,0.5114,0.3746,347,221.94,234.83
2026-08-31 12:00:00,1.0,0.5906,0.5608,378,220.87,231.78
2026-08-31 13:00:00,1.0,0.5726,0.5556,441,220.94,230.9
2026-08-31 14:00:00,1.0,0.6507,0.727,304,214.87,230.43
2026-08-31 15:00:00,1.0,0.6807,0.8462,260,211.31,229.05
2026-08-31 16:00:00,1.0,0.6891,0.8696,276,207.77,227.63
2026-08-31 17:00:00,1.0,0.7095,0.9057,403,205.44,225.86
2026-08-31 18:00:00,1.0,0.7707,0.9359,390,205.44,223.69
2026-09-01 09:00:00,1.0,0.2749,0.9787,47,220.73,243.73
2026-09-01 10:00:00,1.0,0.2857,0.9184,49,222.42,246.99
2026-09-01 11:00:00,1.0,0.2941,0.4785,163,223.29,245.56
2026-09-01 12:00:00,1.0,0.3277,0.3739,222,222.13,245.89
2026-09-01 13:00:00,1.0,0.3205,0.3991,223,220.94,244.82
2026-09-01 14:00:00,1.0,0.3745,0.564,211,221.43,243.25
2026-09-01 15:00:00,1.0,0.4418,0.8582,141,218.11,239.28
2026-09-01 16:00:00,1.0,0.5762,0.9265,272,215.74,230.84
2026-09-01 17:00:00,1.0,0.617,0.8651,341,208.1,229.77
2026-09-01 18:00:00,1.0,0.5462,0.8462,299,205.64,232.07
2026-09-02 09:00:00,1.0,0.06,0.1333,15,245.56,264.85
2026-09-02 10:00:00,1.0,0.0756,0.9565,23,248.29,267.55
2026-09-02 11:00:00,1.0,0.072,0.3495,103,249.05,268.04
2026-09-02 12:00:00,1.0,0.0516,0.124,250,243.75,267.83
2026-09-02 13:00:00,1.0,0.0864,0.1776,304,236.88,266.83
2026-09-02 14:00:00,1.0,0.2353,0.5314,318,223.24,257.21
2026-09-02 15:00:00,1.0,0.5102,0.8824,306,208.89,234.44
2026-09-02 16:00:00,1.0,0.6831,0.9605,481,203.23,221.5
2026-09-02 17:00:00,1.0,0.6987,0.8971,554,200.89,215.82
2026-09-02 20:00:00,1.0,0.7503,0.9942,171,198.76,217.43
2026-09-02 21:00:00,1.0,0.6903,0.8981,108,201.22,220.37
2026-09-02 22:00:00,1.0,0.6891,0.8906,64,206.81,224.76
2026-09-02 23:00:00,1.0,0.6351,0.8929,56,213.33,229.17
2026-09-03 06:00:00,1.0,0.0528,0.75,12,239.69,256.89
2026-09-03 07:00:00,1.0,0.0396,1.0,4,245.0,259.23
2026-09-03 08:00:00,1.0,0.0288,0.2857,7,249.53,262.27
2026-09-03 10:00:00,1.0,0.0144,0.2857,28,255.53,268.76
2026-09-03 11:00:00,1.0,0.0228,0.1417,127,253.66,269.77
2026-09-03 12:00:00,1.0,0.03,0.1455,165,251.69,269.23
2026-09-03 13:00:00,1.0,0.1128,0.4011,177,234.25,268.79
2026-09-03 14:00:00,1.0,0.2377,0.6493,268,222.47,266.76
2026-09-03 15:00:00,1.0,0.4238,0.9127,229,207.17,249.88
2026-09-03 16:00:00,1.0,0.5234,0.9399,316,205.05,230.67
2026-09-04 08:00:00,1.0,0.1405,0.8,25,233.15,252.28
2026-09-04 09:00:00,1.0,0.1056,0.75,36,233.77,255.41
2026-09-04 10:00:00,1.0,0.1176,0.625,72,232.98,260.18
2026-09-04 11:00:00,1.0,0.1429,0.2769,325,228.81,260.97
2026-09-04 12:00:00,1.0,0.1813,0.3151,384,225.15,260.45
2026-09-04 13:00:00,1.0,0.2665,0.4947,374,219.51,256.81
2026-09-04 14:00:00,1.0,0.5198,0.7811,507,204.95,233.15
2026-09-04 15:00:00,1.0,0.6579,0.9384,471,198.06,226.18
2026-09-04 16:00:00,1.0,0.7791,0.9493,572,195.15,216.44
2026-09-04 23:00:00,1.0,0.6555,1.0,125,205.52,227.63
2026-09-05 00:00:00,1.0,0.5906,1.0,118,205.28,228.56
2026-09-05 01:00:00,1.0,0.5306,0.9735,113,207.36,232.58
2026-09-05 02:00:00,1.0,0.5186,1.0,76,207.83,234.38
2026-09-05 03:00:00,1.0,0.4574,0.9875,80,211.91,235.43
2026-09-05 04:00:00,1.0,0.3938,0.9383,81,213.49,238.09
2026-09-05 05:00:00,1.0,0.377,0.9516,62,217.15,239.49
