config,fold,span,target,model,train_rows,fit_seconds
hw_b07,0,2024-07..2024-08,h1_0.1mm,lightgbm,3426962,384.9993546009064
hw_b07,0,2024-07..2024-08,h3_0.1mm,hist_gradient_boosting,3426962,363.34986114501953
hw_b07,0,2024-07..2024-08,h6_0.1mm,hist_gradient_boosting,3426962,358.6587097644806
hw_b07,0,2024-07..2024-08,h1_1.0mm,lightgbm,3426962,368.21353030204773
hw_b07,0,2024-07..2024-08,h3_1.0mm,hist_gradient_boosting,3426962,339.6642563343048
hw_b07,0,2024-07..2024-08,h6_1.0mm,hist_gradient_boosting,3426962,308.2156312465668
hw_b07,1,2024-09..2024-10,h1_0.1mm,lightgbm,3425296,331.43579268455505
hw_b07,1,2024-09..2024-10,h3_0.1mm,hist_gradient_boosting,3425296,360.0494658946991
hw_b07,1,2024-09..2024-10,h6_0.1mm,hist_gradient_boosting,3425296,353.58298206329346
hw_b07,1,2024-09..2024-10,h1_1.0mm,lightgbm,3425296,377.401020526886
hw_b07,1,2024-09..2024-10,h3_1.0mm,hist_gradient_boosting,3425296,346.5417408943176
hw_b07,1,2024-09..2024-10,h6_1.0mm,hist_gradient_boosting,3425296,343.065265417099
hw_b07,2,2024-11..2024-12,h1_0.1mm,lightgbm,3425296,407.1541111469269
hw_b07,2,2024-11..2024-12,h3_0.1mm,hist_gradient_boosting,3425296,151.33261895179749
hw_b07,2,2024-11..2024-12,h6_0.1mm,hist_gradient_boosting,3425296,97.45861792564392
hw_b07,2,2024-11..2024-12,h1_1.0mm,lightgbm,3425296,125.7997612953186
hw_b07,2,2024-11..2024-12,h3_1.0mm,hist_gradient_boosting,3425296,96.90385937690735
hw_b07,2,2024-11..2024-12,h6_1.0mm,hist_gradient_boosting,3425296,95.79745888710022
hw_b07,3,2025-01..2025-02,h1_0.1mm,lightgbm,3435292,126.66827583312988
hw_b07,3,2025-01..2025-02,h3_0.1mm,hist_gradient_boosting,3435292,97.99553394317627
hw_b07,3,2025-01..2025-02,h6_0.1mm,hist_gradient_boosting,3435292,97.46502900123596
hw_b07,3,2025-01..2025-02,h1_1.0mm,lightgbm,3435292,123.5230438709259
hw_b07,3,2025-01..2025-02,h3_1.0mm,hist_gradient_boosting,3435292,94.93748426437378
hw_b07,3,2025-01..2025-02,h6_1.0mm,hist_gradient_boosting,3435292,95.93289828300476
hw_b07,4,2025-03..2025-04,h1_0.1mm,lightgbm,3425296,126.5481915473938
hw_b07,4,2025-03..2025-04,h3_0.1mm,hist_gradient_boosting,3425296,97.4515597820282
hw_b07,4,2025-03..2025-04,h6_0.1mm,hist_gradient_boosting,3425296,96.42726111412048
hw_b07,4,2025-03..2025-04,h1_1.0mm,lightgbm,3425296,123.01586699485779
hw_b07,4,2025-03..2025-04,h3_1.0mm,hist_gradient_boosting,3425296,93.8256459236145
hw_b07,4,2025-03..2025-04,h6_1.0mm,hist_gradient_boosting,3425296,95.40388512611389
hw_b07,5,2025-05..2025-06,h1_0.1mm,lightgbm,3425296,124.44531321525574
hw_b07,5,2025-05..2025-06,h3_0.1mm,hist_gradient_boosting,3425296,98.21931862831116
hw_b07,5,2025-05..2025-06,h6_0.1mm,hist_gradient_boosting,3425296,98.20160603523254
hw_b07,5,2025-05..2025-06,h1_1.0mm,lightgbm,3425296,117.63496661186218
hw_b07,5,2025-05..2025-06,h3_1.0mm,hist_gradient_boosting,3425296,93.55225539207458
hw_b07,5,2025-05..2025-06,h6_1.0mm,hist_gradient_boosting,3425296,94.25674557685852
hw_b07,6,2025-07..2025-08,h1_0.1mm,lightgbm,3420298,125.03691625595093
hw_b07,6,2025-07..2025-08,h3_0.1mm,hist_gradient_boosting,3420298,97.34735417366028
hw_b07,6,2025-07..2025-08,h6_0.1mm,hist_gradient_boosting,3420298,97.88160514831543
hw_b07,6,2025-07..2025-08,h1_1.0mm,lightgbm,3420298,117.08252310752869
hw_b07,6,2025-07..2025-08,h3_1.0mm,hist_gradient_boosting,3420298,94.12652134895325
hw_b07,6,2025-07..2025-08,h6_1.0mm,hist_gradient_boosting,3420298,95.36821627616882
hw_b07,7,2025-09..2025-10,h1_0.1mm,lightgbm,3425296,124.1543173789978
hw_b07,7,2025-09..2025-10,h3_0.1mm,hist_gradient_boosting,3425296,96.68309092521667
hw_b07,7,2025-09..2025-10,h6_0.1mm,hist_gradient_boosting,3425296,96.77094888687134
hw_b07,7,2025-09..2025-10,h1_1.0mm,lightgbm,3425296,117.77737045288086
hw_b07,7,2025-09..2025-10,h3_1.0mm,hist_gradient_boosting,3425296,93.89682698249817
hw_b07,7,2025-09..2025-10,h6_1.0mm,hist_gradient_boosting,3425296,93.33856987953186
hw_b07,8,2025-11..2025-12,h1_0.1mm,lightgbm,3425296,127.28675246238708
hw_b07,8,2025-11..2025-12,h3_0.1mm,hist_gradient_boosting,3425296,97.32341885566711
hw_b07,8,2025-11..2025-12,h6_0.1mm,hist_gradient_boosting,3425296,97.85694527626038
hw_b07,8,2025-11..2025-12,h1_1.0mm,lightgbm,3425296,120.2188572883606
hw_b07,8,2025-11..2025-12,h3_1.0mm,hist_gradient_boosting,3425296,94.77651953697205
hw_b07,8,2025-11..2025-12,h6_1.0mm,hist_gradient_boosting,3425296,96.43567228317261
hw_b07,9,2026-01..2026-02,h1_0.1mm,lightgbm,3435292,128.52195072174072
hw_b07,9,2026-01..2026-02,h3_0.1mm,hist_gradient_boosting,3435292,97.97906947135925
hw_b07,9,2026-01..2026-02,h6_0.1mm,hist_gradient_boosting,3435292,97.73441076278687
hw_b07,9,2026-01..2026-02,h1_1.0mm,lightgbm,3435292,120.59748268127441
hw_b07,9,2026-01..2026-02,h3_1.0mm,hist_gradient_boosting,3435292,92.72976040840149
hw_b07,9,2026-01..2026-02,h6_1.0mm,hist_gradient_boosting,3435292,93.78720998764038
hw_b07,10,2026-03..2026-04,h1_0.1mm,lightgbm,3425296,127.72886896133423
hw_b07,10,2026-03..2026-04,h3_0.1mm,hist_gradient_boosting,3425296,98.93947649002075
hw_b07,10,2026-03..2026-04,h6_0.1mm,hist_gradient_boosting,3425296,357.7617416381836
hw_b07,10,2026-03..2026-04,h1_1.0mm,lightgbm,3425296,391.2224471569061
hw_b07,10,2026-03..2026-04,h3_1.0mm,hist_gradient_boosting,3425296,350.72912406921387
hw_b07,10,2026-03..2026-04,h6_1.0mm,hist_gradient_boosting,3425296,353.8188087940216
hw_b07,11,2026-05..2026-06,h1_0.1mm,lightgbm,3426962,363.35149025917053
hw_b07,11,2026-05..2026-06,h3_0.1mm,hist_gradient_boosting,3426962,359.82954454421997
hw_b07,11,2026-05..2026-06,h6_0.1mm,hist_gradient_boosting,3426962,152.9976990222931
hw_b07,11,2026-05..2026-06,h1_1.0mm,lightgbm,3426962,168.13162541389465
hw_b07,11,2026-05..2026-06,h3_1.0mm,hist_gradient_boosting,3426962,323.2706217765808
hw_b07,11,2026-05..2026-06,h6_1.0mm,hist_gradient_boosting,3426962,358.49704337120056
hw_b07,12,2026-07..2026-07,h1_0.1mm,lightgbm,3640210,423.7254087924957
hw_b07,12,2026-07..2026-07,h3_0.1mm,hist_gradient_boosting,3640210,371.2596242427826
hw_b07,12,2026-07..2026-07,h6_0.1mm,hist_gradient_boosting,3640210,381.3115646839142
hw_b07,12,2026-07..2026-07,h1_1.0mm,lightgbm,3640210,324.81088614463806
hw_b07,12,2026-07..2026-07,h3_1.0mm,hist_gradient_boosting,3640210,97.86707735061646
hw_b07,12,2026-07..2026-07,h6_1.0mm,hist_gradient_boosting,3640210,98.64681792259216
