slice,target,rows,base_rate,hw_roc,b07_roc,hw_pr,b07_pr,roc_gain,pr_gain
ALL,h1_0.1mm,3740170,0.2584,0.8906,0.8951,0.7385,0.7471,0.0045,0.0086
ALL,h3_0.1mm,3740170,0.3661,0.895,0.897,0.823,0.8261,0.002,0.0031
ALL,h6_0.1mm,3740170,0.4567,0.9057,0.9073,0.8817,0.8835,0.0016,0.0018
ALL,h1_1.0mm,3740170,0.1189,0.8971,0.9008,0.557,0.5658,0.0037,0.0088
ALL,h3_1.0mm,3740170,0.1866,0.881,0.8824,0.6286,0.6321,0.0014,0.0035
ALL,h6_1.0mm,3740170,0.2613,0.8749,0.8759,0.6964,0.6985,0.001,0.0021
WET,h1_0.1mm,1930894,0.4061,0.8219,0.8287,0.7594,0.7674,0.0068,0.008
WET,h3_0.1mm,1930894,0.5699,0.8144,0.8166,0.8478,0.8499,0.0022,0.0021
WET,h6_0.1mm,1930894,0.6987,0.8216,0.8234,0.908,0.9091,0.0018,0.0011
WET,h1_1.0mm,1930894,0.1906,0.8366,0.8415,0.5614,0.5699,0.0049,0.0085
WET,h3_1.0mm,1930894,0.2986,0.8059,0.8078,0.6425,0.6457,0.0019,0.0032
WET,h6_1.0mm,1930894,0.416,0.7864,0.7875,0.716,0.7178,0.0011,0.0018
DRY,h1_0.1mm,1809276,0.1008,0.9166,0.9214,0.6206,0.6336,0.0048,0.013
DRY,h3_0.1mm,1809276,0.1487,0.9061,0.9092,0.6736,0.683,0.0031,0.0094
DRY,h6_0.1mm,1809276,0.1983,0.8959,0.8994,0.7137,0.7214,0.0035,0.0077
DRY,h1_1.0mm,1809276,0.0423,0.9418,0.9456,0.5214,0.5333,0.0038,0.0119
DRY,h3_1.0mm,1809276,0.0671,0.9238,0.9259,0.5434,0.5489,0.0021,0.0055
DRY,h6_1.0mm,1809276,0.0962,0.9095,0.9114,0.5723,0.5766,0.0019,0.0043
WARM (no cold top),h1_0.1mm,2373436,0.1149,0.8848,0.8904,0.5023,0.5166,0.0056,0.0143
WARM (no cold top),h3_0.1mm,2373436,0.1894,0.8806,0.8839,0.6297,0.638,0.0033,0.0083
WARM (no cold top),h6_0.1mm,2373436,0.275,0.8905,0.8931,0.7511,0.7558,0.0026,0.0047
WARM (no cold top),h1_1.0mm,2373436,0.0362,0.9035,0.909,0.2863,0.3017,0.0055,0.0154
WARM (no cold top),h3_1.0mm,2373436,0.0742,0.8864,0.8889,0.4032,0.4125,0.0025,0.0093
WARM (no cold top),h6_1.0mm,2373436,0.1318,0.8857,0.8874,0.5361,0.5412,0.0017,0.0051
2026 MAY-JUL,h1_0.1mm,398174,0.3798,0.7958,0.7978,0.699,0.7012,0.002,0.0022
2026 MAY-JUL,h3_0.1mm,398174,0.5454,0.7888,0.7883,0.8093,0.8086,-0.0005,-0.0007
2026 MAY-JUL,h6_0.1mm,398174,0.6861,0.7931,0.7925,0.8846,0.884,-0.0006,-0.0006
2026 MAY-JUL,h1_1.0mm,398174,0.1638,0.817,0.818,0.462,0.4659,0.001,0.0039
2026 MAY-JUL,h3_1.0mm,398174,0.272,0.791,0.7909,0.5778,0.5785,-0.0001,0.0007
2026 MAY-JUL,h6_1.0mm,398174,0.3925,0.7707,0.7712,0.6703,0.6714,0.0005,0.0011
