target,slice,feature,n,base_rate,roc,roc_oriented
h1_1.0mm,all,btd_11_13_mean,394842,0.1643,0.5922,0.5922
h1_1.0mm,all,btd_13_15_mean,395675,0.1643,0.4408,0.5592
h1_1.0mm,all,btd_07_13_mean,395675,0.1643,0.5975,0.5975
h1_1.0mm,all,btd_11_13_envmin,394842,0.1643,0.5564,0.5564
h1_1.0mm,all,b11_tb_mean,394842,0.1643,0.4072,0.5928
h1_1.0mm,all,b15_tb_mean,395675,0.1643,0.4071,0.5929
h1_1.0mm,all,b07_tb_mean,395675,0.1643,0.4626,0.5374
h1_1.0mm,all,b13_tb_mean_control,395675,0.1643,0.4059,0.5941
h1_1.0mm,all,cold235_control,395675,0.1643,0.6564,0.6564
h1_1.0mm,warm,btd_11_13_mean,190919,0.0923,0.5157,0.5157
h1_1.0mm,warm,btd_13_15_mean,191332,0.0923,0.4943,0.5057
h1_1.0mm,warm,btd_07_13_mean,191332,0.0923,0.6356,0.6356
h1_1.0mm,warm,btd_11_13_envmin,190919,0.0923,0.5254,0.5254
h1_1.0mm,warm,b11_tb_mean,190919,0.0923,0.5098,0.5098
h1_1.0mm,warm,b15_tb_mean,191332,0.0923,0.5101,0.5101
h1_1.0mm,warm,b07_tb_mean,191332,0.0923,0.6151,0.6151
h1_1.0mm,warm,b13_tb_mean_control,191332,0.0923,0.5082,0.5082
h1_1.0mm,warm,cold235_control,191332,0.0923,0.5,0.5
h1_1.0mm,cold,btd_11_13_mean,203923,0.2317,0.4958,0.5042
h1_1.0mm,cold,btd_13_15_mean,204343,0.2317,0.4413,0.5587
h1_1.0mm,cold,btd_07_13_mean,204343,0.2317,0.5447,0.5447
h1_1.0mm,cold,btd_11_13_envmin,203923,0.2317,0.4817,0.5183
h1_1.0mm,cold,b11_tb_mean,203923,0.2317,0.4634,0.5366
h1_1.0mm,cold,b15_tb_mean,204343,0.2317,0.4674,0.5326
h1_1.0mm,cold,b07_tb_mean,204343,0.2317,0.5066,0.5066
h1_1.0mm,cold,b13_tb_mean_control,204343,0.2317,0.4639,0.5361
h1_1.0mm,cold,cold235_control,204343,0.2317,0.5856,0.5856
h1_1.0mm,all,btd_rank_combo,394842,0.1646,0.6282,0.6282
h1_1.0mm,warm,btd_rank_combo,190919,0.0925,0.5911,0.5911
h1_1.0mm,cold,btd_rank_combo,203923,0.2321,0.5773,0.5773
h1_0.1mm,all,btd_11_13_mean,394842,0.3811,0.5995,0.5995
h1_0.1mm,all,btd_13_15_mean,395675,0.3811,0.4205,0.5795
h1_0.1mm,all,btd_07_13_mean,395675,0.3811,0.6052,0.6052
h1_0.1mm,all,btd_11_13_envmin,394842,0.3811,0.5533,0.5533
h1_0.1mm,all,b11_tb_mean,394842,0.3811,0.3867,0.6133
h1_0.1mm,all,b15_tb_mean,395675,0.3811,0.3891,0.6109
h1_0.1mm,all,b07_tb_mean,395675,0.3811,0.4476,0.5524
h1_0.1mm,all,b13_tb_mean_control,395675,0.3811,0.3861,0.6139
h1_0.1mm,all,cold235_control,395675,0.3811,0.6465,0.6465
h1_0.1mm,warm,btd_11_13_mean,190919,0.2639,0.5459,0.5459
h1_0.1mm,warm,btd_13_15_mean,191332,0.2639,0.4576,0.5424
h1_0.1mm,warm,btd_07_13_mean,191332,0.2639,0.6406,0.6406
h1_0.1mm,warm,btd_11_13_envmin,190919,0.2639,0.5239,0.5239
h1_0.1mm,warm,b11_tb_mean,190919,0.2639,0.4523,0.5477
h1_0.1mm,warm,b15_tb_mean,191332,0.2639,0.4553,0.5447
h1_0.1mm,warm,b07_tb_mean,191332,0.2639,0.5685,0.5685
h1_0.1mm,warm,b13_tb_mean_control,191332,0.2639,0.4513,0.5487
h1_0.1mm,warm,cold235_control,191332,0.2639,0.5,0.5
h1_0.1mm,cold,btd_11_13_mean,203923,0.4908,0.4982,0.5018
h1_0.1mm,cold,btd_13_15_mean,204343,0.4908,0.4184,0.5816
h1_0.1mm,cold,btd_07_13_mean,204343,0.4908,0.5427,0.5427
h1_0.1mm,cold,btd_11_13_envmin,203923,0.4908,0.4756,0.5244
h1_0.1mm,cold,b11_tb_mean,203923,0.4908,0.444,0.556
h1_0.1mm,cold,b15_tb_mean,204343,0.4908,0.4505,0.5495
