span,regime,target,rows,base_rate,om_roc,hw_roc,om_pr,hw_pr,roc_gain,pr_gain
2024-07..2024-08,wet,h1_0.1mm,308210,0.4553,0.7663,0.8018,0.7227,0.7672,0.0355,0.0445
2024-07..2024-08,wet,h3_0.1mm,308210,0.625,0.7582,0.7964,0.8285,0.858,0.0382,0.0295
2024-07..2024-08,wet,h6_0.1mm,308210,0.7505,0.7637,0.8006,0.8976,0.916,0.0369,0.0184
2024-07..2024-08,wet,h1_1.0mm,308210,0.2117,0.7724,0.8148,0.478,0.5611,0.0424,0.0831
2024-07..2024-08,wet,h3_1.0mm,308210,0.3208,0.7481,0.7819,0.5732,0.6305,0.0338,0.0573
2024-07..2024-08,wet,h6_1.0mm,308210,0.4395,0.731,0.7574,0.6688,0.7035,0.0264,0.0347
2024-09..2024-10,wet,h1_0.1mm,304878,0.3695,0.8316,0.8622,0.7375,0.7829,0.0306,0.0454
2024-09..2024-10,wet,h3_0.1mm,304878,0.5104,0.8244,0.8514,0.8219,0.8494,0.027,0.0275
2024-09..2024-10,wet,h6_0.1mm,304878,0.6265,0.8347,0.8567,0.886,0.9017,0.022,0.0157
2024-09..2024-10,wet,h1_1.0mm,304878,0.1785,0.8242,0.8657,0.5022,0.5998,0.0415,0.0976
2024-09..2024-10,wet,h3_1.0mm,304878,0.2714,0.8014,0.8355,0.5951,0.6579,0.0341,0.0628
2024-09..2024-10,wet,h6_1.0mm,304878,0.373,0.79,0.8151,0.6777,0.7134,0.0251,0.0357
2024-11..2024-12,dry,h1_0.1mm,304878,0.1111,0.9089,0.9228,0.6562,0.7007,0.0139,0.0445
2024-11..2024-12,dry,h3_0.1mm,304878,0.1635,0.8882,0.9036,0.6859,0.7194,0.0154,0.0335
2024-11..2024-12,dry,h6_0.1mm,304878,0.2124,0.8748,0.8874,0.7186,0.7375,0.0126,0.0189
2024-11..2024-12,dry,h1_1.0mm,304878,0.0497,0.9471,0.9612,0.5887,0.6869,0.0141,0.0982
2024-11..2024-12,dry,h3_1.0mm,304878,0.0744,0.9322,0.9441,0.6186,0.6793,0.0119,0.0607
2024-11..2024-12,dry,h6_1.0mm,304878,0.0997,0.9181,0.9267,0.6408,0.682,0.0086,0.0412
2025-01..2025-02,dry,h1_0.1mm,294882,0.0454,0.9368,0.9531,0.5153,0.59,0.0163,0.0747
2025-01..2025-02,dry,h3_0.1mm,294882,0.0705,0.9309,0.9458,0.5924,0.6501,0.0149,0.0577
2025-01..2025-02,dry,h6_0.1mm,294882,0.096,0.9187,0.9344,0.6241,0.6778,0.0157,0.0537
2025-01..2025-02,dry,h1_1.0mm,294882,0.0181,0.9568,0.968,0.3619,0.4592,0.0112,0.0973
