config,fold,span,target,model,train_rows,fit_seconds
hw_allseason,0,2024-07..2024-08,h1_0.1mm,lightgbm,3426962,116.62710547447205
hw_allseason,0,2024-07..2024-08,h3_0.1mm,hist_gradient_boosting,3426962,93.63838124275208
hw_allseason,0,2024-07..2024-08,h6_0.1mm,hist_gradient_boosting,3426962,90.41782927513123
hw_allseason,0,2024-07..2024-08,h1_1.0mm,lightgbm,3426962,105.60887885093689
hw_allseason,0,2024-07..2024-08,h3_1.0mm,hist_gradient_boosting,3426962,85.47623014450073
hw_allseason,0,2024-07..2024-08,h6_1.0mm,hist_gradient_boosting,3426962,89.44877076148987
hw_allseason,1,2024-09..2024-10,h1_0.1mm,lightgbm,3425296,115.29688477516174
hw_allseason,1,2024-09..2024-10,h3_0.1mm,hist_gradient_boosting,3425296,91.72872424125671
hw_allseason,1,2024-09..2024-10,h6_0.1mm,hist_gradient_boosting,3425296,89.13865160942078
hw_allseason,1,2024-09..2024-10,h1_1.0mm,lightgbm,3425296,111.76855945587158
hw_allseason,1,2024-09..2024-10,h3_1.0mm,hist_gradient_boosting,3425296,87.58145880699158
hw_allseason,1,2024-09..2024-10,h6_1.0mm,hist_gradient_boosting,3425296,91.40637850761414
hw_allseason,2,2024-11..2024-12,h1_0.1mm,lightgbm,3425296,117.59047245979309
hw_allseason,2,2024-11..2024-12,h3_0.1mm,hist_gradient_boosting,3425296,92.93776488304138
hw_allseason,2,2024-11..2024-12,h6_0.1mm,hist_gradient_boosting,3425296,92.73806524276733
hw_allseason,2,2024-11..2024-12,h1_1.0mm,lightgbm,3425296,114.69103741645813
hw_allseason,2,2024-11..2024-12,h3_1.0mm,hist_gradient_boosting,3425296,87.85280442237854
hw_allseason,2,2024-11..2024-12,h6_1.0mm,hist_gradient_boosting,3425296,89.34589552879333
hw_allseason,3,2025-01..2025-02,h1_0.1mm,lightgbm,3435292,117.92382383346558
hw_allseason,3,2025-01..2025-02,h3_0.1mm,hist_gradient_boosting,3435292,91.05808472633362
hw_allseason,3,2025-01..2025-02,h6_0.1mm,hist_gradient_boosting,3435292,92.37353324890137
hw_allseason,3,2025-01..2025-02,h1_1.0mm,lightgbm,3435292,113.51975631713867
hw_allseason,3,2025-01..2025-02,h3_1.0mm,hist_gradient_boosting,3435292,86.51570558547974
hw_allseason,3,2025-01..2025-02,h6_1.0mm,hist_gradient_boosting,3435292,91.73688697814941
