config,fold,span,target,model,train_rows,fit_seconds
om_only,0,2024-07..2024-08,h1_0.1mm,lightgbm,3426962,123.7785177230835
om_only,0,2024-07..2024-08,h3_0.1mm,hist_gradient_boosting,3426962,90.22912406921387
om_only,0,2024-07..2024-08,h6_0.1mm,hist_gradient_boosting,3426962,81.33776998519897
om_only,0,2024-07..2024-08,h1_1.0mm,lightgbm,3426962,82.44310903549194
om_only,0,2024-07..2024-08,h3_1.0mm,hist_gradient_boosting,3426962,85.77645444869995
om_only,0,2024-07..2024-08,h6_1.0mm,hist_gradient_boosting,3426962,89.896892786026
om_only,1,2024-09..2024-10,h1_0.1mm,lightgbm,3425296,107.429527759552
om_only,1,2024-09..2024-10,h3_0.1mm,hist_gradient_boosting,3425296,190.34623074531555
om_only,1,2024-09..2024-10,h6_0.1mm,hist_gradient_boosting,3425296,209.6070339679718
om_only,1,2024-09..2024-10,h1_1.0mm,lightgbm,3425296,296.04938864707947
om_only,1,2024-09..2024-10,h3_1.0mm,hist_gradient_boosting,3425296,266.89466524124146
om_only,1,2024-09..2024-10,h6_1.0mm,hist_gradient_boosting,3425296,283.08753728866577
om_only,2,2024-11..2024-12,h1_0.1mm,lightgbm,3425296,312.76177430152893
om_only,2,2024-11..2024-12,h3_0.1mm,hist_gradient_boosting,3425296,218.5135178565979
om_only,2,2024-11..2024-12,h6_0.1mm,hist_gradient_boosting,3425296,128.52391386032104
om_only,2,2024-11..2024-12,h1_1.0mm,lightgbm,3425296,93.13549256324768
om_only,2,2024-11..2024-12,h3_1.0mm,hist_gradient_boosting,3425296,76.04468822479248
om_only,2,2024-11..2024-12,h6_1.0mm,hist_gradient_boosting,3425296,79.50421071052551
om_only,3,2025-01..2025-02,h1_0.1mm,lightgbm,3435292,116.646817445755
om_only,3,2025-01..2025-02,h3_0.1mm,hist_gradient_boosting,3435292,82.52025389671326
om_only,3,2025-01..2025-02,h6_0.1mm,hist_gradient_boosting,3435292,78.1218683719635
om_only,3,2025-01..2025-02,h1_1.0mm,lightgbm,3435292,286.67396068573
om_only,3,2025-01..2025-02,h3_1.0mm,hist_gradient_boosting,3435292,216.40185856819153
om_only,3,2025-01..2025-02,h6_1.0mm,hist_gradient_boosting,3435292,80.62030482292175
om_only,4,2025-03..2025-04,h1_0.1mm,lightgbm,3425296,93.53119611740112
om_only,4,2025-03..2025-04,h3_0.1mm,hist_gradient_boosting,3425296,80.85805606842041
om_only,4,2025-03..2025-04,h6_0.1mm,hist_gradient_boosting,3425296,80.56537818908691
om_only,4,2025-03..2025-04,h1_1.0mm,lightgbm,3425296,85.6802351474762
om_only,4,2025-03..2025-04,h3_1.0mm,hist_gradient_boosting,3425296,185.28851556777954
om_only,4,2025-03..2025-04,h6_1.0mm,hist_gradient_boosting,3425296,185.59791946411133
om_only,5,2025-05..2025-06,h1_0.1mm,lightgbm,3425296,92.95445895195007
om_only,5,2025-05..2025-06,h3_0.1mm,hist_gradient_boosting,3425296,268.719185590744
om_only,5,2025-05..2025-06,h6_0.1mm,hist_gradient_boosting,3425296,283.36864018440247
om_only,5,2025-05..2025-06,h1_1.0mm,lightgbm,3425296,189.32214331626892
om_only,5,2025-05..2025-06,h3_1.0mm,hist_gradient_boosting,3425296,77.34477615356445
om_only,5,2025-05..2025-06,h6_1.0mm,hist_gradient_boosting,3425296,78.75934338569641
om_only,6,2025-07..2025-08,h1_0.1mm,lightgbm,3420298,89.49770498275757
om_only,6,2025-07..2025-08,h3_0.1mm,hist_gradient_boosting,3420298,80.32438826560974
om_only,6,2025-07..2025-08,h6_0.1mm,hist_gradient_boosting,3420298,81.60931706428528
om_only,6,2025-07..2025-08,h1_1.0mm,lightgbm,3420298,84.32851719856262
om_only,6,2025-07..2025-08,h3_1.0mm,hist_gradient_boosting,3420298,79.09760284423828
om_only,6,2025-07..2025-08,h6_1.0mm,hist_gradient_boosting,3420298,79.3609504699707
om_only,7,2025-09..2025-10,h1_0.1mm,lightgbm,3425296,94.21064805984497
om_only,7,2025-09..2025-10,h3_0.1mm,hist_gradient_boosting,3425296,79.39914512634277
om_only,7,2025-09..2025-10,h6_0.1mm,hist_gradient_boosting,3425296,80.92473125457764
om_only,7,2025-09..2025-10,h1_1.0mm,lightgbm,3425296,85.86756753921509
om_only,7,2025-09..2025-10,h3_1.0mm,hist_gradient_boosting,3425296,77.24449181556702
om_only,7,2025-09..2025-10,h6_1.0mm,hist_gradient_boosting,3425296,80.46775960922241
om_only,8,2025-11..2025-12,h1_0.1mm,lightgbm,3425296,90.59013819694519
om_only,8,2025-11..2025-12,h3_0.1mm,hist_gradient_boosting,3425296,79.12860178947449
om_only,8,2025-11..2025-12,h6_0.1mm,hist_gradient_boosting,3425296,80.49906921386719
om_only,8,2025-11..2025-12,h1_1.0mm,lightgbm,3425296,85.0086317062378
om_only,8,2025-11..2025-12,h3_1.0mm,hist_gradient_boosting,3425296,76.4872477054596
om_only,8,2025-11..2025-12,h6_1.0mm,hist_gradient_boosting,3425296,79.89907360076904
om_only,9,2026-01..2026-02,h1_0.1mm,lightgbm,3435292,90.8437168598175
om_only,9,2026-01..2026-02,h3_0.1mm,hist_gradient_boosting,3435292,80.40010714530945
om_only,9,2026-01..2026-02,h6_0.1mm,hist_gradient_boosting,3435292,80.89388632774353
om_only,9,2026-01..2026-02,h1_1.0mm,lightgbm,3435292,89.41302037239075
om_only,9,2026-01..2026-02,h3_1.0mm,hist_gradient_boosting,3435292,75.85902523994446
om_only,9,2026-01..2026-02,h6_1.0mm,hist_gradient_boosting,3435292,81.24778509140015
om_only,10,2026-03..2026-04,h1_0.1mm,lightgbm,3425296,92.30072903633118
om_only,10,2026-03..2026-04,h3_0.1mm,hist_gradient_boosting,3425296,77.79138612747192
om_only,10,2026-03..2026-04,h6_0.1mm,hist_gradient_boosting,3425296,80.93329548835754
om_only,10,2026-03..2026-04,h1_1.0mm,lightgbm,3425296,87.88499140739441
om_only,10,2026-03..2026-04,h3_1.0mm,hist_gradient_boosting,3425296,74.80276203155518
om_only,10,2026-03..2026-04,h6_1.0mm,hist_gradient_boosting,3425296,79.46629571914673
om_only,11,2026-05..2026-06,h1_0.1mm,lightgbm,3426962,91.53424310684204
om_only,11,2026-05..2026-06,h3_0.1mm,hist_gradient_boosting,3426962,78.49697542190552
om_only,11,2026-05..2026-06,h6_0.1mm,hist_gradient_boosting,3426962,80.75872945785522
om_only,11,2026-05..2026-06,h1_1.0mm,lightgbm,3426962,88.04700708389282
om_only,11,2026-05..2026-06,h3_1.0mm,hist_gradient_boosting,3426962,76.88281869888306
om_only,11,2026-05..2026-06,h6_1.0mm,hist_gradient_boosting,3426962,78.39013528823853
om_only,12,2026-07..2026-07,h1_0.1mm,lightgbm,3640210,99.43337535858154
om_only,12,2026-07..2026-07,h3_0.1mm,hist_gradient_boosting,3640210,84.15496349334717
om_only,12,2026-07..2026-07,h6_0.1mm,hist_gradient_boosting,3640210,84.82586431503296
om_only,12,2026-07..2026-07,h1_1.0mm,lightgbm,3640210,90.02490186691284
om_only,12,2026-07..2026-07,h3_1.0mm,hist_gradient_boosting,3640210,81.51522588729858
om_only,12,2026-07..2026-07,h6_1.0mm,hist_gradient_boosting,3640210,83.59516882896423
