config,block,span,target,rows,base_rate,roc_auc
om_only,0,2024-07..2024-08,h1_0.1mm,308210,0.45526751241036956,0.7662899509218523
om_only,0,2024-07..2024-08,h3_0.1mm,308210,0.6249862107004964,0.758176012143633
om_only,0,2024-07..2024-08,h6_0.1mm,308210,0.7505499497096135,0.7637121084127679
om_only,0,2024-07..2024-08,h1_1.0mm,308210,0.21168683689692094,0.7724042622203038
om_only,0,2024-07..2024-08,h3_1.0mm,308210,0.32082670906200317,0.748145322326093
om_only,0,2024-07..2024-08,h6_1.0mm,308210,0.4395379773531034,0.7309725940817161
om_only,1,2024-09..2024-10,h1_0.1mm,304878,0.36954453912712626,0.8316002338469515
om_only,1,2024-09..2024-10,h3_0.1mm,304878,0.5103976016636163,0.824391905021016
om_only,1,2024-09..2024-10,h6_0.1mm,304878,0.6265358602457376,0.8347056315655308
om_only,1,2024-09..2024-10,h1_1.0mm,304878,0.17849762855962056,0.8241897958339074
om_only,1,2024-09..2024-10,h3_1.0mm,304878,0.2713741234198597,0.8014463494298137
om_only,1,2024-09..2024-10,h6_1.0mm,304878,0.37296557967449273,0.7900090762588731
om_only,2,2024-11..2024-12,h1_0.1mm,304878,0.11114281778285084,0.9088598735594954
om_only,2,2024-11..2024-12,h3_0.1mm,304878,0.16347850615656098,0.888191437639977
om_only,2,2024-11..2024-12,h6_0.1mm,304878,0.21235707397713183,0.8748032276961056
om_only,2,2024-11..2024-12,h1_1.0mm,304878,0.04966904794704767,0.9471137773095105
om_only,2,2024-11..2024-12,h3_1.0mm,304878,0.07442321190771391,0.9322145512355091
om_only,2,2024-11..2024-12,h6_1.0mm,304878,0.09972513595602175,0.9180728621737098
om_only,3,2025-01..2025-02,h1_0.1mm,294882,0.04539782014500716,0.9368479585701583
om_only,3,2025-01..2025-02,h3_0.1mm,294882,0.07045190957739028,0.9309069283716304
om_only,3,2025-01..2025-02,h6_0.1mm,294882,0.09603163299217993,0.9186958740229826
om_only,3,2025-01..2025-02,h1_1.0mm,294882,0.018098764929700695,0.9568455865217748
om_only,3,2025-01..2025-02,h3_1.0mm,294882,0.030130696346335143,0.9512437922416905
om_only,3,2025-01..2025-02,h6_1.0mm,294882,0.04414308096119804,0.9446702734744105
om_only,4,2025-03..2025-04,h1_0.1mm,304878,0.14948274391723904,0.8575347485058425
om_only,4,2025-03..2025-04,h3_0.1mm,304878,0.22427659588425533,0.8458779164863094
om_only,4,2025-03..2025-04,h6_0.1mm,304878,0.30328196852511496,0.8364303664371301
om_only,4,2025-03..2025-04,h1_1.0mm,304878,0.06766313082610093,0.881339283602484
om_only,4,2025-03..2025-04,h3_1.0mm,304878,0.10620969699355153,0.8606916335485396
om_only,4,2025-03..2025-04,h6_1.0mm,304878,0.156734825077572,0.8436223959014297
om_only,5,2025-05..2025-06,h1_0.1mm,304878,0.42141118742579,0.7567497155647778
om_only,5,2025-05..2025-06,h3_0.1mm,304878,0.5994791359166618,0.748945555722613
om_only,5,2025-05..2025-06,h6_0.1mm,304878,0.7377475580396093,0.7585976791479982
om_only,5,2025-05..2025-06,h1_1.0mm,304878,0.1992567518810803,0.7809651203755494
