config,target,run_type,rows,base_rate,roc_auc
om_only,h1_0.1mm,permanent,2284086,0.2976853761198133,0.8609980424629708
om_only,h1_0.1mm,provisional,1456084,0.19685196733155505,0.877650367952565
om_only,h3_0.1mm,permanent,2284086,0.41873773579453666,0.869092928961827
om_only,h3_0.1mm,provisional,1456084,0.28363267503797857,0.8820503151674652
om_only,h6_0.1mm,permanent,2284086,0.5158194568855988,0.8868400283841419
om_only,h6_0.1mm,provisional,1456084,0.3638340919891984,0.8925390098364456
om_only,h1_1.0mm,permanent,2284086,0.14112165654007774,0.8571441715643041
om_only,h1_1.0mm,provisional,1456084,0.08403292667181289,0.8854410621267501
om_only,h3_1.0mm,permanent,2284086,0.21788277674308235,0.8458182711988435
om_only,h3_1.0mm,provisional,1456084,0.13759371025297992,0.8757721359449032
om_only,h6_1.0mm,permanent,2284086,0.30174257886962225,0.8452359467455787
om_only,h6_1.0mm,provisional,1456084,0.19788350122657758,0.8754164383632626
