config,fold,span,target,model,train_rows,fit_seconds
hw_offset0h,0,2024-07..2024-08,h1_0.1mm,lightgbm,3426962,109.49524474143982
hw_offset0h,0,2024-07..2024-08,h3_0.1mm,hist_gradient_boosting,3426962,96.23340392112732
hw_offset0h,0,2024-07..2024-08,h6_0.1mm,hist_gradient_boosting,3426962,93.38894462585449
hw_offset0h,0,2024-07..2024-08,h1_1.0mm,lightgbm,3426962,104.14031648635864
hw_offset0h,0,2024-07..2024-08,h3_1.0mm,hist_gradient_boosting,3426962,86.32805800437927
hw_offset0h,0,2024-07..2024-08,h6_1.0mm,hist_gradient_boosting,3426962,94.99062323570251
hw_offset0h,1,2024-09..2024-10,h1_0.1mm,lightgbm,3425296,110.39606165885925
hw_offset0h,1,2024-09..2024-10,h3_0.1mm,hist_gradient_boosting,3425296,95.2186279296875
hw_offset0h,1,2024-09..2024-10,h6_0.1mm,hist_gradient_boosting,3425296,96.2743091583252
hw_offset0h,1,2024-09..2024-10,h1_1.0mm,lightgbm,3425296,102.85601329803467
hw_offset0h,1,2024-09..2024-10,h3_1.0mm,hist_gradient_boosting,3425296,94.35011148452759
hw_offset0h,1,2024-09..2024-10,h6_1.0mm,hist_gradient_boosting,3425296,95.36945724487305
hw_offset0h,5,2025-05..2025-06,h1_0.1mm,lightgbm,3425296,110.58591628074646
hw_offset0h,5,2025-05..2025-06,h3_0.1mm,hist_gradient_boosting,3425296,95.2197630405426
hw_offset0h,5,2025-05..2025-06,h6_0.1mm,hist_gradient_boosting,3425296,99.33506798744202
hw_offset0h,5,2025-05..2025-06,h1_1.0mm,lightgbm,3425296,101.3137435913086
hw_offset0h,5,2025-05..2025-06,h3_1.0mm,hist_gradient_boosting,3425296,88.75753784179688
hw_offset0h,5,2025-05..2025-06,h6_1.0mm,hist_gradient_boosting,3425296,93.91248369216919
hw_offset0h,6,2025-07..2025-08,h1_0.1mm,lightgbm,3420298,109.01363587379456
hw_offset0h,6,2025-07..2025-08,h3_0.1mm,hist_gradient_boosting,3420298,96.56186318397522
hw_offset0h,6,2025-07..2025-08,h6_0.1mm,hist_gradient_boosting,3420298,98.03602004051208
hw_offset0h,6,2025-07..2025-08,h1_1.0mm,lightgbm,3420298,99.52303218841553
hw_offset0h,6,2025-07..2025-08,h3_1.0mm,hist_gradient_boosting,3420298,94.48026418685913
hw_offset0h,6,2025-07..2025-08,h6_1.0mm,hist_gradient_boosting,3420298,102.75139212608337
hw_offset0h,7,2025-09..2025-10,h1_0.1mm,lightgbm,3425296,110.84768748283386
hw_offset0h,7,2025-09..2025-10,h3_0.1mm,hist_gradient_boosting,3425296,97.44337224960327
hw_offset0h,7,2025-09..2025-10,h6_0.1mm,hist_gradient_boosting,3425296,99.33696055412292
hw_offset0h,7,2025-09..2025-10,h1_1.0mm,lightgbm,3425296,100.69696426391602
hw_offset0h,7,2025-09..2025-10,h3_1.0mm,hist_gradient_boosting,3425296,94.39949774742126
hw_offset0h,7,2025-09..2025-10,h6_1.0mm,hist_gradient_boosting,3425296,95.96872401237488
hw_offset0h,11,2026-05..2026-06,h1_0.1mm,lightgbm,3426962,114.36670184135437
hw_offset0h,11,2026-05..2026-06,h3_0.1mm,hist_gradient_boosting,3426962,100.32393407821655
hw_offset0h,11,2026-05..2026-06,h6_0.1mm,hist_gradient_boosting,3426962,102.35605478286743
hw_offset0h,11,2026-05..2026-06,h1_1.0mm,lightgbm,3426962,106.91584658622742
hw_offset0h,11,2026-05..2026-06,h3_1.0mm,hist_gradient_boosting,3426962,92.15291905403137
hw_offset0h,11,2026-05..2026-06,h6_1.0mm,hist_gradient_boosting,3426962,95.78609085083008
hw_offset0h,12,2026-07..2026-07,h1_0.1mm,lightgbm,3640210,116.29242420196533
hw_offset0h,12,2026-07..2026-07,h3_0.1mm,hist_gradient_boosting,3640210,104.41920495033264
hw_offset0h,12,2026-07..2026-07,h6_0.1mm,hist_gradient_boosting,3640210,105.48915696144104
hw_offset0h,12,2026-07..2026-07,h1_1.0mm,lightgbm,3640210,106.44676446914673
hw_offset0h,12,2026-07..2026-07,h3_1.0mm,hist_gradient_boosting,3640210,98.2405059337616
hw_offset0h,12,2026-07..2026-07,h6_1.0mm,hist_gradient_boosting,3640210,101.42653369903564
