block,span,target,om_only,hw_offset0h,roc_gain
0,2024-07..2024-08,h1_0.1mm,0.7662899509218523,0.8012927896294898,0.03500283870763754
0,2024-07..2024-08,h3_0.1mm,0.758176012143633,0.7969505285858407,0.03877451644220775
0,2024-07..2024-08,h6_0.1mm,0.7637121084127679,0.8007944277953887,0.03708231938262074
0,2024-07..2024-08,h1_1.0mm,0.7724042622203038,0.8145189914012276,0.04211472918092385
0,2024-07..2024-08,h3_1.0mm,0.748145322326093,0.7832036656510531,0.03505834332496016
0,2024-07..2024-08,h6_1.0mm,0.7309725940817161,0.758708618195091,0.027736024113374835
1,2024-09..2024-10,h1_0.1mm,0.8316002338469515,0.8607856267610112,0.02918539291405975
1,2024-09..2024-10,h3_0.1mm,0.824391905021016,0.850987501908366,0.026595596887350026
1,2024-09..2024-10,h6_0.1mm,0.8347056315655308,0.8563065648397025,0.021600933274171674
1,2024-09..2024-10,h1_1.0mm,0.8241897958339074,0.8651526218007566,0.04096282596684919
1,2024-09..2024-10,h3_1.0mm,0.8014463494298137,0.8358081503849596,0.03436180095514585
1,2024-09..2024-10,h6_1.0mm,0.7900090762588731,0.8156653186438532,0.0256562423849801
5,2025-05..2025-06,h1_0.1mm,0.7567497155647778,0.7918292273316316,0.035079511766853866
5,2025-05..2025-06,h3_0.1mm,0.748945555722613,0.7901298314680516,0.04118427574543859
5,2025-05..2025-06,h6_0.1mm,0.7585976791479982,0.7926487939489659,0.034051114800967675
5,2025-05..2025-06,h1_1.0mm,0.7809651203755494,0.8251862038655886,0.04422108349003917
5,2025-05..2025-06,h3_1.0mm,0.757254251376185,0.7959752907291611,0.038721039352976105
5,2025-05..2025-06,h6_1.0mm,0.7445141528131383,0.7732713802015326,0.02875722738839437
6,2025-07..2025-08,h1_0.1mm,0.7887311605006271,0.8263779474961508,0.03764678699552371
6,2025-07..2025-08,h3_0.1mm,0.7717725416990908,0.8151529226585337,0.043380380959442855
6,2025-07..2025-08,h6_0.1mm,0.7771303412449566,0.8229084908762547,0.045778149631298115
6,2025-07..2025-08,h1_1.0mm,0.7960637031079748,0.8419332941369283,0.045869591028953494
6,2025-07..2025-08,h3_1.0mm,0.768233966984309,0.8111842193796154,0.042950252395306365
6,2025-07..2025-08,h6_1.0mm,0.755130661698246,0.7944672233274415,0.03933656162919541
7,2025-09..2025-10,h1_0.1mm,0.8044582948463703,0.8461592364084416,0.04170094156207127
7,2025-09..2025-10,h3_0.1mm,0.8025671120671636,0.8373615908122706,0.034794478745106994
7,2025-09..2025-10,h6_0.1mm,0.8227297420514077,0.8471277990748782,0.024398057023470532
7,2025-09..2025-10,h1_1.0mm,0.8017922967238962,0.853426193082266,0.05163389635836979
7,2025-09..2025-10,h3_1.0mm,0.7826040781924753,0.8243775346035728,0.04177345641109742
7,2025-09..2025-10,h6_1.0mm,0.7857273587445128,0.8156588253032804,0.02993146655876755
11,2026-05..2026-06,h1_0.1mm,0.7848286828570621,0.8041500962142235,0.01932141335716142
11,2026-05..2026-06,h3_0.1mm,0.7711501670601788,0.7919803184962071,0.020830151436028288
11,2026-05..2026-06,h6_0.1mm,0.7741548180290379,0.7920507925260571,0.017895974497019296
11,2026-05..2026-06,h1_1.0mm,0.8001171261714606,0.8227756698820593,0.022658543710598722
11,2026-05..2026-06,h3_1.0mm,0.7774441554411526,0.795181253776731,0.01773709833557835
11,2026-05..2026-06,h6_1.0mm,0.7609674626679812,0.7737574491352028,0.012789986467221626
12,2026-07..2026-07,h1_0.1mm,0.7510139001342463,0.7631224596990482,0.012108559564801946
12,2026-07..2026-07,h3_0.1mm,0.7576519201406653,0.7713084456654927,0.013656525524827434
12,2026-07..2026-07,h6_0.1mm,0.7802475542405107,0.7891412586420925,0.00889370440158177
12,2026-07..2026-07,h1_1.0mm,0.7794065311519321,0.7944771021197636,0.015070570967831487
12,2026-07..2026-07,h3_1.0mm,0.7601107979274095,0.7717941890607962,0.011683391133386678
12,2026-07..2026-07,h6_1.0mm,0.7560540022011413,0.758305529711344,0.0022515275102027443
