target,score,rows,base_rate,roc_auc,pr_auc_lift
h1_0.1mm,hw_neg_tbmin_env_lag1,309876,0.44019220591462394,0.7439823449321299,1.5908619921982974
h1_0.1mm,hw_cold235_env_lag1,309876,0.44019220591462394,0.7208421480583269,1.4898590867593444
h1_0.1mm,hw_neg_tbmin_cell_lag1,309876,0.44019220591462394,0.7148538604401462,1.5264592396536512
h1_0.1mm,imerg_fresh_persist,309876,0.44019220591462394,0.8856547278002846,1.9566953297415364
h3_0.1mm,hw_neg_tbmin_env_lag1,309876,0.6165530728420401,0.7414973844532349,1.3247947574621732
h3_0.1mm,hw_cold235_env_lag1,309876,0.6165530728420401,0.7181382665454537,1.276566426361189
h3_0.1mm,hw_neg_tbmin_cell_lag1,309876,0.6165530728420401,0.7170498104763162,1.296669459173076
h3_0.1mm,imerg_fresh_persist,309876,0.6165530728420401,0.8095240067273446,1.4029675130920607
h6_0.1mm,hw_neg_tbmin_env_lag1,309876,0.744956046934903,0.7294628033604301,1.1827678029584023
h6_0.1mm,hw_cold235_env_lag1,309876,0.744956046934903,0.7062616287747914,1.1564932682184221
h6_0.1mm,hw_neg_tbmin_cell_lag1,309876,0.744956046934903,0.7120893568939817,1.1715805436332256
h6_0.1mm,imerg_fresh_persist,309876,0.744956046934903,0.772374967918111,1.2019979323106356
h1_1.0mm,hw_neg_tbmin_env_lag1,309876,0.2249383624417509,0.7595993987739382,2.21854469949119
h1_1.0mm,hw_cold235_env_lag1,309876,0.2249383624417509,0.7273288610770321,1.875828487263524
h1_1.0mm,hw_neg_tbmin_cell_lag1,309876,0.2249383624417509,0.7118156613083397,2.0161806477273196
h1_1.0mm,imerg_fresh_persist,309876,0.2249383624417509,0.9183711767773423,3.5257828227420007
h3_1.0mm,hw_neg_tbmin_env_lag1,309876,0.3477326414436742,0.7221974820014482,1.6928994713356258
h3_1.0mm,hw_cold235_env_lag1,309876,0.3477326414436742,0.6951149819844602,1.5213768798345841
h3_1.0mm,hw_neg_tbmin_cell_lag1,309876,0.3477326414436742,0.6801387233427277,1.5756142761620733
h3_1.0mm,imerg_fresh_persist,309876,0.3477326414436742,0.8179577432848175,2.1446102677969603
h6_1.0mm,hw_neg_tbmin_env_lag1,309876,0.47810414488375996,0.6806122858768499,1.3823404963531642
h6_1.0mm,hw_cold235_env_lag1,309876,0.47810414488375996,0.6593996562998605,1.2984083386395484
h6_1.0mm,hw_neg_tbmin_cell_lag1,309876,0.47810414488375996,0.650754679637596,1.3267643927822534
h6_1.0mm,imerg_fresh_persist,309876,0.47810414488375996,0.7479963156535119,1.5693475231465635
