config,target,test_rows,base_rate,roc_day0,pr_day0,roc_alt,pr_alt,roc_gap,pr_gap,fit_minutes
om_only,h1_0.1mm,148274,0.35904474149210247,0.7863123930870756,0.6626106679360088,0.7557117251201274,0.6088244933824547,-0.03060066796694816,-0.053786174553554056,2.1615583181381224
om_only,h3_0.1mm,148274,0.5222628377193574,0.7793901529228061,0.7864953136043326,0.7505536604466959,0.7508937863012535,-0.028836492476110198,-0.035601527303079084,1.5612410187721253
om_only,h6_0.1mm,148274,0.6666846513886453,0.784242043358496,0.8699213694602879,0.7624099125812656,0.8515907186815803,-0.021832130777230452,-0.018330650778707547,1.5193939765294393
om_only,h1_1.0mm,148274,0.15191469846365513,0.801672451831776,0.4079534266998993,0.765813570325235,0.3350985331903092,-0.03585888150654104,-0.07285489350959012,1.9595540761947632
om_only,h3_1.0mm,148274,0.2597690761697938,0.7865763280875349,0.5513885599042491,0.7574949072821542,0.4915575941530714,-0.029081420805380676,-0.05983096575117769,1.439502767721812
om_only,h6_1.0mm,148274,0.3818538651415622,0.7704763421530885,0.659402863244376,0.7497796237394179,0.6262520622274401,-0.0206967184136706,-0.033150801016935905,1.4679719010988872
hw_offset0h,h1_0.1mm,148274,0.35904474149210247,0.8038887897085001,0.689337345530167,0.7925831167770434,0.6655856023016488,-0.011305672931456678,-0.02375174322851825,2.51893926858902
hw_offset0h,h3_0.1mm,148274,0.5222628377193574,0.8019311912782919,0.8093101877436226,0.7919676959537716,0.7955004535777361,-0.009963495324520344,-0.01380973416588649,1.7576799352963766
hw_offset0h,h6_0.1mm,148274,0.6666846513886453,0.8041234226022915,0.882776474644164,0.7964850649185398,0.8760725838378657,-0.007638357683751762,-0.006703890806298296,1.7662688136100768
hw_offset0h,h1_1.0mm,148274,0.15191469846365513,0.8217316764473358,0.4413649639318035,0.8063982983772556,0.40698548006790847,-0.015333378070080173,-0.034379483863895055,2.2097593466440837
hw_offset0h,h3_1.0mm,148274,0.2597690761697938,0.8048365540271487,0.579080127492148,0.7920471663543305,0.5508804119422569,-0.012789387672818231,-0.02819971554989109,1.6401674191157023
hw_offset0h,h6_1.0mm,148274,0.3818538651415622,0.7863727387262089,0.6758803070258256,0.777034647114218,0.6591558305748262,-0.00933809161199095,-0.016724476450999393,1.6850137750307719
