horizon_h,target_column,rows,rain_rate,roc_auc,pr_auc,brier_score,threshold,predicted_rain_rate,accuracy,precision,recall,f1,specificity,false_positive_rate,false_negative_rate,true_negatives,false_positives,false_negatives,true_positives
1,rain_next_1h,402752,0.1890865843000159,0.9101265974526317,0.738045289551279,0.08585462255680347,0.1,0.36907327586206895,0.7739551883044653,0.44993104376198323,0.8782089160265248,0.5950177935943061,0.7496455876814545,0.2503544123185455,0.12179108397347516,244832,81765,9275,66880
1,rain_next_1h,402752,0.1890865843000159,0.9101265974526317,0.738045289551279,0.08585462255680347,0.15,0.2798819124423963,0.8353924996027332,0.543731093033365,0.8048191189022389,0.6490009424072681,0.842521517344005,0.157478482655995,0.19518088109776113,275165,51432,14864,61291
1,rain_next_1h,402752,0.1890865843000159,0.9101265974526317,0.738045289551279,0.08585462255680347,0.2,0.23911488955982838,0.858982699030669,0.6005150357202194,0.7593985949707833,0.6706753489235122,0.8822034495111712,0.11779655048882874,0.24060140502921673,288125,38472,18323,57832
1,rain_next_1h,402752,0.1890865843000159,0.9101265974526317,0.738045289551279,0.08585462255680347,0.25,0.2166866955347211,0.869984506594629,0.6363053018757663,0.7291839012540214,0.679585867609805,0.902816008720227,0.09718399127977292,0.2708160987459786,294857,31740,20624,55531
1,rain_next_1h,402752,0.1890865843000159,0.9101265974526317,0.738045289551279,0.08585462255680347,0.3,0.2012752264420785,0.8761793858255205,0.6621311556301194,0.7048125533451514,0.6828055133285417,0.9161382376445589,0.08386176235544111,0.29518744665484864,299208,27389,22480,53675
1,rain_next_1h,402752,0.1890865843000159,0.9101265974526317,0.738045289551279,0.08585462255680347,0.35,0.18771353090735737,0.8801073613538852,0.684307293457845,0.6793381918455781,0.6818136889896348,0.9269221701362842,0.07307782986371583,0.3206618081544219,302730,23867,24420,51735
1,rain_next_1h,402752,0.1890865843000159,0.9101265974526317,0.738045289551279,0.08585462255680347,0.4,0.17441254171301446,0.8824735817575083,0.7051462737561393,0.650423478432145,0.6766803278688525,0.9365823935921028,0.06341760640789719,0.349576521567855,305885,20712,26622,49533
1,rain_next_1h,402752,0.1890865843000159,0.9101265974526317,0.738045289551279,0.08585462255680347,0.45,0.15997685920864452,0.8834518512633084,0.726715400971582,0.6148381590177927,0.6661118461297711,0.9460864612963377,0.05391353870366231,0.38516184098220735,308989,17608,29332,46823
1,rain_next_1h,402752,0.1890865843000159,0.9101265974526317,0.738045289551279,0.08585462255680347,0.5,0.14500486651835373,0.8833326712219927,0.7497131898426397,0.5749327030398529,0.6507922352031867,0.9552445368451027,0.04475546315489732,0.42506729696014706,311980,14617,32371,43784
2,rain_next_2h,402696,0.18904334783558813,0.863552448822504,0.6017513927621176,0.10851085783732373,0.1,0.44949540099727836,0.6967513955936985,0.37296281973371637,0.8868075715580543,0.5250897381551468,0.6524471091867262,0.3475528908132738,0.1131924284419457,213069,113500,8617,67510
2,rain_next_2h,402696,0.18904334783558813,0.863552448822504,0.6017513927621176,0.10851085783732373,0.15,0.3473811510419771,0.764512187853865,0.43315056938000845,0.7959462477176298,0.5610047403896008,0.7571845459918118,0.24281545400818816,0.20405375228237024,247273,79296,15534,60593
2,rain_next_2h,402696,0.18904334783558813,0.863552448822504,0.6017513927621176,0.10851085783732373,0.2,0.2798264695949302,0.8015575024335976,0.4832053955717265,0.7152521444428389,0.5767641887168189,0.8216762766827225,0.1783237233172775,0.28474785555716103,268334,58235,21677,54450
2,rain_next_2h,402696,0.18904334783558813,0.863552448822504,0.6017513927621176,0.10851085783732373,0.25,0.23734777598982856,0.8200975425631245,0.5192563219954174,0.6519368949255849,0.5780811386905524,0.8592977288107567,0.1407022711892433,0.3480631050744151,280620,45949,26497,49630
2,rain_next_2h,402696,0.18904334783558813,0.863552448822504,0.6017513927621176,0.10851085783732373,0.3,0.20670927945646345,0.8307010747561436,0.547758916879903,0.5989464973005635,0.57221023041012,0.8847257394302582,0.11527426056974177,0.40105350269943646,288924,37645,30531,45596
