model,horizon_h,feature,importance,is_neighbor_feature
lightgbm,1,latitude,349.0,False
lightgbm,1,longitude,329.0,False
lightgbm,1,altitude_m,163.0,False
lightgbm,1,temperature_c,740.0,False
lightgbm,1,precipitation_mm,367.0,False
lightgbm,1,pressure_hpa,543.0,False
lightgbm,1,humidity_percent,367.0,False
lightgbm,1,wind_speed_avg_knot,956.0,False
lightgbm,1,max_wind_speed_knot,1084.0,False
lightgbm,1,weather_code,146.0,False
lightgbm,1,visibility_m,258.0,False
lightgbm,1,wind_dir_avg_sin,909.0,False
lightgbm,1,wind_dir_avg_cos,916.0,False
lightgbm,1,max_wind_dir_sin,736.0,False
lightgbm,1,max_wind_dir_cos,871.0,False
lightgbm,1,temperature_humidity_index,939.0,False
lightgbm,1,temperature_dew_point_spread_est,365.0,False
lightgbm,1,pressure_hpa_change_3h,977.0,False
lightgbm,1,pressure_hpa_change_6h,915.0,False
lightgbm,1,humidity_change_3h,1008.0,False
lightgbm,1,hour_sin,448.0,False
lightgbm,1,hour_cos,346.0,False
lightgbm,1,month_sin,393.0,False
lightgbm,1,month_cos,337.0,False
lightgbm,1,precipitation_lag_1h,123.0,False
lightgbm,1,precipitation_lag_2h,102.0,False
lightgbm,1,precipitation_lag_3h,98.0,False
lightgbm,1,precipitation_lag_6h,121.0,False
lightgbm,1,precipitation_sum_past_3h,164.0,False
lightgbm,1,precipitation_sum_past_6h,211.0,False
lightgbm,1,precipitation_sum_past_12h,348.0,False
lightgbm,1,precipitation_sum_past_24h,597.0,False
lightgbm,1,temperature_lag_1h,799.0,False
lightgbm,1,temperature_lag_3h,756.0,False
lightgbm,1,humidity_lag_1h,486.0,False
lightgbm,1,humidity_lag_3h,560.0,False
lightgbm,1,pressure_lag_1h,543.0,False
lightgbm,1,pressure_lag_3h,617.0,False
lightgbm,1,wind_speed_lag_1h,877.0,False
lightgbm,1,wind_speed_lag_3h,741.0,False
lightgbm,1,nearest_station_distance_km,282.0,True
lightgbm,1,nearby_station_count_50km,53.0,True
lightgbm,1,nearby_station_count_100km,171.0,True
lightgbm,1,nearby_station_count_200km,196.0,True
lightgbm,1,nearby_precip_mean_now_100km,294.0,True
lightgbm,1,nearby_precip_max_now_100km,214.0,True
lightgbm,1,nearby_rain_rate_now_010mm_100km,341.0,True
lightgbm,1,nearby_rain_rate_now_025mm_100km,187.0,True
lightgbm,1,nearby_humidity_mean_now_100km,982.0,True
lightgbm,1,nearby_pressure_mean_now_100km,601.0,True
lightgbm,1,nearby_wind_speed_mean_now_100km,1017.0,True
lightgbm,1,nearby_precip_mean_lag1_100km,180.0,True
lightgbm,1,nearby_precip_max_lag1_100km,115.0,True
lightgbm,1,nearby_rain_rate_lag1_010mm_100km,144.0,True
lightgbm,1,nearby_rain_rate_lag1_025mm_100km,88.0,True
lightgbm,1,nearby_humidity_mean_lag1_100km,719.0,True
lightgbm,1,nearby_pressure_mean_lag1_100km,563.0,True
lightgbm,1,nearby_wind_speed_mean_lag1_100km,810.0,True
lightgbm,1,nearest_rainy_station_distance_lag1_010mm_km,409.0,True
lightgbm,1,nearest_rainy_station_distance_lag1_025mm_km,243.0,True
lightgbm,1,nearby_precip_mean_now_minus_center,259.0,True
lightgbm,1,nearby_humidity_mean_now_minus_center,761.0,True
lightgbm,1,center_pressure_minus_nearby_mean,766.0,True
lightgbm,2,latitude,410.0,False
lightgbm,2,longitude,467.0,False
lightgbm,2,altitude_m,235.0,False
lightgbm,2,temperature_c,745.0,False
lightgbm,2,precipitation_mm,326.0,False
