part,fold,horizon_h,model,train_rows,test_rows,fit_seconds
A_year,2020,1,lightgbm,795457,106491,15.917535543441772
A_year,2020,2,lightgbm,795457,106491,17.56900644302368
A_year,2020,3,hist_gradient_boosting,795457,106491,19.001675128936768
A_year,2020,6,hist_gradient_boosting,795457,106491,17.105672121047974
A_year,2021,1,lightgbm,826476,75064,16.262246131896973
A_year,2021,2,lightgbm,826476,75064,17.294781923294067
A_year,2021,3,hist_gradient_boosting,826476,75064,17.03225064277649
A_year,2021,6,hist_gradient_boosting,826476,75064,17.718425989151
A_year,2022,1,lightgbm,773903,127661,15.46453595161438
A_year,2022,2,lightgbm,773903,127661,16.121992111206055
A_year,2022,3,hist_gradient_boosting,773903,127661,16.424554586410522
A_year,2022,6,hist_gradient_boosting,773903,127661,57.027591943740845
A_year,2023,1,lightgbm,735454,165981,56.16727256774902
A_year,2023,2,lightgbm,735454,165981,32.87603235244751
A_year,2023,3,hist_gradient_boosting,735454,165981,15.80275273323059
A_year,2023,6,hist_gradient_boosting,735454,165981,16.225067615509033
A_year,2024,1,lightgbm,697318,203879,14.707388877868652
A_year,2024,2,lightgbm,697318,203879,15.21130084991455
A_year,2024,3,hist_gradient_boosting,697318,203879,15.64323115348816
A_year,2024,6,hist_gradient_boosting,697318,203879,15.948807954788208
A_year,2025,1,lightgbm,695992,205714,14.615009307861328
A_year,2025,2,lightgbm,695992,205714,15.576040983200073
A_year,2025,3,hist_gradient_boosting,695992,205714,15.677734136581421
A_year,2025,6,hist_gradient_boosting,695992,205714,16.126129865646362
B_quarter,Q1,1,lightgbm,688135,209205,14.238007307052612
B_quarter,Q1,2,lightgbm,688135,209205,15.283020973205566
B_quarter,Q1,3,hist_gradient_boosting,688135,209205,15.624123096466064
B_quarter,Q1,6,hist_gradient_boosting,688135,209205,15.786372184753418
B_quarter,Q2,1,lightgbm,678962,219141,13.992307186126709
B_quarter,Q2,2,lightgbm,678962,219141,33.469547271728516
B_quarter,Q2,3,hist_gradient_boosting,678962,219141,15.09929871559143
B_quarter,Q2,6,hist_gradient_boosting,678962,219141,22.65049695968628
B_quarter,Q3,1,lightgbm,674377,223661,14.341957330703735
B_quarter,Q3,2,lightgbm,674377,223661,13.741874933242798
B_quarter,Q3,3,hist_gradient_boosting,674377,223661,14.32564115524292
B_quarter,Q3,6,hist_gradient_boosting,674377,223661,15.429794311523438
B_quarter,Q4,1,lightgbm,647025,250349,14.811868906021118
B_quarter,Q4,2,lightgbm,647025,250349,17.773756980895996
B_quarter,Q4,3,hist_gradient_boosting,647025,250349,15.20651650428772
B_quarter,Q4,6,hist_gradient_boosting,647025,250349,14.907936334609985
