part,fold,test_rows,train_rows,purged_rows,test_rain_rate_1h
A_year,2020,106491,795457,408,0.044585927449268016
A_year,2021,75064,826476,816,0.04386923158904402
A_year,2022,127661,773903,792,0.05108059626667502
A_year,2023,165981,735454,921,0.05249998493803508
A_year,2024,203879,697318,1159,0.05078502445077718
A_year,2025,205714,695992,650,0.05672924545728536
B_quarter,"Q1 [1, 2, 3]",209205,688135,5016,0.007906120790612078
B_quarter,"Q2 [4, 5, 6]",219141,678962,4253,0.05422079848134306
B_quarter,"Q3 [7, 8, 9]",223661,674377,4318,0.10478357871958008
B_quarter,"Q4 [10, 11, 12]",250349,647025,4982,0.03820266907397273
