model,horizon_h,feature,importance
lightgbm,1,latitude,615.0
lightgbm,1,longitude,728.0
lightgbm,1,altitude_m,329.0
lightgbm,1,temperature_c,1292.0
lightgbm,1,precipitation_mm,415.0
lightgbm,1,pressure_hpa,893.0
lightgbm,1,humidity_percent,630.0
lightgbm,1,wind_speed_avg_knot,1310.0
lightgbm,1,max_wind_speed_knot,1406.0
lightgbm,1,weather_code,240.0
lightgbm,1,visibility_m,303.0
lightgbm,1,wind_dir_avg_sin,1191.0
lightgbm,1,wind_dir_avg_cos,1209.0
lightgbm,1,max_wind_dir_sin,1082.0
lightgbm,1,max_wind_dir_cos,1155.0
lightgbm,1,temperature_humidity_index,1345.0
lightgbm,1,temperature_dew_point_spread_est,613.0
lightgbm,1,pressure_hpa_change_3h,1395.0
lightgbm,1,pressure_hpa_change_6h,1332.0
lightgbm,1,humidity_change_3h,1303.0
lightgbm,1,hour_sin,588.0
lightgbm,1,hour_cos,551.0
lightgbm,1,month_sin,562.0
lightgbm,1,month_cos,540.0
lightgbm,1,precipitation_lag_1h,142.0
lightgbm,1,precipitation_lag_2h,128.0
lightgbm,1,precipitation_lag_3h,104.0
lightgbm,1,precipitation_lag_6h,114.0
lightgbm,1,precipitation_sum_past_3h,180.0
lightgbm,1,precipitation_sum_past_6h,287.0
lightgbm,1,precipitation_sum_past_12h,436.0
lightgbm,1,precipitation_sum_past_24h,760.0
lightgbm,1,temperature_lag_1h,989.0
lightgbm,1,temperature_lag_3h,1111.0
lightgbm,1,humidity_lag_1h,750.0
lightgbm,1,humidity_lag_3h,853.0
lightgbm,1,pressure_lag_1h,877.0
lightgbm,1,pressure_lag_3h,949.0
lightgbm,1,wind_speed_lag_1h,1173.0
lightgbm,1,wind_speed_lag_3h,1120.0
lightgbm,2,latitude,767.0
lightgbm,2,longitude,906.0
lightgbm,2,altitude_m,365.0
lightgbm,2,temperature_c,1256.0
lightgbm,2,precipitation_mm,360.0
lightgbm,2,pressure_hpa,1025.0
lightgbm,2,humidity_percent,549.0
lightgbm,2,wind_speed_avg_knot,1081.0
lightgbm,2,max_wind_speed_knot,1289.0
lightgbm,2,weather_code,247.0
lightgbm,2,visibility_m,404.0
lightgbm,2,wind_dir_avg_sin,1030.0
lightgbm,2,wind_dir_avg_cos,1071.0
lightgbm,2,max_wind_dir_sin,903.0
lightgbm,2,max_wind_dir_cos,1027.0
lightgbm,2,temperature_humidity_index,1343.0
lightgbm,2,temperature_dew_point_spread_est,617.0
lightgbm,2,pressure_hpa_change_3h,1305.0
lightgbm,2,pressure_hpa_change_6h,1138.0
lightgbm,2,humidity_change_3h,1202.0
lightgbm,2,hour_sin,578.0
lightgbm,2,hour_cos,597.0
lightgbm,2,month_sin,810.0
lightgbm,2,month_cos,867.0
lightgbm,2,precipitation_lag_1h,86.0
lightgbm,2,precipitation_lag_2h,86.0
lightgbm,2,precipitation_lag_3h,74.0
lightgbm,2,precipitation_lag_6h,87.0
lightgbm,2,precipitation_sum_past_3h,195.0
lightgbm,2,precipitation_sum_past_6h,306.0
lightgbm,2,precipitation_sum_past_12h,528.0
lightgbm,2,precipitation_sum_past_24h,937.0
lightgbm,2,temperature_lag_1h,1037.0
lightgbm,2,temperature_lag_3h,1210.0
lightgbm,2,humidity_lag_1h,659.0
lightgbm,2,humidity_lag_3h,903.0
lightgbm,2,pressure_lag_1h,942.0
lightgbm,2,pressure_lag_3h,1129.0
lightgbm,2,wind_speed_lag_1h,954.0
lightgbm,2,wind_speed_lag_3h,1130.0
