model,horizon_h,feature,importance,is_neighbor_feature
lightgbm,1,latitude,583.0,False
lightgbm,1,longitude,850.0,False
lightgbm,1,altitude_m,518.0,False
lightgbm,1,temperature_c,857.0,False
lightgbm,1,precipitation_mm,363.0,False
lightgbm,1,pressure_hpa,460.0,False
lightgbm,1,humidity_percent,406.0,False
lightgbm,1,weather_code,71.0,False
lightgbm,1,visibility_m,112.0,False
lightgbm,1,wind_speed_avg_knot,485.0,False
lightgbm,1,max_wind_speed_knot,912.0,False
lightgbm,1,wind_speed_avg_ms,339.0,False
lightgbm,1,max_wind_speed_ms,153.0,False
lightgbm,1,wind_dir_avg_sin,793.0,False
lightgbm,1,wind_dir_avg_cos,778.0,False
lightgbm,1,max_wind_dir_sin,733.0,False
lightgbm,1,max_wind_dir_cos,733.0,False
lightgbm,1,temperature_humidity_index,859.0,False
lightgbm,1,temperature_dew_point_spread_est,460.0,False
lightgbm,1,pressure_hpa_change_3h,984.0,False
lightgbm,1,pressure_hpa_change_6h,862.0,False
lightgbm,1,hour_sin,518.0,False
lightgbm,1,hour_cos,480.0,False
lightgbm,1,month_sin,515.0,False
lightgbm,1,month_cos,407.0,False
lightgbm,1,precipitation_lag_1h,135.0,False
lightgbm,1,precipitation_lag_2h,130.0,False
lightgbm,1,precipitation_lag_3h,91.0,False
lightgbm,1,precipitation_lag_6h,127.0,False
lightgbm,1,precipitation_sum_past_3h,109.0,False
lightgbm,1,precipitation_sum_past_6h,209.0,False
lightgbm,1,precipitation_sum_past_12h,277.0,False
lightgbm,1,precipitation_sum_past_24h,609.0,False
lightgbm,1,temperature_lag_1h,726.0,False
lightgbm,1,temperature_lag_3h,821.0,False
lightgbm,1,humidity_lag_1h,576.0,False
lightgbm,1,humidity_lag_3h,693.0,False
lightgbm,1,pressure_lag_1h,449.0,False
lightgbm,1,pressure_lag_3h,599.0,False
lightgbm,1,wind_speed_lag_1h,791.0,False
lightgbm,1,wind_speed_lag_3h,831.0,False
lightgbm,1,neighbor_count,116.0,True
lightgbm,1,neighbor_precipitation_mean,289.0,True
lightgbm,1,neighbor_precipitation_max,104.0,True
lightgbm,1,neighbor_precipitation_sum,133.0,True
lightgbm,1,neighbor_rain_count,83.0,True
lightgbm,1,neighbor_rain_rate,198.0,True
lightgbm,1,neighbor_temperature_mean,930.0,True
lightgbm,1,neighbor_humidity_mean,1112.0,True
lightgbm,1,neighbor_pressure_mean,600.0,True
lightgbm,1,neighbor_pressure_min,772.0,True
lightgbm,1,neighbor_pressure_max,726.0,True
lightgbm,1,neighbor_wind_speed_mean,856.0,True
lightgbm,1,neighbor_wind_speed_max,757.0,True
lightgbm,1,neighbor_visibility_mean,287.0,True
lightgbm,1,neighbor_weather_code_mean,95.0,True
lightgbm,1,neighbor_precipitation_mean_minus_center,217.0,True
lightgbm,1,neighbor_temperature_mean_minus_center,862.0,True
lightgbm,1,neighbor_humidity_mean_minus_center,695.0,True
lightgbm,1,center_pressure_minus_neighbor_mean,764.0,True
lightgbm,2,latitude,833.0,False
lightgbm,2,longitude,1025.0,False
lightgbm,2,altitude_m,668.0,False
lightgbm,2,temperature_c,660.0,False
lightgbm,2,precipitation_mm,351.0,False
lightgbm,2,pressure_hpa,533.0,False
lightgbm,2,humidity_percent,351.0,False
lightgbm,2,weather_code,47.0,False
lightgbm,2,visibility_m,116.0,False
lightgbm,2,wind_speed_avg_knot,400.0,False
lightgbm,2,max_wind_speed_knot,751.0,False
lightgbm,2,wind_speed_avg_ms,262.0,False
lightgbm,2,max_wind_speed_ms,127.0,False
lightgbm,2,wind_dir_avg_sin,650.0,False
lightgbm,2,wind_dir_avg_cos,538.0,False
lightgbm,2,max_wind_dir_sin,459.0,False
lightgbm,2,max_wind_dir_cos,487.0,False
lightgbm,2,temperature_humidity_index,1024.0,False
lightgbm,2,temperature_dew_point_spread_est,354.0,False
lightgbm,2,pressure_hpa_change_3h,781.0,False
lightgbm,2,pressure_hpa_change_6h,772.0,False
lightgbm,2,hour_sin,597.0,False
lightgbm,2,hour_cos,474.0,False
lightgbm,2,month_sin,771.0,False
lightgbm,2,month_cos,608.0,False
lightgbm,2,precipitation_lag_1h,89.0,False
lightgbm,2,precipitation_lag_2h,92.0,False
lightgbm,2,precipitation_lag_3h,70.0,False
lightgbm,2,precipitation_lag_6h,109.0,False
lightgbm,2,precipitation_sum_past_3h,134.0,False
lightgbm,2,precipitation_sum_past_6h,224.0,False
lightgbm,2,precipitation_sum_past_12h,315.0,False
lightgbm,2,precipitation_sum_past_24h,710.0,False
lightgbm,2,temperature_lag_1h,615.0,False
lightgbm,2,temperature_lag_3h,1006.0,False
lightgbm,2,humidity_lag_1h,431.0,False
lightgbm,2,humidity_lag_3h,830.0,False
lightgbm,2,pressure_lag_1h,513.0,False
lightgbm,2,pressure_lag_3h,800.0,False
lightgbm,2,wind_speed_lag_1h,653.0,False
lightgbm,2,wind_speed_lag_3h,703.0,False
lightgbm,2,neighbor_count,111.0,True
lightgbm,2,neighbor_precipitation_mean,245.0,True
lightgbm,2,neighbor_precipitation_max,68.0,True
lightgbm,2,neighbor_precipitation_sum,109.0,True
lightgbm,2,neighbor_rain_count,59.0,True
lightgbm,2,neighbor_rain_rate,198.0,True
lightgbm,2,neighbor_temperature_mean,1040.0,True
lightgbm,2,neighbor_humidity_mean,1211.0,True
lightgbm,2,neighbor_pressure_mean,647.0,True
lightgbm,2,neighbor_pressure_min,917.0,True
lightgbm,2,neighbor_pressure_max,841.0,True
lightgbm,2,neighbor_wind_speed_mean,819.0,True
lightgbm,2,neighbor_wind_speed_max,735.0,True
lightgbm,2,neighbor_visibility_mean,373.0,True
lightgbm,2,neighbor_weather_code_mean,86.0,True
lightgbm,2,neighbor_precipitation_mean_minus_center,232.0,True
lightgbm,2,neighbor_temperature_mean_minus_center,774.0,True
lightgbm,2,neighbor_humidity_mean_minus_center,676.0,True
lightgbm,2,center_pressure_minus_neighbor_mean,926.0,True
