probability_threshold,predicted_rain_rate,accuracy,precision,recall,f1,true_negatives,false_positives,false_negatives,true_positives,model,feature_set,horizon_h,split,rows,rain_rate,roc_auc,pr_auc,brier_score
0.1,0.8017544976238968,0.302695922437203,0.1313688263233796,0.9917596823732114,0.23200605177303515,74426,262615,330,39717,lightgbm,tmd_station_neighbor,1,validation,377088,0.10620067464358453,0.8941050554003127,0.6322447128813833,0.1881160858735152
0.15000000000000002,0.7304660980991174,0.3724780422606925,0.14315846796151752,0.9846680150822783,0.24997385078146545,101024,236017,614,39433,lightgbm,tmd_station_neighbor,1,validation,377088,0.10620067464358453,0.8941050554003127,0.6322447128813833,0.1881160858735152
0.20000000000000004,0.6682074210794298,0.43276900882552616,0.1550245462807523,0.97540390041701,0.2675296212588179,124130,212911,985,39062,lightgbm,tmd_station_neighbor,1,validation,377088,0.10620067464358453,0.8941050554003127,0.6322447128813833,0.1881160858735152
0.25000000000000006,0.6111358621860149,0.4875917557705363,0.167661812438165,0.9648163407995605,0.28567942949881514,145227,191814,1409,38638,lightgbm,tmd_station_neighbor,1,validation,377088,0.10620067464358453,0.8941050554003127,0.6322447128813833,0.1881160858735152
0.30000000000000004,0.5554432917515275,0.5404892226748133,0.18195663902296957,0.951656803256174,0.305501446905386,165701,171340,1936,38111,lightgbm,tmd_station_neighbor,1,validation,377088,0.10620067464358453,0.8941050554003127,0.6322447128813833,0.1881160858735152
0.3500000000000001,0.5011986591989138,0.5914454981330618,0.19836927765666998,0.9361749943816016,0.32737084302947483,185536,151505,2556,37491,lightgbm,tmd_station_neighbor,1,validation,377088,0.10620067464358453,0.8941050554003127,0.6322447128813833,0.1881160858735152
0.40000000000000013,0.44968548455532925,0.6393945179904956,0.21713028760814054,0.9193947112143231,0.3512961673138757,204289,132752,3228,36819,lightgbm,tmd_station_neighbor,1,validation,377088,0.10620067464358453,0.8941050554003127,0.6322447128813833,0.1881160858735152
0.45000000000000007,0.4016277367617108,0.6833471232179226,0.23800091119782898,0.9000674207805828,0.3764569494924176,221637,115404,4002,36045,lightgbm,tmd_station_neighbor,1,validation,377088,0.10620067464358453,0.8941050554003127,0.6322447128813833,0.1881160858735152
0.5000000000000001,0.35691668788187375,0.7235817634080108,0.26154440556063274,0.8789921841835843,0.40313566504042697,237653,99388,4846,35201,lightgbm,tmd_station_neighbor,1,validation,377088,0.10620067464358453,0.8941050554003127,0.6322447128813833,0.1881160858735152
0.5500000000000002,0.31641420570264767,0.7590138110997964,0.2870109624861712,0.8551202337253727,0.42977353588976114,251970,85071,5802,34245,lightgbm,tmd_station_neighbor,1,validation,377088,0.10620067464358453,0.8941050554003127,0.6322447128813833,0.1881160858735152
0.6000000000000002,0.2794201883910387,0.7905130897827563,0.31517757151263215,0.8292506305091517,0.4567542104213516,264884,72157,6838,33209,lightgbm,tmd_station_neighbor,1,validation,377088,0.10620067464358453,0.8941050554003127,0.6322447128813833,0.1881160858735152
0.6500000000000001,0.24410747623896809,0.8198431135437881,0.34851711026615967,0.8010837266212201,0.4857188278310635,277072,59969,7966,32081,lightgbm,tmd_station_neighbor,1,validation,377088,0.10620067464358453,0.8941050554003127,0.6322447128813833,0.1881160858735152
0.7000000000000002,0.21020292345553293,0.846518584521385,0.3875354822431086,0.767048717756636,0.5149188681775513,288494,48547,9329,30718,lightgbm,tmd_station_neighbor,1,validation,377088,0.10620067464358453,0.8941050554003127,0.6322447128813833,0.1881160858735152
0.7500000000000002,0.17790807450780718,0.870512983706721,0.434555129905943,0.7279696356780783,0.544234323370732,299107,37934,10894,29153,lightgbm,tmd_station_neighbor,1,validation,377088,0.10620067464358453,0.8941050554003127,0.6322447128813833,0.1881160858735152
0.8000000000000002,0.14657056177868297,0.8915717286150713,0.49240094083589653,0.679576497615302,0.5710418917926497,308986,28055,12832,27215,lightgbm,tmd_station_neighbor,1,validation,377088,0.10620067464358453,0.8941050554003127,0.6322447128813833,0.1881160858735152
0.8500000000000002,0.11741556347589953,0.9082468813645621,0.5615231728250067,0.6208205358703524,0.5896849021026291,317627,19414,15185,24862,lightgbm,tmd_station_neighbor,1,validation,377088,0.10620067464358453,0.8941050554003127,0.6322447128813833,0.1881160858735152
0.9000000000000002,0.09206339103869654,0.9194644220977597,0.6393881783615624,0.5542737283691662,0.593796396613298,324522,12519,17850,22197,lightgbm,tmd_station_neighbor,1,validation,377088,0.10620067464358453,0.8941050554003127,0.6322447128813833,0.1881160858735152
0.1,0.3433396473751855,0.6873459550068429,0.09327595381010614,0.9598463016330452,0.17002884296325288,204462,97131,418,9992,lightgbm,tmd_station_neighbor,1,test,312003,0.033365063797463484,0.9348292281083825,0.5156307812907267,0.06773561391653155
0.15000000000000002,0.2925164181113643,0.737008939016612,0.1074989590866259,0.9424591738712776,0.19298556198119518,220138,81455,599,9811,lightgbm,tmd_station_neighbor,1,test,312003,0.033365063797463484,0.9348292281083825,0.5156307812907267,0.06773561391653155
0.20000000000000004,0.25390140479418466,0.7743034522103954,0.12124769623065465,0.9226705091258406,0.21433034319632258,231980,69613,805,9605,lightgbm,tmd_station_neighbor,1,test,312003,0.033365063797463484,0.9348292281083825,0.5156307812907267,0.06773561391653155
0.25000000000000006,0.2218824818992125,0.805008285176745,0.13578320910614203,0.9029779058597502,0.23606820864411462,241765,59828,1010,9400,lightgbm,tmd_station_neighbor,1,test,312003,0.033365063797463484,0.9348292281083825,0.5156307812907267,0.06773561391653155
0.30000000000000004,0.19385070015352415,0.8316362342669782,0.15179722892761482,0.881940441882805,0.25901371099700954,250292,51301,1229,9181,lightgbm,tmd_station_neighbor,1,test,312003,0.033365063797463484,0.9348292281083825,0.5156307812907267,0.06773561391653155
0.3500000000000001,0.16919709105361166,0.8546296029204847,0.1690092820609964,0.8570605187319885,0.2823417721518987,257725,43868,1488,8922,lightgbm,tmd_station_neighbor,1,test,312003,0.033365063797463484,0.9348292281083825,0.5156307812907267,0.06773561391653155
0.40000000000000013,0.1477197334641013,0.8744274894792678,0.1878973290806917,0.8318924111431316,0.3065540983026248,264164,37429,1750,8660,lightgbm,tmd_station_neighbor,1,test,312003,0.033365063797463484,0.9348292281083825,0.5156307812907267,0.06773561391653155
0.45000000000000007,0.12896350355605554,0.8915362993304552,0.20883763700077043,0.8072046109510086,0.3318261693683732,269759,31834,2007,8403,lightgbm,tmd_station_neighbor,1,test,312003,0.033365063797463484,0.9348292281083825,0.5156307812907267,0.06773561391653155
0.5000000000000001,0.11274891587580889,0.9060521853956532,0.23133776792313376,0.7817483189241115,0.35702377818724224,274553,27040,2272,8138,lightgbm,tmd_station_neighbor,1,test,312003,0.033365063797463484,0.9348292281083825,0.5156307812907267,0.06773561391653155
0.5500000000000002,0.09791572516930927,0.9188020628006782,0.25574468085106383,0.7505283381364073,0.381494140625,278856,22737,2597,7813,lightgbm,tmd_station_neighbor,1,test,312003,0.033365063797463484,0.9348292281083825,0.5156307812907267,0.06773561391653155
0.6000000000000002,0.08480367175956642,0.9297410601821137,0.28247477228920215,0.7179634966378482,0.4054354606851284,282608,18985,2936,7474,lightgbm,tmd_station_neighbor,1,test,312003,0.033365063797463484,0.9348292281083825,0.5156307812907267,0.06773561391653155
0.6500000000000001,0.07290955535683952,0.9396223754258773,0.31475294531387377,0.6878001921229587,0.4318716448519211,286005,15588,3250,7160,lightgbm,tmd_station_neighbor,1,test,312003,0.033365063797463484,0.9348292281083825,0.5156307812907267,0.06773561391653155
0.7000000000000002,0.06148979336737147,0.9486319041804085,0.3536095908261663,0.6516810758885687,0.4584558202399054,289192,12401,3626,6784,lightgbm,tmd_station_neighbor,1,test,312003,0.033365063797463484,0.9348292281083825,0.5156307812907267,0.06773561391653155
0.7500000000000002,0.05050271952513277,0.9567151597901302,0.4017896807767976,0.6081652257444765,0.4838919249436313,292167,9426,4079,6331,lightgbm,tmd_station_neighbor,1,test,312003,0.033365063797463484,0.9348292281083825,0.5156307812907267,0.06773561391653155
0.8000000000000002,0.040932298727896846,0.9631830463168624,0.4578341555085741,0.561671469740634,0.5044648634657694,294669,6924,4563,5847,lightgbm,tmd_station_neighbor,1,test,312003,0.033365063797463484,0.9348292281083825,0.5156307812907267,0.06773561391653155
0.8500000000000002,0.03228174088069666,0.9682759460646212,0.5254169976171564,0.5083573487031701,0.5167464114832536,296813,4780,5118,5292,lightgbm,tmd_station_neighbor,1,test,312003,0.033365063797463484,0.9348292281083825,0.5156307812907267,0.06773561391653155
0.9000000000000002,0.024804248677096054,0.9716701441973314,0.601498901666882,0.4471661863592699,0.5129759215383768,298509,3084,5755,4655,lightgbm,tmd_station_neighbor,1,test,312003,0.033365063797463484,0.9348292281083825,0.5156307812907267,0.06773561391653155
0.1,0.8552698574338086,0.29421779531568226,0.17586012303418166,0.99391910836955,0.29884397327544415,54229,265795,347,56717,lightgbm,tmd_station_neighbor,2,validation,377088,0.15132807196198234,0.864033707313971,0.630918191004647,0.21593912566022608
0.15000000000000002,0.799341267820774,0.34796121860149354,0.18679791123408376,0.9866991448198514,0.31412663256026735,74907,245117,759,56305,lightgbm,tmd_station_neighbor,2,validation,377088,0.15132807196198234,0.864033707313971,0.630918191004647,0.21593912566022608
0.20000000000000004,0.7481701883910387,0.39685166327223353,0.1980498075328045,0.9791637459694378,0.3294613638373773,93773,226251,1189,55875,lightgbm,tmd_station_neighbor,2,validation,377088,0.15132807196198234,0.864033707313971,0.630918191004647,0.21593912566022608
0.25000000000000006,0.7008417133401222,0.4411675789205703,0.20927504644712597,0.9692100098135427,0.34422408454517445,111052,208972,1757,55307,lightgbm,tmd_station_neighbor,2,validation,377088,0.15132807196198234,0.864033707313971,0.630918191004647,0.21593912566022608
0.30000000000000004,0.653932238628649,0.48464019008825526,0.22165943468916013,0.9578543389878031,0.3600084306480402,128093,191931,2405,54659,lightgbm,tmd_station_neighbor,2,validation,377088,0.15132807196198234,0.864033707313971,0.630918191004647,0.21593912566022608
0.3500000000000001,0.6055668703326544,0.5285026306856755,0.2356449691704036,0.9429763073040797,0.3770636544552513,145482,174542,3254,53810,lightgbm,tmd_station_neighbor,2,validation,377088,0.15132807196198234,0.864033707313971,0.630918191004647,0.21593912566022608
0.40000000000000013,0.5548757849626612,0.5736618508146639,0.25218771058655975,0.9246985840459835,0.39629592078137144,163554,156470,4297,52767,lightgbm,tmd_station_neighbor,2,validation,377088,0.15132807196198234,0.864033707313971,0.630918191004647,0.21593912566022608
