station,neighbor_station,neighbor_distance_km
1,1018,5.421786244847505
1,1020,11.766229387643062
1,9,23.842628703847822
1,16,60.69738313527369
1,1019,65.63741445200303
10,1007,59.428647438343845
10,1019,64.05475141857868
10,1021,65.11864347863211
10,1005,76.64622237679583
10,1008,81.08120664989654
1001,2,43.021632047569
1001,19,50.64637599281726
1001,17,55.13617802947315
1001,1038,71.74618416842371
1001,7,77.82425796288771
1002,3,6.694325644570908
1002,1032,50.68698646044299
1002,5,51.119430901868526
1002,15,57.173592666431695
1002,1037,57.63520788507286
1004,1005,15.943744946459702
1004,1024,19.694667891480847
1004,1010,31.103316074212387
1004,1015,36.295591986953816
1004,1007,49.31634231170572
1005,1004,15.943744946459702
1005,1024,30.024789751836618
1005,1007,33.401764012536816
1005,1010,39.69949376513862
1005,1015,46.7901055436637
1006,1015,18.671293870450654
1006,1024,34.359453193786784
1006,1004,51.95323257827203
1006,1009,55.71066742154156
1006,1005,64.3366391707153
1007,1005,33.401764012536816
1007,1008,35.02399756777513
1007,1021,47.83752150558471
1007,1017,48.4519181613158
1007,1004,49.31634231170572
1008,1021,32.0081954839027
1008,1007,35.02399756777513
1008,1017,38.05822543428208
1008,14,43.119619587585944
1008,1019,56.82049614585621
1009,1010,48.059061160891815
1009,1006,55.71066742154156
1009,1004,59.387274482576764
1009,1024,59.543512062191596
1009,1015,59.89771235324924
1010,1004,31.103316074212387
1010,1005,39.69949376513862
1010,1024,47.07988378832391
1010,1009,48.059061160891815
1010,1015,60.3105790876554
1011,1013,20.59702610129674
1011,1012,29.809447671151496
1011,96,32.51799838702392
1011,95,39.97232472082689
1011,14,97.93357746207494
1012,95,11.018357690616083
1012,1011,29.809447671151496
1012,1013,49.96295506675844
1012,96,62.32096495575652
1012,1035,85.52431492493812
1013,96,14.195924804159256
1013,1011,20.59702610129674
1013,1012,49.96295506675844
1013,95,59.52152377557745
1013,1010,101.30271910643732
1014,1016,10.05082847226165
1014,18,56.45781621146226
1014,1034,59.511350504530036
1014,1027,71.06876091559815
1014,20,71.24853795409814
1015,1024,17.000824633318068
1015,1006,18.671293870450654
1015,1004,36.295591986953816
1015,1005,46.7901055436637
1015,1009,59.89771235324924
1016,1014,10.05082847226165
1016,18,47.561380201451726
1016,1034,57.99637310271112
1016,20,68.68750445312921
1016,1027,72.78075300556863
1017,14,18.68669073636459
1017,1008,38.05822543428208
1017,1007,48.4519181613158
1017,1005,56.35926073767961
1017,1010,61.99210184667541
1018,1,5.421786244847505
1018,1020,11.2272720592326
1018,9,29.194795282588043
1018,1019,60.88572657411888
1018,16,66.07871092558415
1019,1021,24.861624846206638
1019,1008,56.82049614585621
1019,1020,57.634554322655106
1019,1018,60.88572657411888
1019,10,64.05475141857868
1020,1018,11.2272720592326
1020,1,11.766229387643062
1020,9,31.328604830518316
1020,1019,57.634554322655106
1020,1021,59.82967131961752
1021,1019,24.861624846206638
1021,1008,32.0081954839027
1021,1007,47.83752150558471
1021,1020,59.82967131961752
1021,10,65.11864347863211
1022,1026,47.651403021066514
1022,1031,67.17944301615454
1022,12,67.718246874717
1022,1023,77.93780099166304
1022,1001,86.31537217505037
1023,1026,42.13009178558317
1023,12,58.7711315456877
1023,1,69.81761326705389
1023,1018,69.82107922575652
1023,9,70.56986331995641
1024,1015,17.000824633318068
1024,1004,19.694667891480847
1024,1005,30.024789751836618
1024,1006,34.359453193786784
1024,1010,47.07988378832391
1026,1023,42.13009178558317
1026,1022,47.651403021066514
1026,9,61.45258226210624
1026,1029,68.66846928771712
1026,12,71.82853003318031
1027,20,30.25053473716584
1027,16,41.21959276252474
1027,9,62.80383695027799
1027,1029,65.07432263002606
1027,1014,71.06876091559815
1028,1029,23.6963490222136
1028,19,28.651163443361394
1028,20,47.88414478485829
1028,16,50.26034454108974
1028,1038,53.13037992393323
1029,1028,23.6963490222136
1029,16,29.397878752526054
1029,20,36.19282071965
1029,19,47.783121990979716
1029,9,59.86460197321592
1030,30,6.48424651621538
1030,1061,47.687637483227206
1030,1060,71.80841564768151
1030,1062,93.18835328194587
1030,1064,125.81707346569642
1031,1022,67.17944301615454
1031,7,67.63711344686142
1031,1001,82.56206822245211
1031,17,92.16067883592925
1031,2,104.63565320173083
1032,3,46.171153761160085
1032,1033,46.83646702956765
1032,1002,50.68698646044299
1032,15,59.01290426584453
1032,18,59.10537370377603
1033,1032,46.83646702956765
1033,1039,56.15757973529061
1033,1040,60.808432965430484
1033,3,70.12558028632401
1033,1002,76.74207461220516
1034,18,50.234720145219654
1034,1016,57.99637310271112
1034,1014,59.511350504530036
1034,1032,63.41307354893463
1034,1035,71.4120388226413
1035,1034,71.4120388226413
1035,95,74.77613507201097
1035,1012,85.52431492493812
1035,1014,95.83760876942975
1035,1016,101.87483918466745
1036,26,25.769740269625522
1036,33,26.641350959462844
1036,21,50.12424470822668
1036,108,54.101864322718015
1036,104,69.61424249040509
1037,15,8.899062370535068
1037,1038,45.412953066393236
1037,1002,57.63520788507286
1037,3,61.22109717543965
1037,18,65.57895170903846
1038,15,43.25372170627878
1038,19,44.39057234636229
1038,1037,45.412953066393236
1038,18,51.86513675371595
1038,1028,53.13037992393323
1039,1040,36.952431294364146
1039,97,39.00300235846391
1039,1033,56.15757973529061
1039,1032,99.48546460123526
1039,3,103.23428004501285
104,37,8.167026576377388
104,106,31.55757722665404
104,33,43.86017525690174
104,105,67.1954879341583
104,1036,69.61424249040509
1040,97,24.849170549920366
1040,1039,36.952431294364146
1040,1033,60.808432965430484
1040,5,69.28247070242618
1040,3,77.88431966105418
1041,98,16.21898205194461
1041,22,59.612977697920776
1041,24,70.94088507550316
1041,97,74.34373044095345
1041,1040,88.57573347596802
105,32,27.462152724965385
105,104,67.1954879341583
105,28,67.54345873566982
105,37,68.43176407482915
105,1063,78.77219830562896
106,37,23.44709844848084
106,104,31.55757722665404
106,33,68.14445499442954
106,105,79.54116960667626
106,1036,94.7680064436449
1060,1062,45.98392448723385
1060,31,60.923328002073525
1060,30,65.37088848767655
1060,1030,71.80841564768151
1060,1090,80.33558393190202
1061,1030,47.687637483227206
1061,30,53.424989804737
1061,8,101.6862735951808
1061,1064,112.94786030135198
1061,1060,113.86067709187631
1062,1060,45.98392448723385
1062,1090,59.739226919447326
1062,31,71.78357813539128
1062,108,72.39321604023387
1062,30,87.98190561461361
1063,32,51.73207152396945
1063,31,58.063461429856986
1063,105,78.77219830562896
1063,28,87.47455966892439
1063,1060,96.73507798468525
1064,107,64.66250087709481
1064,23,74.7009107351376
1064,8,81.34814616760056
1064,25,91.57485941781381
1064,1062,99.64315625451918
107,25,29.20026184470391
107,23,37.76260430669806
107,24,55.8202365387326
107,1064,64.66250087709481
107,21,90.53652322063515
108,1090,31.11829096526632
108,28,53.118348916842145
108,1036,54.101864322718015
108,21,68.18112299682721
108,26,68.53052576833879
1090,108,31.11829096526632
1090,28,34.65540256252678
1090,31,47.05920340072532
1090,1062,59.739226919447326
1090,1036,77.29652450851945
11,1023,98.69845670425983
11,1019,104.36467390154601
11,1018,115.56790328892086
11,1,120.10107228833108
11,1020,123.36663808406989
12,1023,58.7711315456877
12,1022,67.718246874717
12,1026,71.82853003318031
12,1031,110.00375148414
12,9,124.71660111576902
14,1017,18.68669073636459
14,1008,43.119619587585944
14,1007,63.634284080831875
14,1021,74.06105705489702
14,1005,74.98144050118755
15,1037,8.899062370535068
15,1038,43.25372170627878
15,1002,57.173592666431695
15,18,57.209957579699356
15,1032,59.01290426584453
16,20,22.269377981570088
16,1029,29.397878752526054
16,9,38.62727085637079
16,1027,41.21959276252474
16,1028,50.26034454108974
17,2,26.013384457615413
17,7,42.2864687488472
17,1001,55.13617802947315
17,4,69.6006193368547
17,8,81.23331259114964
18,1016,47.561380201451726
18,1034,50.234720145219654
18,1038,51.86513675371595
18,1014,56.45781621146226
18,15,57.209957579699356
19,1028,28.651163443361394
19,1038,44.39057234636229
19,1029,47.783121990979716
19,1001,50.64637599281726
19,20,76.53049203811342
2,17,26.013384457615413
2,1001,43.021632047569
2,4,60.09837591348237
2,7,66.73722139044226
2,1037,74.61115109497763
20,16,22.269377981570088
20,1027,30.25053473716584
20,1029,36.19282071965
20,1028,47.88414478485829
20,9,58.90744923774986
21,26,31.29594979045645
21,1036,50.12424470822668
21,25,61.52374726970737
21,24,61.990650206908306
21,108,68.18112299682721
22,98,44.30076206843494
22,1041,59.612977697920776
22,24,71.02959047941687
22,21,79.32026201546981
22,26,95.36229074331554
23,107,37.76260430669806
23,24,55.69966375204972
23,25,57.48959517398823
23,1064,74.7009107351376
23,5,78.24132828556536
24,25,42.126080885702116
24,23,55.69966375204972
24,107,55.8202365387326
24,21,61.990650206908306
24,98,70.46272866505107
25,107,29.20026184470391
25,24,42.126080885702116
25,23,57.48959517398823
25,21,61.52374726970737
25,108,76.74816538837453
26,1036,25.769740269625522
26,21,31.29594979045645
26,33,47.84427868262974
26,108,68.53052576833879
26,45,74.46995167214186
28,1090,34.65540256252678
28,31,46.79505641479182
28,108,53.118348916842145
28,32,61.15121547113079
28,105,67.54345873566982
3,1002,6.694325644570908
3,1032,46.171153761160085
3,5,51.82039417156315
3,15,59.872549948408164
3,1037,61.22109717543965
30,1030,6.48424651621538
30,1061,53.424989804737
30,1060,65.37088848767655
30,1062,87.98190561461361
30,1064,125.63604060020984
31,28,46.79505641479182
31,1090,47.05920340072532
31,1063,58.063461429856986
31,1060,60.923328002073525
31,32,65.40971628498676
32,105,27.462152724965385
32,1063,51.73207152396945
32,28,61.15121547113079
32,31,65.40971628498676
32,104,87.02088991971885
33,1036,26.641350959462844
33,104,43.86017525690174
33,26,47.84427868262974
33,37,49.91049158903628
33,106,68.14445499442954
37,104,8.167026576377388
37,106,23.44709844848084
37,33,49.91049158903628
37,105,68.43176407482915
37,1036,76.16809169201842
4,2,60.09837591348237
4,17,69.6006193368547
4,1037,74.89793703295564
4,1002,80.22714651111706
4,15,83.09498209568757
45,26,74.46995167214186
45,33,87.613521727422
45,1036,87.8914793812736
45,21,95.61422848922217
45,22,102.9448419690322
5,1002,51.119430901868526
5,3,51.82039417156315
5,1040,69.28247070242618
5,23,78.24132828556536
5,97,84.42093210332244
7,17,42.2864687488472
7,2,66.73722139044226
7,1031,67.63711344686142
7,1001,77.82425796288771
7,8,82.33049188537474
8,17,81.23331259114964
8,1064,81.34814616760056
8,7,82.33049188537474
8,4,87.73653790067343
8,2,99.62968213328226
9,1,23.842628703847822
9,1018,29.194795282588043
9,1020,31.328604830518316
9,16,38.62727085637079
9,20,58.90744923774986
95,1012,11.018357690616083
95,1011,39.97232472082689
95,1013,59.52152377557745
95,96,72.41022884021865
95,1035,74.77613507201097
96,1013,14.195924804159256
96,1011,32.51799838702392
96,1012,62.32096495575652
96,95,72.41022884021865
96,1010,90.73833145463443
97,1040,24.849170549920366
97,1039,39.00300235846391
97,1041,74.34373044095345
97,1033,81.48721935258045
97,5,84.42093210332244
98,1041,16.21898205194461
98,22,44.30076206843494
98,24,70.46272866505107
98,97,86.62700848499976
98,1040,102.90779768470625
