grid_number,latitude,longitude,probability,above_threshold
1,13.494,100.327,0.3244,False
2,13.494,100.410224,0.3003758,False
3,13.494,100.493448,0.3003758,False
4,13.494,100.576673,0.29980502,False
5,13.494,100.659897,0.291658,False
6,13.494,100.743121,0.2691285,False
7,13.494,100.826345,0.30846015,False
8,13.494,100.90957,0.32511917,False
9,13.575393,100.327,0.43093404,False
10,13.575393,100.410224,0.44457585,False
11,13.575393,100.493448,0.44457585,False
12,13.575393,100.576673,0.4722073,False
13,13.575393,100.659897,0.45750678,False
14,13.575393,100.743121,0.44961756,False
15,13.575393,100.826345,0.4943696,False
16,13.575393,100.90957,0.4943696,False
17,13.656787,100.327,0.4943696,False
18,13.656787,100.410224,0.5288593,True
19,13.656787,100.493448,0.47566205,False
20,13.656787,100.576673,0.47892693,False
21,13.656787,100.659897,0.51328576,True
22,13.656787,100.743121,0.47892693,False
23,13.656787,100.826345,0.47566205,False
24,13.656787,100.90957,0.5288593,True
25,13.73818,100.327,0.3349536,False
26,13.73818,100.410224,0.2691285,False
27,13.73818,100.493448,0.2691285,False
28,13.73818,100.576673,0.3003758,False
29,13.73818,100.659897,0.3749239,False
30,13.73818,100.743121,0.34205997,False
31,13.73818,100.826345,0.32511917,False
32,13.73818,100.90957,0.40316093,False
33,13.819574,100.327,0.24432203,False
34,13.819574,100.410224,0.24432203,False
35,13.819574,100.493448,0.22295983,False
36,13.819574,100.576673,0.2330285,False
37,13.819574,100.659897,0.24432203,False
38,13.819574,100.743121,0.25939834,False
39,13.819574,100.826345,0.22674419,False
40,13.819574,100.90957,0.23602837,False
41,13.900967,100.327,0.17803387,False
42,13.900967,100.410224,0.23602837,False
43,13.900967,100.493448,0.24432203,False
44,13.900967,100.576673,0.24209012,False
45,13.900967,100.659897,0.24209012,False
46,13.900967,100.743121,0.22829923,False
47,13.900967,100.826345,0.25939834,False
48,13.900967,100.90957,0.24980785,False
49,13.955,100.327,0.151374,False
50,13.955,100.410224,0.16162473,False
51,13.955,100.493448,0.151374,False
52,13.955,100.576673,0.22295983,False
53,13.955,100.659897,0.22295983,False
54,13.955,100.743121,0.24209012,False
55,13.955,100.826345,0.24209012,False
56,13.955,100.90957,0.19715142,False
